Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
Penguin-DNPds,1611888317200,3,42733,16992,128200,4.333333333333333,0,13,13,37,1,SUCCESS,16992,Nr3YCYWGTA631Xqa0uDPhw
GT-DevelopersIO,1611622834444,3,21096,16996,63288,0.3333333333333333,0,1,1,1105,2,SUCCESS,16996,8WSp4P7ZRn-jJgZLnugwkA
Mentaiko-DevelopersIO,1611138137165,3,29950,17196,89852,1.3333333333333333,0,4,4,2294,3,SUCCESS,17196,Wt5C8BPAS0OPlzY3-txb-w
JJ,1611159269235,3,21535,17212,64607,0.3333333333333333,0,1,1,3728,4,SUCCESS,17212,afdcX_4vRH6Ussd0mbg5LQ
S-P-,1611217415841,3,20597,19673,61791,0.0,0,0,0,439,5,SUCCESS,19673,MxT5p4ZvSTOcc6ANa8VZNg
Ensono-Ernesto,1610610816846,3,29074,20054,87224,1.3333333333333333,0,4,4,2066,6,SUCCESS,20054,8zBEAp0-S5yGbcZvytGZGQ
PolishThunder,1610385760174,3,32496,21754,97489,1.6666666666666667,0,5,5,3115,7,SUCCESS,21754,qi512oGVTry8V-KtP6j2_w
atnmn,1612129685312,3,25784,24016,77354,0.0,0,0,0,408,8,SUCCESS,24016,b3960b6c6f58458880ceew
kimwooglae,1611964034882,3,30621,24249,91863,1.0,0,3,3,3635,9,SUCCESS,24249,bOqKo-ebR_essdUaZVGO4Q
mayurmadnani,1612013006538,3,37047,25543,111142,2.0,0,6,6,4,10,SUCCESS,25543,hr8K12KMRhSIDUEJbQT8fg
ABaykov,1611199740905,3,26922,25872,80768,0.0,0,0,0,70,11,SUCCESS,25872,aa28j7SWTd-LxMzvFoj_bA
think,1612020744610,3,29792,25931,89378,0.3333333333333333,0,1,1,888,12,SUCCESS,25931,IHHC4YftQLaMAs0VyXFJzw
ProteusXplorer,1610437607228,3,30277,26743,90831,0.3333333333333333,0,1,1,78,13,SUCCESS,26743,iRqwbBoKQY-tP2tGpIMlxA
MastBosch-DNPds,1610005231359,3,27756,27140,83270,0.0,0,0,0,1,14,SUCCESS,27140,KHwVzXk7RF-UpZvca_jzUg
Ohrid,1611257471799,3,32667,28167,98003,0.6666666666666666,0,2,2,307,15,SUCCESS,28167,78e6a549fe0a4a8e90b41w
Deepak-dpk,1609810935258,3,41663,28971,124990,2.3333333333333335,0,7,7,0,16,SUCCESS,28971,gDTBFK77TM6wD6uObZlulA
JPMC-Rogue-Hyderabad,1609911637626,3,35596,29271,106788,1.3333333333333333,0,4,4,2,17,SUCCESS,29271,LKdw_hyKTSu7moFuxbmiZw
msckrishna,1611222560419,3,39805,29464,119416,1.3333333333333333,0,4,4,387,18,SUCCESS,29464,0WzrOeJ0QKWImSlHFOkcYQ
rosscomp1,1612134544777,3,39713,29905,119139,1.3333333333333333,0,4,4,233,19,SUCCESS,29905,fb0d597a87f94697aa1c6w
muzi,1611139675431,3,43915,30600,131747,2.3333333333333335,0,7,7,282,20,SUCCESS,30600,-MRzonoQTti4O6q-Q7tYmQ
hypersky,1611791641810,3,33032,30998,99097,0.3333333333333333,0,1,1,20,21,SUCCESS,30998,539a3d99c68045b4b9784w
nalbam-me,1611154712823,3,34122,31452,102368,0.3333333333333333,0,1,1,10,22,SUCCESS,31452,PnRru4vBRkeyT4xX6LOCtw
alexj,1611909283754,3,39789,32349,119369,1.3333333333333333,0,4,4,56,23,SUCCESS,32349,Km6btE1_SFCCCqWJ4H6Fyg
Arcjude,1609939639821,3,35878,34044,107636,0.3333333333333333,0,1,1,0,24,SUCCESS,34044,9uDvvD4JRjWEWMYrxDGdFg
condoriano,1609910966575,3,44201,34103,132605,2.6666666666666665,0,8,8,0,25,SUCCESS,34103,xq_a3388T3Ob0PANJ2qulQ
ferrite,1610354986691,3,35772,34188,107318,0.3333333333333333,0,1,1,58,26,SUCCESS,34188,SRAgn9lMTCmIjaBREP7hxA
BoogieTimeProductions,1611740523126,3,45712,34536,137137,2.0,0,5,6,978,27,SUCCESS,34536,MUyQlFafT0yFhQr1sApn9Q
JPMC-DriftKing-Houston,1610250828747,3,39042,35047,117126,2.0,0,6,6,2,28,SUCCESS,35047,fngewpiZSZm11yX7YgwnMA
VaughanDiesel,1611258869163,3,48945,35346,146836,3.3333333333333335,0,10,10,5,29,SUCCESS,35346,ca37b6d347cd4f69aa20bw
onlythree,1610445960391,3,39438,35441,118316,0.6666666666666666,0,2,2,4,30,SUCCESS,35441,23e254b25ea0443389ed6w
AJM-Model-1,1612063717158,3,39207,36313,117622,0.3333333333333333,0,1,1,11,31,SUCCESS,36313,gdsU9bkGRWW7LTEHP4rGgQ
IcePandaBoom,1609929713480,3,39849,36448,119547,0.6666666666666666,0,2,2,3,32,SUCCESS,36448,BTPWujqqTBOWGAFvEKyRaA
Jianlong,1611981642243,3,38212,36745,114637,1.0,0,3,3,1,33,SUCCESS,36745,vpsHYdBtSIq__1M9j1R21Q
Otaboroid,1610035609841,3,44019,37677,132058,1.0,0,3,3,29,34,SUCCESS,37677,UZOXxzgqTEq-U_FlPY-vGQ
q1,1610224981092,3,44305,37954,132915,1.3333333333333333,0,4,4,3,35,SUCCESS,37954,Q23eB2BET4q0jsGh6iVxMQ
piano,1610637779368,3,52514,38336,157543,3.6666666666666665,0,11,11,176,36,SUCCESS,38336,UlhPeJD_R1mP1YVlotOxSA
upbeta,1610358085145,3,49087,38477,147262,1.6666666666666667,0,5,5,51,37,SUCCESS,38477,de5787299a974bd3af834w
datarepublic-kai,1611560548523,3,48076,39561,144229,3.3333333333333335,0,10,10,23,38,SUCCESS,39561,eXPlkioUSSqoFgaZ15P1Ig
Yxcas-DBS,1609894523677,3,44002,39895,132006,1.6666666666666667,0,5,5,1,39,SUCCESS,39895,NdVUBlBJRqiz_zbY7Xn-2g
RafaelT,1610777550378,3,44601,40277,133804,0.6666666666666666,0,2,2,7,40,SUCCESS,40277,nh20eR6wSW2uOCJ_nRnUvg
RunBabyRun,1610702278717,3,42049,40708,126147,0.0,0,0,0,6,41,SUCCESS,40708,doD1-J-eSrOBOrxWtvFiHg
K-racer,1611268123335,3,44451,40841,133355,0.6666666666666666,0,2,2,6,42,SUCCESS,40841,B3IL9RyJQ1e3VMi266gSTA
AM730,1611633836932,3,58548,40982,175646,3.0,0,9,9,433,43,SUCCESS,40982,BVyCq7XIT-ObuDsJfFVtDA
Duckworth,1609881894931,3,44778,41099,134334,0.3333333333333333,0,1,1,0,44,SUCCESS,41099,VIu9BQ4-Th6gUqu60ztwUQ
dartjason,1609814411136,3,48149,42458,144448,0.6666666666666666,0,2,2,2,45,SUCCESS,42458,JSflDq5rQgKEuA5Ots4kDQ
CaliSchwiizer,1612132629943,3,42843,42466,128530,0.0,0,0,0,2,46,SUCCESS,42466,5058375c4d2440908e5b1Q
Robin-Castro,1609927347105,3,49078,42576,147236,3.3333333333333335,0,10,10,0,47,SUCCESS,42576,qaH8R2-8TlG79mslpdPfGg
GT-Racing,1611002038114,3,54229,42651,162688,1.6666666666666667,0,5,5,172,48,SUCCESS,42651,w9zvXqmyRFWjHCr1e_v0-g
kbdyd,1612137566351,3,46664,42971,139992,0.3333333333333333,0,1,1,15,49,SUCCESS,42971,L5SehNBuRi2u6fKQ2fiB9g
LetoTech,1612026492980,3,50875,43797,152625,2.0,0,6,6,5,50,SUCCESS,43797,ZhIcY39WQQKACfhFoRy2Mw
KasztP,1610635933364,3,65033,44948,195099,5.666666666666667,0,13,17,36,51,SUCCESS,44948,B_NHhZzIT7yLboMZHKC3Qw
My-First-Deep-Racer,1612130370205,3,48773,45334,146321,0.6666666666666666,0,2,2,3,52,SUCCESS,45334,Elcr3Cw7QOG81a4Qc9Fbrw
kimmizian,1610178132805,3,47632,45712,142898,3.3333333333333335,0,10,10,0,53,SUCCESS,45712,t6NwFsqgS4mYnFeR3KVxsg
solar,1610349380360,3,49481,46220,148443,0.6666666666666666,0,2,2,2,54,SUCCESS,46220,QZKXWJtVRsSvEYlQNQw5vQ
Zoomie5000,1610998178373,3,59745,46397,179235,3.3333333333333335,0,10,10,3,55,SUCCESS,46397,bF9jh33sRjazRG8klsoXVA
Jarvis-won,1610656200350,3,53414,46621,160243,2.0,0,6,6,12,56,SUCCESS,46621,hJ2GT3xzQWGsXA2OG-EQDw
Groovy-DNPds,1611023137185,3,53801,48129,161404,3.0,0,9,9,0,57,SUCCESS,48129,a4fb0e167d0e4112942c1Q
ep-dr-racer1,1611289601365,3,49610,48996,148831,2.0,0,6,6,0,58,SUCCESS,48996,vEZxFEnhQHeI5tKR4Tz3rQ
Merfoulis,1612130775780,3,50889,49244,152668,0.0,0,0,0,11,59,SUCCESS,49244,ZXo038NgQoikG6lL_A5fVQ
JPMC-HandsFree-London,1611569965028,3,57119,49566,171357,4.333333333333333,0,13,13,0,60,SUCCESS,49566,DZAYqyd-Tp6eE15IopWCgQ
bencole1,1610503055800,3,58472,49730,175416,2.3333333333333335,0,7,7,24,61,SUCCESS,49730,lwyqwd4hR1iYRVr-561kuw
firsttryy,1612003107852,3,54362,49940,163087,1.0,0,3,3,15,62,SUCCESS,49940,UHlK_YbYQHGZG1XunYPjFQ
Dimitri,1611761091649,3,58545,52591,175635,3.0,0,9,9,1,63,SUCCESS,52591,5ff8e242551c42fbbb759w
Awaken,1611903594313,3,53483,52661,160451,0.0,0,0,0,0,64,SUCCESS,52661,mbSnus44R8erkCVWzACUAQ
QuangTriCoLen,1609923876121,3,63170,54410,189512,5.333333333333333,0,16,16,0,65,SUCCESS,54410,a4FWNuB2S5iOC2jjiXUMAA
ady,1611210553558,3,60909,55084,182729,0.6666666666666666,0,2,2,56,66,SUCCESS,55084,gG4hi9FlTlKMjDh9jcMTwA
Erykthdead,1611354454640,3,62161,56168,186483,2.0,0,6,6,3,67,SUCCESS,56168,cd684bf491c743d5945e8w
Nao-Michi,1611160400507,3,61333,58052,184000,0.6666666666666666,0,2,2,4,68,SUCCESS,58052,QK454g3PT3qgGs6CjHlWyQ
BT,1611977840853,3,64295,59254,192886,3.0,0,9,9,6,69,SUCCESS,59254,ef8838911dbf4870a5deeQ
CsaAlvarez7,1610659999632,3,72374,59449,217123,4.0,0,12,12,14,70,SUCCESS,59449,7md_joF-Q2K3rNEUjoD6ZQ
nnnnic,1610761399582,3,83157,59462,249471,9.0,0,27,27,5,71,SUCCESS,59462,5UI0_XHCRbi2XryNPGLFjA
mayumi-nakagawa,1611650364548,3,66712,62472,200137,2.0,0,6,6,10,72,SUCCESS,62472,8lkgTWHqTQuyH7fwn0Lk6w
daldalhi,1611915480189,3,66633,63476,199899,3.3333333333333335,0,10,10,7,73,SUCCESS,63476,GQOvSB0AS6iiIMD1YVju0w
younjinjeong,1611466650957,3,73447,63777,220343,1.6666666666666667,0,5,5,16,74,SUCCESS,63777,g_x_PqQ4TEi0eZdtE1xFmA
msckris77,1611557069158,3,80911,64113,242735,7.666666666666667,0,23,23,33,75,SUCCESS,64113,7v9zv1EGScSoJ0crCfRVnA
WaveLabCup-test,1609845710126,3,68481,65533,205444,2.3333333333333335,0,7,7,0,76,SUCCESS,65533,VoDpVnVvR6CwWViNtPYWXA
sarinda,1611544824398,3,68789,65791,206369,0.3333333333333333,0,1,1,1,77,SUCCESS,65791,-lgMS_evRJ64xWGcyq3wZg
MING-CHUN,1611022789766,3,86543,67354,259629,9.333333333333334,0,28,28,0,78,SUCCESS,67354,qoQoafc4RhGMzWx_fwBp4w
IceManNCSU,1611865976469,3,76207,68261,228621,6.0,0,18,18,0,79,SUCCESS,68261,3a7d947b99fb49f682909Q
Kurtis,1610939148254,3,73265,68996,219795,0.6666666666666666,0,2,2,4,80,SUCCESS,68996,ixWs0fkrSw2y37LIC4veCw
mgtaylor,1611332853713,3,80254,69546,240762,2.3333333333333335,0,7,7,0,81,SUCCESS,69546,wow88NQnR86vja750CIKBA
Wasabi-DevelopersIO,1610975421409,3,77939,69695,233817,2.6666666666666665,0,8,8,419,82,SUCCESS,69695,Fmb5j9UgQ_2xkleK0vwXOg
MadRaxer,1612107257777,3,79354,72281,238064,5.0,0,15,15,1,83,SUCCESS,72281,jtq5iwpXSqyrwvZkVRObgQ
DiegoGalhardo,1611605315537,3,76174,72909,228522,1.6666666666666667,0,5,5,7,84,SUCCESS,72909,Vpcc4HOIQhaYx4WIEpQvGQ
lucastestracer,1609927511524,3,75068,73340,225206,0.0,0,0,0,0,85,SUCCESS,73340,d3yVN0gBTreown3G2yhQYQ
junseokim,1611303184959,3,79587,73668,238761,0.6666666666666666,0,2,2,5,86,SUCCESS,73668,yP9E1cjYQz-7a5H01Z50hw
2021AWSDeepRacerLeague,1611223781482,3,87841,73719,263525,7.333333333333333,0,22,22,34,87,SUCCESS,73719,W36sUzCbS_Szw70aBqz4NQ
Baskar-M,1610578440627,3,76598,73829,229795,0.3333333333333333,0,1,1,5,88,SUCCESS,73829,106Wqg0HSEacyTl9Mkhmrw
Sample2,1611123002576,3,78991,74151,236974,0.6666666666666666,0,2,2,0,89,SUCCESS,74151,LO7csq1zR1qJW4zj_KqaLA
Ken987,1609962941717,3,77733,74872,233200,0.0,0,0,0,4,90,SUCCESS,74872,9jOUWa2hQpK-QExPvAc_Jg
QuickStart-1,1611910960352,3,85361,74932,256084,1.3333333333333333,0,4,4,0,91,SUCCESS,74932,3jS_11zURNyQ_I4fAVML9Q
hmzhuxd2021,1612066867388,3,82860,75364,248582,1.0,0,3,3,1,92,SUCCESS,75364,Zj0L49fXTcO8bM7Aa4vjsQ
AbdElrhman-Mohamed,1612128358705,3,76050,75790,228152,6.0,0,18,18,1,93,SUCCESS,75790,d9243e581b3845caac264w
Pikabun,1610540652837,3,78020,75924,234060,0.0,0,0,0,15,94,SUCCESS,75924,DJ-LFVBCQMKNd7xgHOkOZQ
ahmetcicekci,1610693111179,3,91732,76608,275198,2.0,0,6,6,1,95,SUCCESS,76608,l1pTBMTvSri4ps6tiy5mNg
Polite,1611899657927,3,90210,76898,270631,7.333333333333333,0,22,22,1,96,SUCCESS,76898,lQ8O1fAoSOy9AWs8ZCvQiQ
hzy,1611747687754,3,85007,76927,255022,1.3333333333333333,0,4,4,6,97,SUCCESS,76927,ucs09CKFQuC751L0Lvqz4Q
jph,1611284652942,3,80155,77196,240467,0.3333333333333333,0,1,1,8,98,SUCCESS,77196,SB34o_vVQMu62V9eA9BONg
YuwenShi,1611925761120,3,84721,77802,254164,7.333333333333333,0,22,22,14,99,SUCCESS,77802,lsfTPfiKQcuISEiMdJjGYw
StephGouw,1610679287003,3,86976,78110,260929,5.0,0,15,15,75,100,SUCCESS,78110,v7bUWCtxSgC6n8Q2BZ1Bzg
TimboSlice,1610245973538,3,83577,78856,250732,4.666666666666667,0,14,14,1,101,SUCCESS,78856,vMGfBeX9SXKjuY1QleKJ-A
MrGorbo,1610393921990,3,79942,79250,239827,0.0,0,0,0,14,102,SUCCESS,79250,RrW5lMcsR1Glb3YfLOxChQ
CuBinh-VNN,1609998236126,3,82489,79586,247467,4.666666666666667,0,14,14,0,103,SUCCESS,79586,b8b138d57818407b9c5e0w
NumpyRacer,1610054063572,3,97159,79602,291477,9.666666666666666,0,29,29,19,104,SUCCESS,79602,TWuzXpxMRhSTxVnXKsmATg
ZhangSiQi,1611755400386,3,87522,80077,262568,9.333333333333334,0,28,28,0,105,SUCCESS,80077,jW9G1zvsShKIdpdkOxBXbQ
Elligator,1610419857017,3,82463,80204,247390,0.0,0,0,0,0,106,SUCCESS,80204,dfe00vJHQKGj9zMmrBbwMg
Johnnie-Ng,1611548298489,3,95400,80421,286200,11.0,0,33,33,6,107,SUCCESS,80421,gXM0P3oXS7uIKpfSZv7XGA
China,1612071518591,3,92556,81464,277670,1.6666666666666667,0,5,5,2,108,SUCCESS,81464,ot_LcmwTQSKQBjXaBQEL2g
Sherman,1610698651464,3,83991,81484,251974,6.333333333333333,0,19,19,74,109,SUCCESS,81484,w8jSVWZWQwuKnMNtypjCig
anct20191221,1610341799192,3,89040,81601,267120,0.6666666666666666,0,2,2,26,110,SUCCESS,81601,4ec1417507d04d8387000w
Nautilus,1610525645508,3,87008,81683,261025,1.0,0,3,3,5,111,SUCCESS,81683,E23T8pZdROWwPDVMnf0Lvg
CodeNinjas,1610313160088,3,92906,81838,278720,9.0,0,27,27,1,112,SUCCESS,81838,cdSzttJlTAi2lmqJWOD7ug
eason1029,1611395006144,3,96586,81895,289760,10.0,0,30,30,3,113,SUCCESS,81895,YdPSsDY5TwOE-THsTLmOFg
AlMeteor,1612008079904,3,89533,81911,268599,2.6666666666666665,0,8,8,35,114,SUCCESS,81911,HbjBvJ31RMK53AZHrNK6aw
2021AWSDEEPRACER,1610545611460,3,87845,82040,263537,1.3333333333333333,0,3,4,14,115,SUCCESS,82040,gDtaFYWHQ62F9roLtAzAZA
Sabby,1610170790010,3,91596,82114,274788,1.6666666666666667,0,5,5,5,116,SUCCESS,82114,C3juw-q6Sv63pPb4Zy6N-g
MaryamR,1611788862748,3,89258,82144,267774,1.3333333333333333,0,4,4,1,117,SUCCESS,82144,oWIFxjq2THiEQah9t9kVgw
He-is-trying-his-best-dont-be-mean,1610239163317,3,91126,82332,273378,8.0,0,24,24,5,118,SUCCESS,82332,d4GEOzRxSUCQpTIIdiVWng
gdawg,1610077943118,3,86303,82994,258909,0.6666666666666666,0,2,2,1,119,SUCCESS,82994,0qE24ew-SF21n8zzl64L3Q
charchar,1610791466237,3,102126,83285,306378,13.0,0,39,39,12,120,SUCCESS,83285,Rz2rr81GTs-kuzincjT3_A
MiguelLasmariasPog,1610678276199,3,93055,83441,279165,9.333333333333334,0,28,28,1,121,SUCCESS,83441,3GygWn16THeBqmO3-UFBVQ
aslowlearner,1610629842443,3,92250,83526,276751,1.0,0,3,3,4,122,SUCCESS,83526,i8XQYhZNS82m73150NYzow
SynoptekTechBlazersPawan,1611591788659,3,102854,83591,308564,12.666666666666666,0,38,38,6,123,SUCCESS,83591,-EoQZXNcSk-RMOkI-lzAhg
SebastianVettel,1611843448359,3,87107,83608,261321,0.3333333333333333,0,1,1,0,124,SUCCESS,83608,OBsjUj-YTRqJZxgAfvmpKw
JonathanJiao,1611532294459,3,91618,84542,274854,0.3333333333333333,0,1,1,2,125,SUCCESS,84542,ToXG5_NKTiS5e_3t7JmSTw
BigDaddy35BRC,1610891010009,3,94442,84761,283327,2.3333333333333335,0,7,7,0,126,SUCCESS,84761,n3L9AzE4QjSZ5Aok3th88A
random,1610878492272,3,86796,84778,260388,0.3333333333333333,0,1,1,1,127,SUCCESS,84778,0G0gla-7ThKWdW_mrobQ6A
test-race-haoting,1611870329446,3,93345,84875,280037,1.3333333333333333,0,4,4,2,128,SUCCESS,84875,GcDcstYDTniefBaV5UmhqA
xiaoxd,1611978382017,3,94730,84935,284192,1.6666666666666667,0,4,5,0,129,SUCCESS,84935,svYshpyPRIaorxMd5IGMdQ
GunzRacings,1611201457131,3,89473,84989,268420,9.666666666666666,0,29,29,17,130,SUCCESS,84989,5C1qxZn1R86yK5JDMrQwiw
DCBAndrewHudsonYang,1612036602612,3,100278,85429,300836,8.0,0,24,24,3,131,SUCCESS,85429,h4dAZq31QbmsYRB3a8g_IA
