Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1699642070808,1,21005,21005,72536,0.6666666666666666,0,2,2,3,SUCCESS,21005,fb0d597a87f94697aa1c6w
2,dcongtinh,1699705842941,1,21393,21393,65862,0.0,0,0,0,9,SUCCESS,21393,CqZmW8kHQti0P4KOd0cLdA
3,JJ,1699578268022,1,21394,21394,64662,0.0,0,0,0,7,SUCCESS,21394,afdcX_4vRH6Ussd0mbg5LQ
4,CodeMachine,1700870036046,1,21538,21538,76527,1.0,0,3,3,10,SUCCESS,21538,b_WzN_r8ToGPle_8bl2tMA
5,ferrite,1700764288419,1,21664,21664,75009,0.6666666666666666,0,2,2,10,SUCCESS,21664,SRAgn9lMTCmIjaBREP7hxA
6,TonyJ,1701045006113,1,21669,21669,74877,0.6666666666666666,0,2,2,6,SUCCESS,21669,af962be5a4ed4c57af807w
7,CYC-NYCU,1700662699390,1,21804,21804,66382,0.0,0,0,0,2,SUCCESS,21804,j5tp4OH7Tg22hlwnPfhtvQ
8,Duckworth,1699718959499,1,21864,21864,67188,0.0,0,0,0,6,SUCCESS,21864,VIu9BQ4-Th6gUqu60ztwUQ
9,PolishThunder,1699651741188,1,22135,22135,68193,0.0,0,0,0,9,SUCCESS,22135,qi512oGVTry8V-KtP6j2_w
10,Eviden-Mark-Ross,1700923889537,1,22327,22327,70117,0.0,0,0,0,19,SUCCESS,22327,F_ThjPFRSx-guPadHlwEuA
11,Ensono-Ernesto,1700741832921,1,22466,22466,68658,0.0,0,0,0,8,SUCCESS,22466,8zBEAp0-S5yGbcZvytGZGQ
12,Off-track,1700432600546,1,22469,22469,74824,0.6666666666666666,0,2,2,1,SUCCESS,22469,1R021ZoDQrqxSUiHfBvyEw
13,JPMC-Rogue-COL,1700846137933,1,22544,22544,72611,0.3333333333333333,0,1,1,12,SUCCESS,22544,_W5Y-ICNSuGKBn7bvv8qzw
14,JPMC-London-Griffc,1700937906967,1,22594,22594,76187,0.6666666666666666,0,2,2,1,SUCCESS,22594,S1EcBZeaRjW2s85WNzBBog
15,DaVinciDriver,1700242017381,1,22651,22651,73340,0.3333333333333333,0,1,1,11,SUCCESS,22651,XtzXYz2pRByDnXz90XNGSw
16,RayG-DBS,1700944394271,1,22806,22806,77477,0.6666666666666666,0,2,2,4,SUCCESS,22806,YNrvM9f5RteeSrCl7oFC5w
17,IcePandaBoom,1700910322920,1,23117,23117,72885,0.3333333333333333,0,1,1,2,SUCCESS,23117,BTPWujqqTBOWGAFvEKyRaA
