Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1701666461200,1,20460,20460,74653,1.0,0,3,3,9,SUCCESS,20460,fb0d597a87f94697aa1c6w
2,JJ,1701648172462,1,20863,20863,63788,0.0,0,0,0,12,SUCCESS,20863,afdcX_4vRH6Ussd0mbg5LQ
3,TonyD,1699705842941,1,21393,21393,65862,0.0,0,0,0,9,SUCCESS,21393,CqZmW8kHQti0P4KOd0cLdA
4,CodeMachine,1701100755332,1,21462,21462,69447,0.3333333333333333,0,1,1,11,SUCCESS,21462,b_WzN_r8ToGPle_8bl2tMA
5,TonyJ,1701075425483,1,21468,21468,70278,0.3333333333333333,0,1,1,50,SUCCESS,21468,af962be5a4ed4c57af807w
6,ferrite,1700764288419,1,21664,21664,75009,0.6666666666666666,0,2,2,10,SUCCESS,21664,SRAgn9lMTCmIjaBREP7hxA
7,Off-track,1701486910967,1,21803,21803,70203,0.3333333333333333,0,1,1,30,SUCCESS,21803,1R021ZoDQrqxSUiHfBvyEw
8,CYC-NYCU,1700662699390,1,21804,21804,66382,0.0,0,0,0,2,SUCCESS,21804,j5tp4OH7Tg22hlwnPfhtvQ
9,Duckworth,1699718959499,1,21864,21864,67188,0.0,0,0,0,6,SUCCESS,21864,VIu9BQ4-Th6gUqu60ztwUQ
10,PolishThunder,1699651741188,1,22135,22135,68193,0.0,0,0,0,10,SUCCESS,22135,qi512oGVTry8V-KtP6j2_w
11,DBro,1701183377615,1,22271,22271,67984,0.0,0,0,0,9,SUCCESS,22271,jEkEOpjZRhGUbyDZIfTo_A
12,Eviden-Mark-Ross,1700923889537,1,22327,22327,70117,0.0,0,0,0,20,SUCCESS,22327,F_ThjPFRSx-guPadHlwEuA
13,JPMC-HYD-SmartAccelerators,1701060327963,1,22328,22328,71815,0.3333333333333333,0,1,1,14,SUCCESS,22328,6jJ_fiuUQb2PZXOGkr3V7g
14,ZoD,1701350061000,1,22339,22339,69408,0.0,0,0,0,50,SUCCESS,22339,TFtvCas4TRWchrBPMyGh0A
15,Marco-Solo,1701107023733,1,22414,22414,68177,0.0,0,0,0,2,SUCCESS,22414,Hg2CJNXMRmijQmd_jMSJyw
16,JPMC-Rogue-COL,1701177168673,1,22465,22465,79188,1.0,0,3,3,16,SUCCESS,22465,_W5Y-ICNSuGKBn7bvv8qzw
17,Ernesto-PhilJ,1700741832921,1,22466,22466,68658,0.0,0,0,0,14,SUCCESS,22466,8zBEAp0-S5yGbcZvytGZGQ
18,JPMC-London-Griffc,1700937906967,1,22594,22594,76187,0.6666666666666666,0,2,2,1,SUCCESS,22594,S1EcBZeaRjW2s85WNzBBog
19,DaVinciDriver,1700242017381,1,22651,22651,73340,0.3333333333333333,0,1,1,13,SUCCESS,22651,XtzXYz2pRByDnXz90XNGSw
20,IcePandaBoom,1701193993245,1,22793,22793,69581,0.0,0,0,0,8,SUCCESS,22793,BTPWujqqTBOWGAFvEKyRaA
21,DoomBuggy,1701069860647,1,22799,22799,81985,1.0,0,3,3,17,SUCCESS,22799,QakV_nzOTm2q_NhqUMwIJw
22,RayG-DBS,1700944394271,1,22806,22806,77477,0.6666666666666666,0,2,2,4,SUCCESS,22806,YNrvM9f5RteeSrCl7oFC5w
23,nickyl,1701072834166,1,23065,23065,70053,0.0,0,0,0,6,SUCCESS,23065,O0GALYAoRfGA0kUV6ftgqQ
