Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
JJ,1603111802679,3,19541,18990,58625,0.0,0,0,0,6088,1,SUCCESS,58625,afdcX_4vRH6Ussd0mbg5LQ,
ShaoXiong-NCTU-CGI,1604031018223,3,20385,20037,61157,0.0,0,0,0,281,2,SUCCESS,61157,5iGoA9ndQwaHoJSmWA5Ltw,
dartjason,1604112293864,3,23513,23053,70541,0.0,0,0,0,104,3,SUCCESS,70541,JSflDq5rQgKEuA5Ots4kDQ,
Duckworth,1602672067932,3,25292,24859,75878,0.0,0,0,0,721,4,SUCCESS,75878,VIu9BQ4-Th6gUqu60ztwUQ,Accenture
Ensono-Ernesto,1603640838210,3,33345,32682,100036,0.0,0,0,0,988,5,SUCCESS,100036,8zBEAp0-S5yGbcZvytGZGQ,
Arcjude,1604013772602,3,34438,32733,103314,0.3333333333333333,1,0,1,293,6,SUCCESS,103314,9uDvvD4JRjWEWMYrxDGdFg,
CGS-LargeLattice,1603916665606,3,36203,34247,108611,0.3333333333333333,1,0,1,107,7,SUCCESS,108611,o6NgljsnTOOelVAsofMR3g,
flatearth,1604015760575,3,36232,27741,108697,2.0,5,1,6,16,8,SUCCESS,108697,9e3a9607a4e04ba2b1a49w,
Matt,1603565732936,3,37355,36804,112065,0.0,0,0,0,155,9,SUCCESS,112065,cVk-aYKdRUmuL0qmjyzmag,
blueberrypie,1603250368883,3,46477,46070,139432,4.0,10,2,12,707,10,SUCCESS,139432,EmZsQC41RtW5hhxb6z2-xQ,
kimmizian,1602865851799,3,47988,42500,143965,4.0,8,4,12,1969,11,SUCCESS,143965,t6NwFsqgS4mYnFeR3KVxsg,
ep-dr-racer1,1604126560840,3,51008,42431,153024,4.666666666666667,12,2,14,1139,12,SUCCESS,153024,vEZxFEnhQHeI5tKR4Tz3rQ,
JPMC-HandsFree-London,1604125065420,3,51535,48395,154605,2.3333333333333335,6,1,7,94,13,SUCCESS,154605,DZAYqyd-Tp6eE15IopWCgQ,JPMorgan Chase
ABaykov,1602037214481,3,55162,49207,165486,3.0,7,2,9,65,14,SUCCESS,165486,aa28j7SWTd-LxMzvFoj_bA,
Jochem,1604170332163,3,63221,55143,189665,6.333333333333333,11,8,19,11,15,SUCCESS,189665,RBPhZc5eTVmEF_gpSV7skg,
MING-CHUN,1603077361407,3,63256,43868,189768,2.6666666666666665,5,2,8,2,16,SUCCESS,189768,qoQoafc4RhGMzWx_fwBp4w,
DBro,1604070447444,3,68198,63513,204595,5.666666666666667,12,5,17,17,17,SUCCESS,204595,jEkEOpjZRhGUbyDZIfTo_A,
Veer,1601746734437,3,68854,58978,206562,3.6666666666666665,8,3,11,343,18,SUCCESS,206562,TvFoQDwKQdezaAencuUZ6A,
