Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision
RogerRabbit,1620941123375,1,20915.0,20915.0,156984.0,0.8333333333333334,2,3,5,0,1,SUCCESS,20915,OPEN
GT-DevelopersIO,1620952279794,1,22196.0,22196.0,153321.0,1.4,4,3,7,0,2,SUCCESS,22196,OPEN
PolishThunder,1620927727559,1,22489.0,22489.0,179467.0,1.1666666666666667,2,5,7,0,3,SUCCESS,22489,OPEN
Ernesto,1620936731411,1,24879.0,24879.0,145713.0,2.0,7,1,8,0,4,SUCCESS,24879,OPEN
Mungi,1620956932527,1,25002.0,25002.0,161257.0,0.16666666666666666,1,0,1,1,5,SUCCESS,25002,OPEN
flatearth,1620313027705,1,27820.0,27820.0,157809.0,1.6,4,4,8,0,6,SUCCESS,27820,OPEN
JPMC-DriftKing,1620950405645,1,28829.0,28829.0,76698.0,2.5,3,2,5,0,7,SUCCESS,28829,OPEN
Jochem,1620939092690,1,29119.0,29119.0,173565.0,2.0,6,4,10,0,8,SUCCESS,29119,OPEN
Rober,1620950995133,1,30813.0,30813.0,129564.0,1.25,2,3,5,0,9,SUCCESS,30813,OPEN
dartjason,1620956819616,1,33241.0,33241.0,119167.0,2.0,4,2,6,0,10,SUCCESS,33241,OPEN
Duckworth,1620678606832,1,40527.0,40527.0,40527.0,2.0,1,1,2,0,11,SUCCESS,40527,OPEN
Maikel,1620943817322,1,45773.0,45773.0,152590.0,4.666666666666667,7,7,14,0,12,SUCCESS,45773,OPEN
Penguin-DNPds,1620951310591,1,53304.0,53304.0,138804.0,7.5,10,5,15,0,13,SUCCESS,53304,OPEN
RobinCastro-DBS,1620956961499,1,73938.0,73938.0,166203.0,10.5,14,7,21,0,14,SUCCESS,73938,OPEN
AIDeepRacer,1620956829856,1,88270.0,88270.0,88270.0,11.0,7,4,11,0,15,SUCCESS,88270,OPEN
AJM-Model-1,1620949900813,0,,,,0.0,0,0,0,0,16,SUCCESS,9223372036854775731,OPEN
