Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JPMC-RogerRabbit-Houston,1620957095853,1,20171.0,20171.0,165550.0,0.42857142857142855,3,0,3,0,1,SUCCESS,20171,OPEN,DXXOncNRR1iiqhBvpPO-_A
flatearth,1620957142195,1,21673.0,21673.0,174994.0,1.3333333333333333,5,3,8,0,2,SUCCESS,21673,OPEN,9e3a9607a4e04ba2b1a49w
PolishThunder,1620956812906,1,21828.0,21828.0,176066.0,1.1666666666666667,0,7,7,0,3,SUCCESS,21828,OPEN,qi512oGVTry8V-KtP6j2_w
GT-DevelopersIO,1620952279794,1,22196.0,22196.0,153321.0,1.4,4,3,7,1,4,SUCCESS,22196,OPEN,8WSp4P7ZRn-jJgZLnugwkA
JPMC-DriftKing-Houston,1620956809020,1,23970.0,23970.0,52674.0,0.5,1,0,1,1,5,SUCCESS,23970,OPEN,fngewpiZSZm11yX7YgwnMA
Ensono-Ernesto,1620936731411,1,24879.0,24879.0,145713.0,2.0,7,1,8,0,6,SUCCESS,24879,OPEN,8zBEAp0-S5yGbcZvytGZGQ
Jochem,1620956809068,1,24977.0,24977.0,159283.0,1.4,1,6,7,0,7,SUCCESS,24977,OPEN,RBPhZc5eTVmEF_gpSV7skg
Mungi,1620956932527,1,25002.0,25002.0,161257.0,0.16666666666666666,1,0,1,1,8,SUCCESS,25002,OPEN,RgTvucbNQja7yiYbgh2p9A
Rober,1620957041031,1,25487.0,25487.0,148049.0,2.0,4,4,8,2,9,SUCCESS,25487,OPEN,KrRSYhzKTfONjRaDUc_ubQ
dartjason,1620956819616,1,33241.0,33241.0,119167.0,2.0,4,2,6,0,10,SUCCESS,33241,OPEN,JSflDq5rQgKEuA5Ots4kDQ
Maikel,1620956837612,1,35701.0,35701.0,173096.0,6.0,11,7,18,0,11,SUCCESS,35701,OPEN,FeKoIRn0Tsa6tACAWZ_2gw
Duckworth,1620678606832,1,40527.0,40527.0,40527.0,2.0,1,1,2,0,12,SUCCESS,40527,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
Penguin-DNPds,1620957106854,1,50196.0,50196.0,131997.0,6.5,7,6,13,1,13,SUCCESS,50196,OPEN,Nr3YCYWGTA631Xqa0uDPhw
RobinCastro-DBS,1620956961499,1,73938.0,73938.0,166203.0,10.5,14,7,21,0,14,SUCCESS,73938,OPEN,7KrbyQXvTBOxnBa0p9YuUA
AIDeepRacer,1620956829856,1,88270.0,88270.0,88270.0,11.0,7,4,11,0,15,SUCCESS,88270,OPEN,pIRbdCx6QYatgVXm2p5GbA
AJM-Model-1,1620949900813,0,,,,0.0,0,0,0,0,16,SUCCESS,9223372036854775731,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
