Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Racer0,1633103667019,3,29687,26800,89062,2.6666666666666665,0,8,8,1,1,SUCCESS,89062,OPEN,dY54GPz6Q4-ri__AZcnzog
BrainyTest#7599,1633054438447,3,34175,31531,102525,1.6666666666666667,0,5,5,5,2,SUCCESS,102525,OPEN,k_aoSr_DRFq9xHHBn97OKQ
NguyenTrungThanh,1633049026721,3,35491,30941,106473,4.0,0,12,12,5,3,SUCCESS,106473,OPEN,kaVGgECET--R_b6c8bHhpQ
DorothyChen,1633067466428,3,37665,32928,112997,5.333333333333333,0,16,16,7,4,SUCCESS,112997,OPEN,tVI5ju_VTf2q4HzMfRgivg
Unsupervised-Racers,1633092338107,3,38105,36738,114317,2.3333333333333335,0,7,7,1,5,SUCCESS,114317,OPEN,owY2-b_kS9aa8-39rBz7Kw
HongKong-1-HK5,1633424266202,3,38305,37202,114916,4.333333333333333,0,13,13,5,6,SUCCESS,114916,OPEN,VpvceE1oSh6YMrECcvArOQ
JPMC-MUMBAI-FormulaAI,1633100828255,3,38663,36597,115990,5.0,0,15,15,2,7,SUCCESS,115990,OPEN,Gx2StgEoSza3Gxxo4Oghug
5thStWaffleHouse,1633458722961,3,38980,37212,116941,3.0,0,9,9,2,8,SUCCESS,116941,OPEN,OBD2dIZXS-S5qBalgCoUEg
RushingBear-NUK,1633075901104,3,39239,35994,117717,3.0,0,9,9,7,9,SUCCESS,117717,OPEN,R2fKLJClSIyIZKqNmDKkTA
MastBosch-DNPds,1633049133132,3,39525,38108,118575,5.666666666666667,0,17,17,1,10,SUCCESS,118575,OPEN,KHwVzXk7RF-UpZvca_jzUg
JPMC-HYD-CircuitBreakers,1633095800909,3,39812,38464,119438,0.3333333333333333,0,1,1,21,11,SUCCESS,119438,OPEN,vA_gK0vxTNWI-MTWEWLAxw
SwethaDeepRacer,1633051714686,3,39986,37462,119960,2.6666666666666665,0,8,8,1,12,SUCCESS,119960,OPEN,gRScGEGDTKKTiUUdqcb2kg
DmitriiUbirailo,1633199993879,3,40710,31939,122131,2.0,0,6,6,48,13,SUCCESS,122131,OPEN,w-TBIlbNSRC1GIXOUJ0yRg
Wingism,1633095274212,3,40910,40327,122732,4.0,0,11,12,3,14,SUCCESS,122732,OPEN,Spey2yUETeKA1doS2t-McQ
NeoAdaptation,1633159342071,3,41115,38202,123346,4.0,0,12,12,1,15,SUCCESS,123346,OPEN,dvLhYHuiSc2OoVf7nrTVag
DoomBuggy,1633406214911,3,41274,39060,123822,0.0,0,0,0,7,16,SUCCESS,123822,OPEN,QakV_nzOTm2q_NhqUMwIJw
Zero-dayNotation#0873,1633081123678,3,41440,39663,124320,3.3333333333333335,0,10,10,1,17,SUCCESS,124320,OPEN,4QpKTOPxSsWgzRRNDHpdlA
Shreyasi,1633165310201,3,41536,40066,124608,1.6666666666666667,0,4,5,6,18,SUCCESS,124608,OPEN,bCy_5iYESeGwCbF5orExPw
SRE-Aidan,1633078782250,3,41599,37330,124799,3.6666666666666665,0,11,11,1,19,SUCCESS,124799,OPEN,1rXjpWlKRyiBAiYXI8OM1w
AlexanderKorytko,1633440190131,3,41666,39926,125000,4.333333333333333,0,13,13,10,20,SUCCESS,125000,OPEN,H6z6Wf1HQSmfoNYo6NE9vg
Alone,1633046809105,3,42911,40173,128734,5.0,0,15,15,2,21,SUCCESS,128734,OPEN,vVLldFpfR32KUaZOn6LfKA
TestRacer123123,1633225921094,3,43641,40054,130925,3.6666666666666665,0,11,11,2,22,SUCCESS,130925,OPEN,IWNeSoPoQJ6WpOn9fd7Hmg
Bayang,1633070330057,3,43642,41410,130927,5.666666666666667,0,17,17,5,23,SUCCESS,130927,OPEN,7025becd29d44c3ca24b2Q
Digimon,1633235749362,3,43652,37666,130957,6.333333333333333,0,19,19,6,24,SUCCESS,130957,OPEN,7GqSyoIYTHSG8Xsw2L67Ug
VasiliHapanovich,1633383315168,3,43716,41137,131150,3.6666666666666665,0,11,11,12,25,SUCCESS,131150,OPEN,qfXof-6xTAq0kpVHhU2P5Q
ViktorMishyn,1633427560448,3,43861,41849,131583,1.3333333333333333,0,4,4,11,26,SUCCESS,131583,OPEN,xhKPT0W7SzaW8Kpf1nm0Uw
DraftDocumentation#4895,1633059960564,3,43982,35604,131947,5.333333333333333,0,16,16,1,27,SUCCESS,131947,OPEN,fhhH_Ml7QeCg9zVVeW9jPQ
MachineMetaclass#4100,1633437306499,3,44095,41339,132285,3.0,0,9,9,2,28,SUCCESS,132285,OPEN,K_d7baeYSOemch3Eb197xg
spidey,1633486535365,3,44221,42671,132663,4.333333333333333,0,13,13,2,29,SUCCESS,132663,OPEN,9ce954d4cb9d43bc9bd9cQ
DebasishAWSDeepRacer,1633345376211,3,44259,40992,132778,5.333333333333333,0,16,16,1,30,SUCCESS,132778,OPEN,252ec499ac2d4391836a6Q
KannothS,1633066052770,3,44316,41722,132950,3.6666666666666665,0,11,11,2,31,SUCCESS,132950,OPEN,dFaEIsFsRkClWWGWC0LlXg
RDrift-US,1633048586683,3,44598,42527,133795,4.666666666666667,0,14,14,3,32,SUCCESS,133795,OPEN,LHmnch7nR76PVsxm9dVaVA
Riyadh,1633067415963,3,44819,40730,134459,5.666666666666667,0,17,17,1,33,SUCCESS,134459,OPEN,XEDnTwq3S1Kz0rVPu0hfrA
ProcessingLoop#6960,1633360632302,3,44912,43326,134736,5.333333333333333,0,16,16,7,34,SUCCESS,134736,OPEN,xOvFrfu8QBiEoJ8SZymBTw
AlexanderZykov,1633353668631,3,45521,43805,136564,0.0,0,0,0,11,35,SUCCESS,136564,OPEN,2jyfK9tRRWCfVqrSJAh_1g
qnet1,1633053575469,3,45738,44007,137214,5.0,0,14,15,6,36,SUCCESS,137214,OPEN,ndHmswy4RUa6R8LcyvrxOA
QM167,1633449202844,3,46132,42526,138398,1.3333333333333333,0,4,4,1,37,SUCCESS,138398,OPEN,PKkFUEm9Q1WYhvY-f-A3QQ
LeoVim,1633059251860,3,46380,44130,139140,5.333333333333333,0,15,16,2,38,SUCCESS,139140,OPEN,-vr0ppK9Sei4dXrz_iibXw
CS26,1633057188904,3,46466,43136,139398,6.666666666666667,0,20,20,12,39,SUCCESS,139398,OPEN,FDJhasexR4KMZJoky8tWbQ
Group1-UYSD5308,1633093830607,3,46505,41704,139517,5.333333333333333,0,16,16,1,40,SUCCESS,139517,OPEN,GXKQAdSMQmyT-LC1DXEPeA
k-art-i-k,1633218574751,3,46649,39121,139949,4.666666666666667,0,14,14,9,41,SUCCESS,139949,OPEN,ORSIBnmxS8KisktDFl39IQ
Ifindoubtflatout,1633355861854,3,46681,44777,140045,2.6666666666666665,0,8,8,5,42,SUCCESS,140045,OPEN,q9EEJqT_SGu1sp6zECiW8w
Sajith,1633183470075,3,46845,39938,140535,5.666666666666667,0,17,17,4,43,SUCCESS,140535,OPEN,EV9D5RuPTN-kqr55zL9PQw
Avewy,1633292881368,3,46982,44869,140946,4.666666666666667,0,14,14,9,44,SUCCESS,140946,OPEN,DDruDO9VT2ewt-jxoIaicg
AccessibleDelta#3146,1633447811613,3,47200,42524,141602,6.333333333333333,0,19,19,6,45,SUCCESS,141602,OPEN,rojUfFf0TBWxTwv9AQCWzw
YS,1633285555319,3,47244,35070,141732,6.666666666666667,0,20,20,17,46,SUCCESS,141732,OPEN,7Nt8IauNSUSaprAQVBQ3Ag
