Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
CGS-Ultimatum,1635601506237,3,19463,18726,58391,0.0,0,0,0,1014,1,SUCCESS,58391,OPEN,TV9WKnh6SqaCREjHP7EjCw
DoomBuggy,1635199336682,3,24556,23851,73668,0.0,0,0,0,1628,2,SUCCESS,73668,OPEN,QakV_nzOTm2q_NhqUMwIJw
DoomBuggy2,1633657242966,3,25609,23935,76828,0.3333333333333333,0,1,1,8,3,SUCCESS,76828,OPEN,8t9wQ_P1SyOdNkWCxHpWiw
BoomBoomCar,1635673185972,3,26084,24533,78253,0.0,0,0,0,14,4,SUCCESS,78253,OPEN,WQGRqTl4Q3Wit-1u4WhDGg
ovbiedo-pataki,1634806204754,3,26750,26315,80251,0.0,0,0,0,976,5,SUCCESS,80251,OPEN,djd04ZlYRNGKRz_dIbKvlA
Bazinga-73,1635452649045,3,28977,28341,86933,0.0,0,0,0,81,6,SUCCESS,86933,OPEN,7b59005b189b443fb6433w
Racer0,1633103667019,3,29687,26800,89062,2.6666666666666665,0,8,8,1,7,SUCCESS,89062,OPEN,dY54GPz6Q4-ri__AZcnzog
DraftPatch#1729,1635681942159,3,30174,29205,90522,0.0,0,0,0,14,8,SUCCESS,90522,OPEN,JtD9h1UpRs2tC0m1DgQrrg
awsandy,1634853175964,3,30248,28537,90744,0.3333333333333333,0,1,1,26,9,SUCCESS,90744,OPEN,qqgllayMTaSETlvPOdz2kw
CGS-Inception,1635721165254,3,31216,30517,93650,1.0,0,3,3,118,10,SUCCESS,93650,OPEN,F2k_OHHQSWOlYlhbzzvP5w
BeepBeepRibbyRibby,1635707203842,3,31488,29937,94466,0.0,0,0,0,24,11,SUCCESS,94466,OPEN,b36yGISCT_W-i-fEv_Dp-A
YAR,1635708422582,3,31497,29253,94492,3.6666666666666665,0,11,11,35,12,SUCCESS,94492,OPEN,B9_6_KEjTJWBWi_L9lz--g
Hustar-Team-7,1635400363931,3,32046,31549,96138,0.0,0,0,0,18,13,SUCCESS,96138,OPEN,8V3z6oHTT2GJCP-NusMPkQ
RomyRacing,1635613429348,3,33091,32938,99274,0.0,0,0,0,36,14,SUCCESS,99274,OPEN,lm-aIv1GShOTcqyk7IbVdQ
Geronimo,1634577372815,3,33458,31665,100375,0.3333333333333333,0,1,1,1,15,SUCCESS,100375,OPEN,e-wTIT-ZSCigYVXw1SkGYw
JPMC-BMTH-AlphaX,1634626446687,3,34020,31862,102061,1.6666666666666667,0,5,5,17,16,SUCCESS,102061,OPEN,w-ggkAnwSy-4JMty4ympSg
BrainyTest#7599,1633054438447,3,34175,31531,102525,1.6666666666666667,0,5,5,5,17,SUCCESS,102525,OPEN,k_aoSr_DRFq9xHHBn97OKQ
Sigmoid,1635177062489,3,34616,33603,103850,0.0,0,0,0,96,18,SUCCESS,103850,OPEN,2lPg1P8tSkOZzqoT9tFOkA
BackloggedLoop#1107,1635454710078,3,35047,32198,105141,4.666666666666667,0,14,14,1,19,SUCCESS,105141,OPEN,CxLK5itDR7u7cqofttCr_A
NguyenTrungThanh,1633049026721,3,35491,30941,106473,4.0,0,12,12,5,20,SUCCESS,106473,OPEN,kaVGgECET--R_b6c8bHhpQ
HK-Fast-but-not-furious,1633931729599,3,35651,34625,106953,4.0,0,12,12,33,21,SUCCESS,106953,OPEN,VpvceE1oSh6YMrECcvArOQ
Israel-1-Belle,1635620154342,3,36419,34604,109259,2.3333333333333335,0,7,7,20,22,SUCCESS,109259,OPEN,IzcBKCIKQROlKZA-A7gcHw
BetaPatch#1919,1634434775207,3,37017,36200,111053,4.0,0,12,12,1,23,SUCCESS,111053,OPEN,NDL2SoijTgWFWvGX48wMXQ
Pangzi,1634979560635,3,37060,33934,111182,4.666666666666667,0,14,14,12,24,SUCCESS,111182,OPEN,QwoLeMNTT1W-5WgadmNZCg
AutoSpeedingBalancer,1634920217741,3,37529,34984,112589,1.6666666666666667,0,5,5,7,25,SUCCESS,112589,OPEN,XpOGgHTMRX6hlu2Lab3yqA
DorothyChen,1633067466428,3,37665,32928,112997,5.333333333333333,0,16,16,7,26,SUCCESS,112997,OPEN,tVI5ju_VTf2q4HzMfRgivg
JaguarRobotics-Blaze,1635032976917,3,37775,34754,113326,0.6666666666666666,0,2,2,11,27,SUCCESS,113326,OPEN,JFZUNkIURT2jaHS6Hf5I0Q
NSX,1635276804388,3,37824,35871,113472,1.6666666666666667,0,5,5,5,28,SUCCESS,113472,OPEN,gPCX-G2gRge0e2BEAfBDqw
hirosys,1635656866126,3,37825,37077,113477,1.3333333333333333,0,4,4,419,29,SUCCESS,113477,OPEN,DhYHXwMpSFuKMR0_Hv3Ndg
ChoiJunYeong,1635219956005,3,38063,37926,114189,2.0,0,6,6,64,30,SUCCESS,114189,OPEN,dL7KOE4GTayQL41P_ptoXw
Unsupervised-Racers,1633092338107,3,38105,36738,114317,2.3333333333333335,0,7,7,1,31,SUCCESS,114317,OPEN,owY2-b_kS9aa8-39rBz7Kw
Hustar-team8,1635677786528,3,38193,34800,114580,1.0,0,3,3,50,32,SUCCESS,114580,OPEN,0sXpJ_dzTDaKZfRNCzl_Jg
Ainat,1633672957747,3,38217,37463,114653,1.0,0,3,3,17,33,SUCCESS,114653,OPEN,EvQn1lNGQSKUlDOFYxuskA
capstone-018-addspeedweight-3,1634725010057,3,38447,36868,115343,4.666666666666667,0,14,14,2,34,SUCCESS,115343,OPEN,GtjvtWVhQ06FlVLGQKg51w
Queens-Stalion,1635347034062,3,38643,35799,115929,0.3333333333333333,0,1,1,36,35,SUCCESS,115929,OPEN,XIWvn31-SSyMad8QBXw6Mw
JPMC-MUMBAI-FormulaAI,1633100828255,3,38663,36597,115990,5.0,0,15,15,2,36,SUCCESS,115990,OPEN,Gx2StgEoSza3Gxxo4Oghug
MK47,1635709328774,3,38736,36868,116208,2.6666666666666665,0,8,8,17,37,SUCCESS,116208,OPEN,CH63rDPwQgip_ET2YICGLg
5thStWaffleHouse,1633458722961,3,38980,37212,116941,3.0,0,9,9,11,38,SUCCESS,116941,OPEN,OBD2dIZXS-S5qBalgCoUEg
SugimotoT-MAINICHI,1635680413965,3,39037,36204,117113,1.0,0,3,3,40,39,SUCCESS,117113,OPEN,epaaeU-zQEm8hURlZLBhBg
HJYUN,1635318186854,3,39211,38917,117635,2.0,0,6,6,8,40,SUCCESS,117635,OPEN,ZN05OGQQSGuS5ROQLmVzHQ
DeepRacer-08-1,1633075901104,3,39239,35994,117717,3.0,0,9,9,7,41,SUCCESS,117717,OPEN,R2fKLJClSIyIZKqNmDKkTA
PrimeServer#4161,1634460651461,3,39331,38001,117993,4.666666666666667,0,14,14,5,42,SUCCESS,117993,OPEN,ZdWjoIFnRHmIAJ1p15oiCQ
IterableDescriptor#7161,1635660055772,3,39372,35924,118118,2.6666666666666665,0,8,8,108,43,SUCCESS,118118,OPEN,kQJo4ggDSBuvJeG66QqXxg
NataliiaKulabukhova,1633864355422,3,39470,36729,118412,0.6666666666666666,0,2,2,19,44,SUCCESS,118412,OPEN,Lyai0QrXQyGvx391WXtrXg
donkeykongslipsonabananapeel-DNPds,1633049133132,3,39525,38108,118575,5.666666666666667,0,17,17,1,45,SUCCESS,118575,OPEN,KHwVzXk7RF-UpZvca_jzUg
FabLaud,1635624337904,3,39575,35720,118727,1.6666666666666667,0,5,5,33,46,SUCCESS,118727,OPEN,CQXO-S0wQW2JredIRIvhVQ
BiSou,1635010519189,3,39621,38864,118865,5.333333333333333,0,16,16,13,47,SUCCESS,118865,OPEN,qVCZlB9WRH2GUh6wIb-19g
JPMC-HYD-09,1633095800909,3,39812,38464,119438,0.3333333333333333,0,1,1,21,48,SUCCESS,119438,OPEN,vA_gK0vxTNWI-MTWEWLAxw
MK-47,1634952620482,3,39843,35460,119530,1.3333333333333333,0,4,4,3,49,SUCCESS,119530,OPEN,KjsUFcsMRZKRsU5BJvYkPg
UrgentAnalysis#9750,1634568300957,3,39862,39255,119586,5.0,0,15,15,31,50,SUCCESS,119586,OPEN,_OH20iSUTt6pXCe7By0PuA
