Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Webstar34,1625664223049,3,27090,26328,81270,0.0,0,0,0,4,1,SUCCESS,81270,OPEN,LTgczYZyQuayiF8hwdwiXw
Boltronic,1625457159296,3,27485,27349,82457,0.0,0,0,0,0,2,SUCCESS,82457,OPEN,Q7ydX-9KS3O0Py0QoqqNEA
AE86-AAW,1625852250726,3,31272,30543,93816,0.0,0,0,0,5,3,SUCCESS,93816,OPEN,Niql8MGXTqGK6_9xvGbZGA
Yuliya,1626060679972,3,31397,28743,94191,0.3333333333333333,0,1,1,331,4,SUCCESS,94191,OPEN,JWJgkv8bSKeMIGYZ9roR-A
Dang,1626291554046,3,32399,28269,97197,0.6666666666666666,0,2,2,5,5,SUCCESS,97197,OPEN,GKzj4P9cTgOpLC8710F7Tg
RMIT-badger,1625948272229,3,32833,30959,98501,1.3333333333333333,0,4,4,10,6,SUCCESS,98501,OPEN,3nIyx60ZTByumv_wbYStvw
LuckyMan,1625466977255,3,33558,31402,100675,0.3333333333333333,0,1,1,4,7,SUCCESS,100675,OPEN,hbVXmPNNTAGt_ndmy0JCtg
R1999TDR,1626193599926,3,33863,33797,101589,0.0,0,0,0,9,8,SUCCESS,101589,OPEN,goHk9W2tTEq6hVNdvIWOYw
mpsouza,1625797281951,3,36865,36659,110595,0.0,0,0,0,2,9,SUCCESS,110595,OPEN,Tt8Bu4XqSLejdav3oZlYNw
ATATest,1625725959975,3,36896,32751,110690,0.6666666666666666,0,2,2,11,10,SUCCESS,110690,OPEN,IEHU3F_1S0-pVQpEYVN3Jg
robracer,1625568828809,3,36939,33212,110819,0.3333333333333333,0,1,1,6,11,SUCCESS,110819,OPEN,3etr60bzRiOSJakOpyqsFQ
AlMeteor,1625727179235,3,37122,36853,111367,0.0,0,0,0,3,12,SUCCESS,111367,OPEN,HbjBvJ31RMK53AZHrNK6aw
Velocity-Theta,1625925336171,3,37347,33657,112041,0.6666666666666666,0,2,2,10,13,SUCCESS,112041,OPEN,xQnDRDyJQpaGykBcyDfbiw
vsareen24,1625902791848,3,37517,34989,112552,1.6666666666666667,0,5,5,13,14,SUCCESS,112552,OPEN,GUFEnLu-TamVCvusvZHcHA
Xavier,1625642526426,3,38116,34405,114349,1.6666666666666667,0,5,5,29,15,SUCCESS,114349,OPEN,pPhTbPBRSg-L3tYPKcCjcA
deep-thought,1625827658755,3,38710,26928,116132,2.0,0,6,6,8,16,SUCCESS,116132,OPEN,ZdFSSeGQTVmN29X4dMVdAA
Cosmin21,1626036678374,3,39036,36274,117110,0.3333333333333333,0,1,1,11,17,SUCCESS,117110,OPEN,J4Gr0vkISSyZm1VtWY8bpw
