Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
Janesoki,1627278003590,3,22026,21667,66080,0.0,0,0,0,894,1,SUCCESS,66080,OPEN,3SvT2_04Tl-5RIyNtDNtjA
JPMC-BMTH-RacersOfTheLostArk,1627732457946,3,22281,22066,66843,0.0,0,0,0,224,2,SUCCESS,66843,OPEN,4607b3c36ab4490cad7a4w
Yuliya,1627713571235,3,23977,23944,71933,0.0,0,0,0,535,3,SUCCESS,71933,OPEN,JWJgkv8bSKeMIGYZ9roR-A
mikeRacer,1627775341170,3,24570,23934,73712,0.0,0,0,0,12,4,SUCCESS,73712,OPEN,g9z0K90IT7-pLRoPDaS-1g
Carvai,1627514568376,3,24613,24242,73840,0.0,0,0,0,1,5,SUCCESS,73840,OPEN,SsDvF8JeRvaeXye0kQfvpA
Boltronic,1627189382689,3,25189,24326,75568,0.0,0,0,0,7,6,SUCCESS,75568,OPEN,Q7ydX-9KS3O0Py0QoqqNEA
CGS-Huge-Hadr0n,1627428371836,3,25311,23401,75934,0.3333333333333333,0,1,1,1245,7,SUCCESS,75934,OPEN,63LA0_QCQ1-fRLzXgWmAeQ
CGS-Slipstream,1627761251658,3,25499,25019,76497,0.0,0,0,0,491,8,SUCCESS,76497,OPEN,N6W21hRAQAqs-12kYgYM6Q
SSC-Tuatara,1626788933376,3,25578,25330,76736,0.0,0,0,0,35,9,SUCCESS,76736,OPEN,e5USFhVFTmmPU0Hi0EIykA
CGS-9Mile,1627609510974,3,26892,26674,80677,0.0,0,0,0,21,10,SUCCESS,80677,OPEN,ZPCD0DNvQwqWdAt7zw4C0Q
Webstar34,1625664223049,3,27090,26328,81270,0.0,0,0,0,4,11,SUCCESS,81270,OPEN,LTgczYZyQuayiF8hwdwiXw
Kemzii,1627676160142,3,27107,25936,81321,0.0,0,0,0,58,12,SUCCESS,81321,OPEN,3QcSc0p0Tzuju5DilTX0SA
University-of-Auckland-Dexterrrrr,1626862692098,3,27949,27268,83848,0.0,0,0,0,7,13,SUCCESS,83848,OPEN,2FEX_lAVSBuScLSHbFqsyg
