Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
ABaykov,1635730596617,3,33483,32944,100450,0.0,0,0,0,28,1,SUCCESS,100450,aa28j7SWTd-LxMzvFoj_bA
Janesoki,1635733786183,3,39226,38998,117678,0.3333333333333333,0,1,1,7,2,SUCCESS,117678,3SvT2_04Tl-5RIyNtDNtjA
eee,1635732087600,3,39322,38850,117967,3.0,0,9,9,6,3,SUCCESS,117967,NUylk_a-R1KF_wakwVwPdA
ADA,1635736032410,3,40630,37064,121892,2.0,0,6,6,2,4,SUCCESS,121892,KiqOhQPjTamuBXicXnKGEA
Xavier,1635727696620,3,42334,33145,127002,2.0,0,6,6,7,5,SUCCESS,127002,pPhTbPBRSg-L3tYPKcCjcA
AJM-Model-1,1635732559020,3,43156,41007,129469,3.3333333333333335,0,10,10,2,6,SUCCESS,129469,gdsU9bkGRWW7LTEHP4rGgQ
Euodial3,1635732097957,3,43201,39400,129605,4.0,0,12,12,6,7,SUCCESS,129605,VLcu6RhCQv6TxIHNvPzW4Q
Yuliya,1635739249781,3,45173,42465,135520,2.3333333333333335,0,7,7,2,8,SUCCESS,135520,JWJgkv8bSKeMIGYZ9roR-A
JPMC-Singapore-Chetak,1635733600284,3,48938,37134,146816,5.666666666666667,0,17,17,1,9,SUCCESS,146816,LJzDpiNuTFeHu9dsqp1APw
JJ,1635730986471,3,53945,50612,161835,6.333333333333333,0,19,19,1,10,SUCCESS,161835,afdcX_4vRH6Ussd0mbg5LQ
CGS-Slipstream,1635728663362,3,54739,51004,164218,3.6666666666666665,0,11,11,4,11,SUCCESS,164218,N6W21hRAQAqs-12kYgYM6Q
CGS-Ultimatum,1635734036098,3,55330,52795,165992,6.0,0,18,18,24,12,SUCCESS,165992,TV9WKnh6SqaCREjHP7EjCw
LeeGiHaeng,1635737803169,3,57762,55605,173286,2.6666666666666665,0,8,8,1,13,SUCCESS,173286,QVTa_zWVQkqIz67j0qQigQ
NicholasHawaii,1635725172912,3,58057,54785,174171,6.666666666666667,0,20,20,1,14,SUCCESS,174171,f4G2zbpwR92u3Of7FG9fSg
UberAllen,1635729593177,3,59148,47404,177445,7.333333333333333,0,22,22,33,15,SUCCESS,177445,ASI6Udz9QCewwoQHEyDbpw
QQKK,1635735727397,3,60266,58724,180799,6.333333333333333,0,19,19,2,16,SUCCESS,180799,wD3fjDFZTJaZd9AU7WRDlA
Spamio,1635725546637,3,62660,47639,187981,5.333333333333333,0,16,16,4,17,SUCCESS,187981,iIzfCjX2Tdmrjz8XVzX5mQ
Fumiaki,1635725277121,3,63224,47960,189674,10.333333333333334,0,30,31,1,18,SUCCESS,189674,5RzBNYRAQoWVausi3eyhRg
AIDeepRacer,1635727088957,3,63869,60477,191609,9.0,0,27,27,2,19,SUCCESS,191609,pIRbdCx6QYatgVXm2p5GbA
Kurosaki,1635726181610,3,64330,58399,192991,5.666666666666667,0,17,17,1,20,SUCCESS,192991,vrUZUm-aQQCQ0rEZjXcfOA
Euodial,1635729192973,3,66017,60202,198052,5.666666666666667,0,17,17,1,21,SUCCESS,198052,P-DOtjb7SxCbXxuUB2wQdw
bonfire,1635739749583,3,66975,48210,200927,5.0,0,15,15,1,22,SUCCESS,200927,PDwKMGzqSXyOQG3GO_0Wmw
Deepak-dpk,1635728782645,3,67273,57592,201819,10.0,0,30,30,2,23,SUCCESS,201819,gDTBFK77TM6wD6uObZlulA
atnmn,1635738253936,3,69686,62402,209058,9.0,0,27,27,10,24,SUCCESS,209058,b3960b6c6f58458880ceew
hirosys,1635734595358,3,70772,52210,212316,2.6666666666666665,0,8,8,8,25,SUCCESS,212316,DhYHXwMpSFuKMR0_Hv3Ndg
Rocksors,1635738803832,3,71442,60916,214327,8.333333333333334,0,25,25,2,26,SUCCESS,214327,94AJnMjyQyuBgETEYiDPDw
Aurora-DNPds,1635727613855,3,73821,70192,221465,11.666666666666666,0,35,35,2,27,SUCCESS,221465,26fba66bedca4aa3bca47w
CGS-Inception,1635723200227,3,77487,58398,232461,8.333333333333334,0,25,25,1,28,SUCCESS,232461,F2k_OHHQSWOlYlhbzzvP5w
Jacky-LeadingAI,1635725042632,3,78648,74474,235945,13.333333333333334,0,40,40,3,29,SUCCESS,235945,G17n-1ZGRomjX-x9WXUvhw
Doug-Racer,1635737866880,3,82464,64740,247392,11.0,0,33,33,1,30,SUCCESS,247392,1R021ZoDQrqxSUiHfBvyEw
LeadingAI,1635733695587,3,90069,77604,270208,12.333333333333334,0,37,37,2,31,SUCCESS,270208,VP5wwaH5T4GciaMX2ocEvQ
RacerOnTrack,1635728356185,3,91376,84472,274129,1.3333333333333333,0,4,4,1,32,SUCCESS,274129,zKxvxYbaSXyOOvzMJriePA
EvenMoreNicholas,1635725053143,3,93279,71252,279839,18.0,0,54,54,3,33,SUCCESS,279839,FFxK5Ev2QqOTcxIE2MqHFQ
SolvableVariable#7640,1635735059567,3,96849,88929,290547,16.333333333333332,0,49,49,1,34,SUCCESS,290547,ua_u7fduQnCT1hn-GumqVQ
