Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JPMC-TeamOne-BuenosAires,1625796414570,1,22138,22138,98591,2.6666666666666665,4,4,8,1,1,SUCCESS,22138,OPEN,Fy8bvUIzSN-N-e3D74JhPw
Yoway-NYCU-CGI,1625789608722,1,22298,22298,172726,2.8,2,12,14,2,2,SUCCESS,22298,OPEN,1fBE9Y-DR4aOhdY6ydu-rA
Breadcentric,1625796426475,1,22335,22335,146720,1.6,5,3,8,0,3,SUCCESS,22335,OPEN,SjNec5b-SpOk7y9b6rh4KQ
TonyJ,1625796511935,1,22396,22396,163292,1.0,0,6,6,1,4,SUCCESS,22396,OPEN,af962be5a4ed4c57af807w
dartjason,1625796453245,1,22521,22521,155254,0.8333333333333334,1,4,5,1,5,SUCCESS,22521,OPEN,JSflDq5rQgKEuA5Ots4kDQ
ZhengYi-NYCU-CGI,1625796509417,1,22531,22531,180117,1.6666666666666667,4,6,10,1,6,SUCCESS,22531,OPEN,qY4J9IzvQS6a1N-KZXwviA
AJM-Model-1,1625796446717,1,22537,22537,178960,1.8333333333333333,3,8,11,2,7,SUCCESS,22537,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
RobinCastro-DBS,1625796449994,1,23138,23138,155774,1.8,3,6,9,0,8,SUCCESS,23138,OPEN,7KrbyQXvTBOxnBa0p9YuUA
Ensono-Ernesto,1625682360536,1,23469,23469,170227,1.3333333333333333,2,6,8,0,9,SUCCESS,23469,OPEN,8zBEAp0-S5yGbcZvytGZGQ
Duckworth,1625770182345,1,23772,23772,162408,0.5,2,1,3,0,10,SUCCESS,23772,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
Yi-LI-NYCU-CGI,1625788517077,1,24081,24081,96598,2.3333333333333335,0,7,7,1,11,SUCCESS,24081,OPEN,jrJHq8pZQAyj4gGqMw8-DQ
rosscomp1,1625796430331,1,26406,26406,168126,2.6,6,7,13,1,12,SUCCESS,26406,OPEN,fb0d597a87f94697aa1c6w
GT-DevelopersIO,1625796447908,1,26801,26801,155339,1.2,2,4,6,0,13,SUCCESS,26801,OPEN,8WSp4P7ZRn-jJgZLnugwkA
SorinB,1625759830267,1,27284,27284,147978,2.5,4,6,10,0,14,SUCCESS,27284,OPEN,TFtvCas4TRWchrBPMyGh0A
AIDeepRacer,1625784333378,1,29369,29369,178042,2.4,4,8,12,0,15,SUCCESS,29369,OPEN,pIRbdCx6QYatgVXm2p5GbA
Rober,1625788292872,1,35333,35333,124342,3.3333333333333335,7,3,10,1,16,SUCCESS,35333,OPEN,KrRSYhzKTfONjRaDUc_ubQ
