Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
rosscomp1,1664729155427,3,20110,19667,60331,0.0,0,0,0,106,1,SUCCESS,60331,PRO,fb0d597a87f94697aa1c6w
PITS-1,1664719072285,3,23373,23122,70121,0.0,0,0,0,10,2,SUCCESS,70121,PRO,CThkSPLERtyRM5OptykzEQ
JPMC-DriftKing-Houston,1664740612642,3,26108,23065,78324,0.6666666666666666,1,1,2,1,3,SUCCESS,78324,PRO,fngewpiZSZm11yX7YgwnMA
AIDeepRacer,1664686768176,3,26285,20750,78855,1.6666666666666667,1,4,5,2,4,SUCCESS,78855,PRO,pIRbdCx6QYatgVXm2p5GbA
barkingdog,1664586665742,3,27954,21601,83864,1.6666666666666667,4,1,5,1,5,SUCCESS,83864,PRO,b3960b6c6f58458880ceew
JPMC-TeamOne-BuenosAires,1664735698431,3,27977,25004,83932,1.6666666666666667,2,3,5,7,6,SUCCESS,83932,PRO,Fy8bvUIzSN-N-e3D74JhPw
Ensono-Ernesto,1664612350993,3,31443,26184,94330,2.6666666666666665,3,5,8,1,7,SUCCESS,94330,PRO,8zBEAp0-S5yGbcZvytGZGQ
LeetWorkaround#9088,1664713860393,3,33555,31735,100665,2.3333333333333335,2,5,7,8,8,SUCCESS,100665,PRO,bGc4gvRSSrmed0EUZ2EbUw
DaVinciDriver,1664611445554,3,33709,30234,101128,3.0,3,6,9,3,9,SUCCESS,101128,PRO,XtzXYz2pRByDnXz90XNGSw
JPMC-JC-RougueRunner,1664633775382,3,33820,27531,101461,2.6666666666666665,1,7,8,10,10,SUCCESS,101461,PRO,PlB6UYgYSK-JUbiKTqUF8Q
EatMyGas,1664650313620,3,34735,34597,104206,1.0,0,3,3,84,11,SUCCESS,104206,PRO,G49XjRGRR76Xv00WxIMvnQ
MixerTruck,1664719937253,3,34935,28447,104805,1.6666666666666667,2,3,5,34,12,SUCCESS,104805,PRO,bom98UZhRQSisIXdf39rCg
RobinCastro-DBS,1664584466820,3,35683,32002,107049,4.0,0,12,12,1,13,SUCCESS,107049,PRO,7KrbyQXvTBOxnBa0p9YuUA
Tomorrowland-Speedway,1664626621355,3,37151,33314,111454,2.3333333333333335,2,5,7,119,14,SUCCESS,111454,PRO,AuyCOezGRKOT-zoMo85Ekg
Mentaiko-DevelopersIO,1664597352221,3,37242,33909,111728,4.0,2,10,12,2,15,SUCCESS,111728,PRO,Wt5C8BPAS0OPlzY3-txb-w
JPMC-KWGKMY-HongKong,1664669773745,3,38016,32260,114048,4.666666666666667,4,10,14,2,16,SUCCESS,114048,PRO,zKdKXknwQVCObGdEgutObQ
VurnKambal,1664597447283,3,38233,34197,114700,4.0,2,10,12,35,17,SUCCESS,114700,PRO,rFls1ImYQjyVCfQ5Q3St4w
CodeMachine,1664683644259,3,38357,27128,115073,3.0,3,6,9,3,18,SUCCESS,115073,PRO,b_WzN_r8ToGPle_8bl2tMA
