Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
JJ,1666934729130,3,18288,17870,54865,0.0,0,0,0,2372,1,SUCCESS,54865,PRO,afdcX_4vRH6Ussd0mbg5LQ
rosscomp1,1666991579069,3,18506,18204,55519,0.0,0,0,0,7838,2,SUCCESS,55519,PRO,fb0d597a87f94697aa1c6w
S-P-,1667189398775,3,18974,18728,56923,0.0,0,0,0,1207,3,SUCCESS,56923,PRO,MxT5p4ZvSTOcc6ANa8VZNg
TonyJ,1667047207494,3,19123,18932,57371,0.0,0,0,0,1407,4,SUCCESS,57371,PRO,af962be5a4ed4c57af807w
Fumiaki,1667125837398,3,19220,18928,57660,0.0,0,0,0,1186,5,SUCCESS,57660,PRO,5RzBNYRAQoWVausi3eyhRg
Ernesto-PhilJ,1666238163169,3,19330,19068,57991,0.0,0,0,0,2059,6,SUCCESS,57991,PRO,8zBEAp0-S5yGbcZvytGZGQ
barkingdog,1666986858147,3,19485,19141,58457,0.0,0,0,0,77,7,SUCCESS,58457,PRO,b3960b6c6f58458880ceew
DaVinciDriver,1666595078319,3,19547,19002,58641,0.0,0,0,0,2397,8,SUCCESS,58641,PRO,XtzXYz2pRByDnXz90XNGSw
TimC,1667087171838,3,19554,19200,58662,0.0,0,0,0,261,9,SUCCESS,58662,PRO,5uT4nmOrSdWr814lPIdrGg
Duckworth,1666185727381,3,19569,18933,58707,0.0,0,0,0,2228,10,SUCCESS,58707,PRO,VIu9BQ4-Th6gUqu60ztwUQ
ferrite,1666027567158,3,19732,19199,59198,0.0,0,0,0,969,11,SUCCESS,59198,PRO,SRAgn9lMTCmIjaBREP7hxA
JPMC-MUMBAI-FormulaAI,1665574976684,3,19795,19417,59386,0.0,0,0,0,7,12,SUCCESS,59386,PRO,Gx2StgEoSza3Gxxo4Oghug
Off-track,1666155185933,3,19818,19072,59454,0.0,0,0,0,3618,13,SUCCESS,59454,PRO,1R021ZoDQrqxSUiHfBvyEw
Joffe,1666722103394,3,19820,19272,59462,0.0,0,0,0,194,14,SUCCESS,59462,PRO,ce17e3bfe82649448e2f3w
JPMC-BA-D3,1666208114082,3,19840,19465,59522,0.0,0,0,0,194,15,SUCCESS,59522,PRO,Fy8bvUIzSN-N-e3D74JhPw
JPMC-Spyder-HongKong,1666074972069,3,19974,19334,59924,0.0,0,0,0,482,16,SUCCESS,59924,PRO,zKdKXknwQVCObGdEgutObQ
SG-JPMC-03,1667189014196,3,19976,19532,59929,0.0,0,0,0,1718,17,SUCCESS,59929,PRO,LJzDpiNuTFeHu9dsqp1APw
JPMC-HYD-CircuitBreakers,1667147878542,3,20214,19660,60644,0.0,0,0,0,715,18,SUCCESS,60644,PRO,5Z9lAFNASzesOzD7FFfSHw
nero-DNPds,1666994808670,3,20217,19793,60651,0.0,0,0,0,1625,19,SUCCESS,60651,PRO,fdqnbHDPSbKcnf8kE5xuMQ
JPMC-LONDON-HandsFree,1666436442441,3,20401,19987,61205,0.0,0,0,0,33,20,SUCCESS,61205,PRO,DZAYqyd-Tp6eE15IopWCgQ
Bort,1666429090837,3,20527,20004,61581,0.0,0,0,0,2674,21,SUCCESS,61581,PRO,ja9G8Oc5R82GvO0xrE7OHg
JPMC-BMTH-RacersOfTheLostArk,1667104922165,3,20750,20467,62252,0.0,0,0,0,1992,22,SUCCESS,62252,PRO,4607b3c36ab4490cad7a4w
Chicken-and-rabbit-craziest-duo,1666542551014,3,20923,20463,62771,0.0,0,0,0,2215,23,SUCCESS,62771,PRO,eocuTuXWSKOXBRTqs1nhEw
PITS-YUME,1666506592795,3,20924,20542,62773,0.0,0,0,0,733,24,SUCCESS,62773,PRO,CThkSPLERtyRM5OptykzEQ
MattKreder,1666229224349,3,20928,20528,62786,0.0,0,0,0,7104,25,SUCCESS,62786,PRO,cVk-aYKdRUmuL0qmjyzmag
IcePandaBoom,1667207569587,3,21149,20531,63448,0.0,0,0,0,112,26,SUCCESS,63448,PRO,BTPWujqqTBOWGAFvEKyRaA
Yeti,1667091266695,3,21221,20672,63663,0.0,0,0,0,701,27,SUCCESS,63663,PRO,1SGxAyrnQ96tWb-rolMeBQ
JPMC-JC-MacLearnen-RL,1666566602042,3,21285,20804,63857,0.0,0,0,0,986,28,SUCCESS,63857,PRO,PlB6UYgYSK-JUbiKTqUF8Q
mattpurc,1666330275915,3,21530,21008,64590,0.0,0,0,0,3161,29,SUCCESS,64590,PRO,6Z34CS1gR_y9iNV07S4pjQ
hansonjc888,1666404049300,3,21615,21191,64846,0.0,0,0,0,2,30,SUCCESS,64846,PRO,gtAMMpmKT6aS4YeYXIxC4g
JPMC-Columbus-006,1667097181205,3,22220,20796,66660,0.3333333333333333,0,1,1,2102,31,SUCCESS,66660,PRO,rIIziACfQnGou4zeDTbyTg
Mentaiko-DevelopersIO,1666234040127,3,22532,21871,67598,0.0,0,0,0,1800,32,SUCCESS,67598,PRO,Wt5C8BPAS0OPlzY3-txb-w
GoodEveningWeAreFromUkraine,1667185280283,3,22553,22469,67660,0.0,0,0,0,1989,33,SUCCESS,67660,PRO,oX4dpYxLTFG2UU6NprA-7g
RobinCastro-DBS,1665178458545,3,22660,22377,67982,0.0,0,0,0,108,34,SUCCESS,67982,PRO,7KrbyQXvTBOxnBa0p9YuUA
tranvietdung-DBS,1665372219382,3,22707,22334,68122,0.0,0,0,0,3846,35,SUCCESS,68122,PRO,3OwVWi6tQDCpBzKpWfHj7Q
VelocityVirtuoso#8123,1666521247149,3,22818,22404,68455,0.0,0,0,0,5128,36,SUCCESS,68455,PRO,SOaLDMtJTQWr55eR6v710Q
EP-RIO,1666901207283,3,22958,20599,68874,0.6666666666666666,1,1,2,127,37,SUCCESS,68874,PRO,_ARh_JWqRH-khggA_9cN0Q
Tomorrowland-Speedway,1667054578323,3,23266,22333,69798,0.0,0,0,0,3312,38,SUCCESS,69798,PRO,AuyCOezGRKOT-zoMo85Ekg
JPMC-HYD-02,1664762643811,3,23442,20536,70326,0.6666666666666666,0,2,2,14,39,SUCCESS,70326,PRO,LKdw_hyKTSu7moFuxbmiZw
JPMC-RacingRhino,1666730090128,3,23509,22674,70527,0.0,0,0,0,2363,40,SUCCESS,70527,PRO,3b8cUKuuQfOWQgfjZSeVFw
AIDeepRacer,1667180910709,3,23569,21173,70708,0.6666666666666666,0,2,2,21,41,SUCCESS,70708,PRO,pIRbdCx6QYatgVXm2p5GbA
AJM-Model-1,1665086077356,3,23875,22195,71626,0.3333333333333333,1,0,1,8,42,SUCCESS,71626,PRO,gdsU9bkGRWW7LTEHP4rGgQ
Deepak-dpk,1664952175460,3,24097,22245,72293,0.6666666666666666,2,0,2,3,43,SUCCESS,72293,PRO,gDTBFK77TM6wD6uObZlulA
Velocity-5dl,1666862529820,3,24191,23737,72575,0.0,0,0,0,556,44,SUCCESS,72575,PRO,DBVc9n_uQ0-r-Cqkz3YweA
DoomBuggy,1665816119832,3,24471,20410,73415,1.0,2,1,3,4,45,SUCCESS,73415,PRO,QakV_nzOTm2q_NhqUMwIJw
rapirapi-BIP,1666764405036,3,24536,24065,73610,0.0,0,0,0,136,46,SUCCESS,73610,PRO,qsYR-A-0S2OHA1cvbeFfSg
JPMC-HYD-SmartAccelerators,1667064414247,3,24554,22868,73662,0.3333333333333333,0,1,1,56,47,SUCCESS,73662,PRO,6jJ_fiuUQb2PZXOGkr3V7g
Mungi,1667218530031,3,24926,22715,74778,0.3333333333333333,1,0,1,31,48,SUCCESS,74778,PRO,RgTvucbNQja7yiYbgh2p9A
