Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,VirtualClass#1903,1730534065149,3,15928,15269,47785,0.0,0,0,0,3,SUCCESS,15928,nwtwg1SBTBGWfEQHn2gTyA
2,GlobalTester#4771,1730536929728,3,16085,13802,48256,0.3333333333333333,0,1,1,1,SUCCESS,16085,yEunKftHTv2ueVxOMeXuJw
3,Tianxiang-GT,1730537851299,3,17467,15479,52401,0.3333333333333333,0,1,1,6,SUCCESS,17467,CW6ETNdiR32stUe0giduDQ
4,StoneDot,1730529807009,3,18084,17737,54252,0.0,0,0,0,6,SUCCESS,18084,2gyKPu4SQhOH_RfF48rxPA
5,TooSlow-Yanghui,1730541474946,3,18917,13730,56751,1.0,0,3,3,2,SUCCESS,18917,HWOc8l8BSEW691guuRHq0g
6,GohsTung-Audrey,1730529944024,3,19574,12068,58723,1.3333333333333333,0,4,4,1,SUCCESS,19574,vF2RfNsQSmyz6G-Y3GkrPg
7,Gunny,1730531678175,3,19599,17399,58799,0.3333333333333333,0,1,1,3,SUCCESS,19599,m5-I630sTqyWjEYTg5eO9Q
8,SneedRacer,1730540205428,3,21441,17988,64324,1.6666666666666667,0,5,5,2,SUCCESS,21441,EprA2JZ7SsihMmzbw-RxpQ
9,ghzx-jbw,1730530689941,3,21730,18134,65190,0.6666666666666666,0,2,2,1,SUCCESS,21730,Hom65uotTbWtb6oBVUgIww
10,ProcessingDescriptor#6738,1730540883608,3,22953,17332,68859,2.0,0,6,6,1,SUCCESS,22953,4Bb7_Wx9SmuNMuR0lLdHHA
11,ThisResource#2182,1730527929263,3,26242,24137,78726,2.3333333333333335,0,7,7,1,SUCCESS,26242,m2zmj8P9QiqBRiIC1jpCuA
12,AgileEngineer#9145,1730533052547,3,29798,29199,89395,0.0,0,0,0,1,SUCCESS,29798,rGlaGnLfQNe21wG56hzXTg
13,AsynchronousNotation#4137,1730526966788,3,30395,30000,91187,1.0,0,3,3,1,SUCCESS,30395,_ap2aKrtTQSoheY6sq868g
14,Autominds1,1730531935276,3,30864,30802,92592,0.0,0,0,0,4,SUCCESS,30864,McGCDDYRTg6v07exVukeOQ
15,KartikThakur00,1730525747965,3,31755,29727,95267,3.3333333333333335,0,10,10,1,SUCCESS,31755,edBhfUwhRMuGHHJLRRxdrg
16,AbstractGame#0552,1730536227249,3,33797,31528,101393,0.3333333333333333,0,1,1,1,SUCCESS,33797,_4hpd20DRyOiFkwqd5G8-A
17,gabrielkoo#HongKong,1730530369462,3,36485,30931,109457,3.0,0,9,9,1,SUCCESS,36485,ydUnMZutQDmeS4U2pIDYLg
18,NestedVariable#0016,1730540403515,3,38795,35455,116386,1.6666666666666667,0,5,5,1,SUCCESS,38795,oNe_ZLWnQlOrrxqfxhSa6w
19,RecursiveTag#5558,1730536206936,3,41588,35806,124764,5.0,0,15,15,1,SUCCESS,41588,WatYjzzFQg2CbhJVOsVl4Q
20,QuickLine#8654,1730530095891,3,52465,51863,157395,4.0,0,12,12,1,SUCCESS,52465,l50jnuAbRHSnU76sY51ZlA
21,ProcessingDocumentation#6803,1730531095929,3,75996,72787,227989,11.666666666666666,0,35,35,1,SUCCESS,75996,UUHRxbzEQEiFWQf0lNWvLg
