Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
gabrielkoo#HongKong,1651468360846,3,22909,19277,68728,1.0,0,3,3,20,1,SUCCESS,68728,OPEN,ydUnMZutQDmeS4U2pIDYLg
Lightning-McQueen-in-my-dreams,1651657332978,3,23687,22268,71061,0.3333333333333333,0,1,1,19,2,SUCCESS,71061,OPEN,C39WxRaHRrOdKfpSyB4kZg
ProgrammingContext#2305,1651657502768,3,23998,23413,71994,0.0,0,0,0,34,3,SUCCESS,71994,OPEN,_eWgfY79Q2qNSPM76_ZZvQ
UpgradedBreaker#9860,1651407440697,3,24175,23931,72527,0.0,0,0,0,12,4,SUCCESS,72527,OPEN,nab1WV7wQESfByJKbaQ6Fg
MattCamp,1651386878472,3,24762,22196,74287,0.6666666666666666,0,2,2,3,5,SUCCESS,74287,OPEN,9z8BN2mkSj-Dlb_Chg_0Hw
ShibaInu-DevelopersIO,1651381665544,3,24789,22050,74369,1.6666666666666667,0,5,5,4,6,SUCCESS,74369,OPEN,q3lEztDGTfSD-GgkF5IgTg
Ozan,1651374589419,3,24865,22531,74595,0.6666666666666666,0,2,2,3,7,SUCCESS,74595,OPEN,1nQS3EF9Q-Cio87Qgq1SwA
Dots,1651414455070,3,24955,22601,74865,1.6666666666666667,0,5,5,8,8,SUCCESS,74865,OPEN,eFanxdl4R22QTt5v53RaGQ
DeepNetwork#1100,1651471053692,3,25031,23921,75093,0.3333333333333333,0,1,1,6,9,SUCCESS,75093,OPEN,z13hqAxNQcy3yckO0d1AIg
HK-PolyU-EIE,1651657598295,3,25910,23265,77731,0.0,0,0,0,1,10,SUCCESS,77731,OPEN,DofCfNz9TbmJxCj7tVyKrQ
DraftGame#0851,1651618165307,3,26085,24198,78256,0.3333333333333333,0,1,1,7,11,SUCCESS,78256,OPEN,GDHzzzhmQp6kdifdjUqb6w
InteractiveGlyph#6005,1651371675508,3,26087,25336,78262,0.3333333333333333,0,1,1,5,12,SUCCESS,78262,OPEN,axydd1rHSPGsr09e1id0gQ
anil-k,1651523094032,3,26197,25601,78593,0.0,0,0,0,14,13,SUCCESS,78593,OPEN,zBJ14YPMQbG4TNbhPKcH7Q
VirtualDataset#5466,1651448395665,3,26775,25660,80326,0.0,0,0,0,2,14,SUCCESS,80326,OPEN,T8b6zyzyRWadsoQiv9axBA
IcemanTaylor,1651417103512,3,26848,25334,80545,1.3333333333333333,0,4,4,10,15,SUCCESS,80545,OPEN,snHaoM1HQ26NW1rMO2MRFQ
AJADR,1651527535374,3,26997,24803,80992,0.0,0,0,0,5,16,SUCCESS,80992,OPEN,P0paFdGiS9yknn4FGTkGxA
F1-Scores-Q2,1651537551047,3,27089,23337,81269,2.0,0,6,6,12,17,SUCCESS,81269,OPEN,6fxAtfzEQouLEPchcA4u_g
R2F,1651464458774,3,27158,23936,81475,1.6666666666666667,0,5,5,3,18,SUCCESS,81475,OPEN,iBVy9880R8ecn8zd2jj91g
CurlyBottleneck#8116,1651386660921,3,27465,27266,82397,0.0,0,0,0,1,19,SUCCESS,82397,OPEN,5p3yobbNQMuGDq4AkwBK3Q
PathingBuster#3582,1651388926887,3,27540,26393,82620,0.3333333333333333,0,1,1,2,20,SUCCESS,82620,OPEN,79DIxErpSGuWuI3uqu5iLQ
IterativeBuster#7371,1651506200963,3,27885,27336,83657,0.0,0,0,0,2,21,SUCCESS,83657,OPEN,BUyFAl1IT1a-cgC8QJmZIA
Sumeet-noobRacer,1651486804581,3,28221,26996,84663,2.3333333333333335,0,7,7,2,22,SUCCESS,84663,OPEN,QRSVbyrKR6eTLlKjtU8oUw
RDFZ-Hail-China,1651405387550,3,28307,26262,84922,3.3333333333333335,0,9,10,1,23,SUCCESS,84922,OPEN,hJdCxyR0Ryu7Bihp5_br4g
Sudhakar,1651660335011,3,28613,24864,85841,1.0,0,3,3,14,24,SUCCESS,85841,OPEN,5fJCyMOgQkOofhyTr-K8Fg
PrimeEvaluation#5208,1651508649508,3,29290,28592,87870,1.0,0,3,3,2,25,SUCCESS,87870,OPEN,ncKLYK20RWe1EUqBBhU2YA
DC-Racer,1651425000415,3,29292,26203,87876,2.6666666666666665,0,7,8,1,26,SUCCESS,87876,OPEN,aP1nSzDYQdKchB_Vj1h_VA
qnet1,1651374896339,3,29573,23925,88721,2.6666666666666665,0,8,8,2,27,SUCCESS,88721,OPEN,ndHmswy4RUa6R8LcyvrxOA
JavaAnalyst#5789,1651639808380,3,29796,26387,89388,0.6666666666666666,0,2,2,7,28,SUCCESS,89388,OPEN,4YG7_EtbS-qUW7WcCqKtTA
smdasim,1651586575441,3,29864,29405,89592,1.0,0,3,3,3,29,SUCCESS,89592,OPEN,AZrMFz2iTM-a5mATVpFhGQ
philipho11#hongkong,1651588865977,3,30065,25541,90195,2.0,0,6,6,12,30,SUCCESS,90195,OPEN,055ffa17abc84dd18d16ew
josenk,1651678199758,3,30339,27332,91019,1.6666666666666667,0,5,5,2,31,SUCCESS,91019,OPEN,vSDg00EqSlKWFM_fJGWMjw
EvgenyTMX,1651443504148,3,30864,29868,92592,1.3333333333333333,0,4,4,5,32,SUCCESS,92592,OPEN,l1TI3SrvT0aBiHE8NvCViA
Quokka,1651676275234,3,31041,30666,93125,0.0,0,0,0,5,33,SUCCESS,93125,OPEN,-0nLsyvtS8mFTfcfE9EAQQ
nalgarg,1651457862048,3,31085,29732,93256,2.3333333333333335,0,7,7,2,34,SUCCESS,93256,OPEN,aN0KGAS0TUi1Oyhac2vR8w
PassingExpert#2617,1651682997592,3,31243,30205,93731,0.0,0,0,0,1,35,SUCCESS,93731,OPEN,cDJu-ZAXREyvaDqnvhfVLg
DeepRacerSam,1651461256843,3,31709,31593,95129,0.0,0,0,0,1,36,SUCCESS,95129,OPEN,R22FBKQsSMKmRaTpNdD76A
ParametricComment#7632,1651639663369,3,31734,28528,95202,1.0,0,3,3,3,37,SUCCESS,95202,OPEN,JodS-ryiSnKNzoXIz242nw
FlorinelFermecatoru,1651500530921,3,31775,31533,95325,0.0,0,0,0,9,38,SUCCESS,95325,OPEN,cYiwyNfCQnKF1mBQNE7pXQ
ReferenceBreaker#1965,1651592687616,3,31804,28337,95412,3.0,0,9,9,7,39,SUCCESS,95412,OPEN,x-gxDUieT2SPbrER5-FZ8Q
UnicodeCircuit#3662,1651454367022,3,31921,30604,95765,3.3333333333333335,0,10,10,3,40,SUCCESS,95765,OPEN,nqK_YARQRYmFnTGQo6rxDw
Mat0x4e,1651499151171,3,31935,31801,95805,4.0,0,12,12,1,41,SUCCESS,95805,OPEN,0FnpnNrYT4uPU2Y9EoVoWQ
TheRumbling,1651470279479,3,31998,30262,95994,1.3333333333333333,0,4,4,1,42,SUCCESS,95994,OPEN,tMDLIlL_Rcuc5a95AhxuEQ
My-First-Deep-Racer,1651600592400,3,32042,31059,96127,0.3333333333333333,0,1,1,1,43,SUCCESS,96127,OPEN,Elcr3Cw7QOG81a4Qc9Fbrw
RobotTech#9215,1651451431356,3,32175,29795,96525,0.6666666666666666,0,2,2,1,44,SUCCESS,96525,OPEN,C9PXdhkKSzqp3Y-WCIX22A
coppermannzero,1651592462209,3,32177,30603,96532,1.3333333333333333,0,4,4,1,45,SUCCESS,96532,OPEN,LXqv_TvTTi6p7jCcGd4vtg
FlmSenna,1651510034097,3,32213,31651,96641,0.0,0,0,0,3,46,SUCCESS,96641,OPEN,ucb5vqeJRTGxg72-h87r2w
Alex-H,1651638573564,3,32288,27534,96865,2.3333333333333335,0,7,7,1,47,SUCCESS,96865,OPEN,vZ4pikH5QCu9vwMlc2imiw
NP#9,1651503362859,3,32421,29927,97265,0.3333333333333333,0,1,1,4,48,SUCCESS,97265,OPEN,FOh0-8wSQ_G4yEixznZ_hQ
PastaRacer,1651528742648,3,32575,32271,97727,0.0,0,0,0,4,49,SUCCESS,97727,OPEN,AK-pVjIXSj6HMJj5NnqZQA
mymymyracer,1651484986155,3,32710,31475,98130,2.3333333333333335,0,7,7,5,50,SUCCESS,98130,OPEN,DbSnBsOGQXiRUsiN5WIBBA
HK-OscarYCL,1651506895638,3,32954,32864,98862,1.0,0,3,3,2,51,SUCCESS,98862,OPEN,F8tshW6ATxihG5g2aXq0sQ
UnicodeEvaluation#9360,1651498525967,3,33019,31727,99059,2.6666666666666665,0,8,8,1,52,SUCCESS,99059,OPEN,t6M1WCxuT-WlCO1-a2GmPQ
RaiseTheeBar,1651598940339,3,33154,32001,99462,0.3333333333333333,0,1,1,15,53,SUCCESS,99462,OPEN,vEOnWdcbQxOQL9LnY7dw0A
DesktopResource#5690,1651623518834,3,33197,32195,99591,2.6666666666666665,0,8,8,7,54,SUCCESS,99591,OPEN,alvPd6fORGmrHlEspZqrZA
ContinuousByte#8293,1651670536155,3,33507,29927,100522,2.0,0,6,6,12,55,SUCCESS,100522,OPEN,DCh0YIc5Qb25-RUtB9qTTA
CompleteBottleneck#6566,1651684947121,3,33531,30668,100595,2.6666666666666665,0,8,8,12,56,SUCCESS,100595,OPEN,CPNSoDt3S_qpI-GRoyn23w
BrainyPresentation#5265,1651607080575,3,33554,29803,100663,0.6666666666666666,0,1,2,2,57,SUCCESS,100663,OPEN,pPDo2rz7QIGIoI6ZD4A-Pw
Cameron,1651663768790,3,33736,28293,101210,2.6666666666666665,0,8,8,1,58,SUCCESS,101210,OPEN,RmgTquqLRXyfKKtrC67BXA
ProvisionalBuster#2368,1651419324007,3,34001,31936,102005,2.0,0,6,6,3,59,SUCCESS,102005,OPEN,O7nONhqERvqnF9_2ORZP-g
QuickInterface#8285,1651581279896,3,34041,33734,102123,3.0,0,9,9,21,60,SUCCESS,102123,OPEN,7FfwLpE7To2Cjf2euc3B3g
Team-ISIT,1651421242092,3,34044,29128,102132,2.3333333333333335,0,7,7,1,61,SUCCESS,102132,OPEN,QrzjzwlSQ4uRPFkvUXRkRw
Dlwr-6,1651634899983,3,34091,32324,102273,0.6666666666666666,0,2,2,7,62,SUCCESS,102273,OPEN,liKDowM7Rka8dOtW9yyAQw
