Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
josenk,1653962809762,3,17456,16862,52368,0.0,0,0,0,156,1,SUCCESS,52368,OPEN,vSDg00EqSlKWFM_fJGWMjw
ProgrammingContext#2305,1653906610460,3,18039,17781,54119,0.0,0,0,0,739,2,SUCCESS,54119,OPEN,_eWgfY79Q2qNSPM76_ZZvQ
JPMC-HYD-SMBRacers,1654026145652,3,18440,17724,55321,0.0,0,0,0,66,3,SUCCESS,55321,OPEN,eCmvKyWkSxSnGIKozvg20Q
Yoway-NYCU-CGI,1653939415955,3,19196,18587,57589,0.0,0,0,0,79,4,SUCCESS,57589,OPEN,1fBE9Y-DR4aOhdY6ydu-rA
JPMC-BMTH-RacersOfTheLostArk,1654039206250,3,19263,18665,57789,0.0,0,0,0,109,5,SUCCESS,57789,OPEN,4607b3c36ab4490cad7a4w
ZhengYi-NYCU-CGI,1652619038706,3,19332,19073,57997,0.0,0,0,0,8,6,SUCCESS,57997,OPEN,qY4J9IzvQS6a1N-KZXwviA
Yi-LI-NYCU-CGI,1653755490328,3,19554,18601,58662,0.0,0,0,0,162,7,SUCCESS,58662,OPEN,jrJHq8pZQAyj4gGqMw8-DQ
Bort,1653813229205,3,19577,19003,58731,0.0,0,0,0,4,8,SUCCESS,58731,OPEN,ja9G8Oc5R82GvO0xrE7OHg
Richard-Fan,1653259294734,3,20194,19728,60582,0.0,0,0,0,3363,9,SUCCESS,60582,OPEN,oxm3h2AtTpGqAnGZ4vzYpg
JPMC-JC-SpeedSyndicate,1653446173366,3,20195,19996,60586,0.0,0,0,0,48,10,SUCCESS,60586,OPEN,sGrJzwIVRZ6-HawSmV1Tyg
JPMC-Columbus-006,1654007203850,3,20269,18865,60808,0.3333333333333333,0,1,1,1451,11,SUCCESS,60808,OPEN,rIIziACfQnGou4zeDTbyTg
Lightning-McQueen-in-my-dreams,1653969040543,3,20731,20401,62194,0.0,0,0,0,207,12,SUCCESS,62194,OPEN,C39WxRaHRrOdKfpSyB4kZg
shio-DNPds,1654039463589,3,21574,21196,64723,0.0,0,0,0,22,13,SUCCESS,64723,OPEN,9WbCKQ3dQGGGHPHHZoHh0g
jcard14,1652379431521,3,22374,21996,67122,0.0,0,0,0,36,14,SUCCESS,67122,OPEN,ErqdKUlCQtimjoq87H0cKw
Hamalab,1652219748553,3,22395,22057,67185,0.0,0,0,0,38,15,SUCCESS,67185,OPEN,RVIHKlviQMGKS2ItZJJKmA
OsyOsy,1653253101380,3,22686,21872,68060,0.0,0,0,0,18,16,SUCCESS,68060,OPEN,3itfR0AOSiGl4x2s6JthHw
Elizer,1652117749148,3,22687,22201,68061,0.0,0,0,0,12,17,SUCCESS,68061,OPEN,JodS-ryiSnKNzoXIz242nw
ComplexAnalyst#0511,1653402716015,3,22861,22389,68583,0.0,0,0,0,41,18,SUCCESS,68583,OPEN,Nl_muDKOTxSxPZYl-CCN-g
gabrielkoo#HongKong,1651468360846,3,22909,19277,68728,1.0,0,3,3,20,19,SUCCESS,68728,OPEN,ydUnMZutQDmeS4U2pIDYLg
FENERBAHCE,1653626613998,3,23688,20938,71064,0.6666666666666666,0,2,2,336,20,SUCCESS,71064,OPEN,3j-wNAYjQpyw-3AEkiXPTw
DeepNetwork#1100,1653893087677,3,23753,23595,71261,0.0,0,0,0,64,21,SUCCESS,71261,OPEN,z13hqAxNQcy3yckO0d1AIg
TM,1652797696266,3,23795,22867,71386,0.3333333333333333,0,1,1,9,22,SUCCESS,71386,OPEN,JWjjjKb7RYiNSYL22hfGwA
IVECloud-test1,1652160819380,3,23952,21670,71856,0.3333333333333333,0,1,1,78,23,SUCCESS,71856,OPEN,dTy5_9OjQn6U99Hynr-jJQ
Wonky-tonks,1653925416138,3,23999,23269,71999,1.0,0,3,3,17,24,SUCCESS,71999,OPEN,EnSLz8bXQLWH_2g5Y9cE5g
QualityScope#3164,1652746121004,3,24094,22268,72283,0.3333333333333333,0,1,1,16,25,SUCCESS,72283,OPEN,LbcV_FTyT4OQ0je-N_kz0w
