Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
AJM-Model-1,1659974185819,1,20999.0,20999.0,177462.0,0.0,0,0,0,1,1,SUCCESS,20999,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
JPMC-LONDON-HandsFree,1659967195400,1,21267.0,21267.0,170242.0,1.8333333333333333,3,8,11,1,2,SUCCESS,21267,OPEN,DZAYqyd-Tp6eE15IopWCgQ
Duckworth,1659969046215,1,21398.0,21398.0,175713.0,0.8571428571428571,3,3,6,1,3,SUCCESS,21398,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
Ensono-Ernesto,1659969302665,1,22400.0,22400.0,167710.0,0.2857142857142857,1,1,2,1,4,SUCCESS,22400,OPEN,8zBEAp0-S5yGbcZvytGZGQ
JPMC-DriftKing-Houston,1659966918720,1,27803.0,27803.0,160735.0,2.5,10,0,10,1,5,SUCCESS,27803,OPEN,fngewpiZSZm11yX7YgwnMA
Doug-Racer,1659967774124,1,28193.0,28193.0,169657.0,3.5,10,4,14,1,6,SUCCESS,28193,OPEN,1R021ZoDQrqxSUiHfBvyEw
dartjason,1659973625535,1,28202.0,28202.0,164732.0,2.2,8,3,11,1,7,SUCCESS,28202,OPEN,JSflDq5rQgKEuA5Ots4kDQ
Fumiaki,1659967032431,1,28933.0,28933.0,168523.0,2.4,4,8,12,1,8,SUCCESS,28933,OPEN,5RzBNYRAQoWVausi3eyhRg
JPMC-MUMBAI-FormulaAI,1659967299117,1,32794.0,32794.0,141386.0,0.5,2,0,2,1,9,SUCCESS,32794,OPEN,Gx2StgEoSza3Gxxo4Oghug
ferrite,1659968607949,1,41995.0,41995.0,154064.0,7.666666666666667,3,20,23,1,10,SUCCESS,41995,OPEN,SRAgn9lMTCmIjaBREP7hxA
barkingdog,1659968740687,1,52062.0,52062.0,109621.0,1.5,3,0,3,1,11,SUCCESS,52062,OPEN,b3960b6c6f58458880ceew
RobinCastro-DBS,1659969475483,1,59332.0,59332.0,174731.0,13.0,24,2,26,1,12,SUCCESS,59332,OPEN,7KrbyQXvTBOxnBa0p9YuUA
JPMC-RogerRabbit-Houston,1659967779834,0,,,,0.0,0,0,0,1,13,SUCCESS,9223372036854775736,OPEN,TSoego0RTCazPagbkqTnlw
LeadingAI,1659969332732,0,,,,0.0,0,0,0,1,14,SUCCESS,9223372036854775798,OPEN,VP5wwaH5T4GciaMX2ocEvQ
