Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
AJM-Model-1,1659974185819,1,20999.0,20999.0,177462.0,0.0,0,0,0,2,1,SUCCESS,20999,OPEN,gdsU9bkGRWW7LTEHP4rGgQ
JPMC-LONDON-HandsFree,1659967195400,1,21267.0,21267.0,170242.0,1.8333333333333333,3,8,11,2,2,SUCCESS,21267,OPEN,DZAYqyd-Tp6eE15IopWCgQ
Duckworth,1659969046215,1,21398.0,21398.0,175713.0,0.8571428571428571,3,3,6,2,3,SUCCESS,21398,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
JPMC-MUMBAI-FormulaAI,1659975887260,1,21866.0,21866.0,141394.0,1.8,6,3,9,2,4,SUCCESS,21866,OPEN,Gx2StgEoSza3Gxxo4Oghug
Ernesto-PhilJ,1659969302665,1,22400.0,22400.0,167710.0,0.2857142857142857,1,1,2,2,5,SUCCESS,22400,OPEN,8zBEAp0-S5yGbcZvytGZGQ
dartjason,1659976238345,1,24263.0,24263.0,178382.0,1.3333333333333333,7,1,8,2,6,SUCCESS,24263,OPEN,JSflDq5rQgKEuA5Ots4kDQ
ZoD,1659975630368,1,25530.0,25530.0,157774.0,1.4,2,5,7,1,7,SUCCESS,25530,OPEN,TFtvCas4TRWchrBPMyGh0A
RobinCastro-DBS,1659975681744,1,25600.0,25600.0,152927.0,1.2,4,2,6,2,8,SUCCESS,25600,OPEN,7KrbyQXvTBOxnBa0p9YuUA
barkingdog,1659975719395,1,27212.0,27212.0,91056.0,5.5,7,4,11,2,9,SUCCESS,27212,OPEN,b3960b6c6f58458880ceew
JPMC-DriftKing-Houston,1659966918720,1,27803.0,27803.0,160735.0,2.5,10,0,10,2,10,SUCCESS,27803,OPEN,fngewpiZSZm11yX7YgwnMA
Off-track,1659967774124,1,28193.0,28193.0,169657.0,3.5,10,4,14,2,11,SUCCESS,28193,OPEN,1R021ZoDQrqxSUiHfBvyEw
Fumiaki,1659967032431,1,28933.0,28933.0,168523.0,2.4,4,8,12,2,12,SUCCESS,28933,OPEN,5RzBNYRAQoWVausi3eyhRg
ferrite,1659968607949,1,41995.0,41995.0,154064.0,7.666666666666667,3,20,23,2,13,SUCCESS,41995,OPEN,SRAgn9lMTCmIjaBREP7hxA
JPMC-BMTH-CTRL-PLUS-SPEED,1659967779834,0,,,,0.0,0,0,0,2,14,SUCCESS,9223372036854775736,OPEN,TSoego0RTCazPagbkqTnlw
LeadingAI,1659969332732,0,,,,0.0,0,0,0,2,15,SUCCESS,9223372036854775798,OPEN,VP5wwaH5T4GciaMX2ocEvQ
