Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,rosscomp1,1711892480177,1,21932,21932,68451,0.0,0,0,0,28,SUCCESS,21932,fb0d597a87f94697aa1c6w
2,ZoD,1711858804412,1,22002,22002,74590,0.3333333333333333,0,1,1,50,SUCCESS,22002,TFtvCas4TRWchrBPMyGh0A
3,flatearth,1711916366228,1,22391,22391,69856,0.0,0,0,0,2,SUCCESS,22391,9e3a9607a4e04ba2b1a49w
4,JJ,1711928779652,1,22460,22460,69660,0.0,0,0,0,37,SUCCESS,22460,afdcX_4vRH6Ussd0mbg5LQ
5,CodeMachine,1711795071739,1,22600,22600,69731,0.0,0,0,0,17,SUCCESS,22600,b_WzN_r8ToGPle_8bl2tMA
6,TonyJ,1711812126812,1,22932,22932,70992,0.0,0,0,0,50,SUCCESS,22932,af962be5a4ed4c57af807w
7,Nariox,1711796149208,1,23000,23000,70531,0.0,0,0,0,50,SUCCESS,23000,AUWR9HasSr2j2V1bbAptNw
8,AJM-Model-1,1711887583123,1,23065,23065,72003,0.0,0,0,0,50,SUCCESS,23065,gdsU9bkGRWW7LTEHP4rGgQ
9,MattCamp,1711916533533,1,23073,23073,71660,0.0,0,0,0,50,SUCCESS,23073,9z8BN2mkSj-Dlb_Chg_0Hw
10,Duckworth,1711905126689,1,23130,23130,72645,0.0,0,0,0,50,SUCCESS,23130,VIu9BQ4-Th6gUqu60ztwUQ
11,PolishThunder,1711371128117,1,23206,23206,78795,0.3333333333333333,0,1,1,50,SUCCESS,23206,qi512oGVTry8V-KtP6j2_w
12,TonyD,1711908945658,1,23212,23212,77737,0.3333333333333333,0,1,1,14,SUCCESS,23212,CqZmW8kHQti0P4KOd0cLdA
13,EvidenMarkRoss,1711549453587,1,23266,23266,72062,0.0,0,0,0,50,SUCCESS,23266,9OT4p4dXQ2K2J5pOUfeGfg
14,-Just-Be-Better-,1711518463098,1,23338,23338,72198,0.0,0,0,0,50,SUCCESS,23338,X_dNmJilS8SDBQ44yzd2fg
15,DBro,1711927900864,1,23468,23468,78126,0.3333333333333333,0,1,1,26,SUCCESS,23468,jEkEOpjZRhGUbyDZIfTo_A
16,nickyl,1711885862347,1,23527,23527,78796,0.3333333333333333,0,1,1,9,SUCCESS,23527,O0GALYAoRfGA0kUV6ftgqQ
17,BennyLBS,1711843848733,1,23664,23664,83134,0.6666666666666666,0,2,2,50,SUCCESS,23664,wD3fjDFZTJaZd9AU7WRDlA
18,Deepak-dpk,1711921838745,1,23673,23673,79063,0.3333333333333333,0,1,1,6,SUCCESS,23673,gDTBFK77TM6wD6uObZlulA
19,Off-track,1711909443693,1,23794,23794,73857,0.0,0,0,0,50,SUCCESS,23794,1R021ZoDQrqxSUiHfBvyEw
20,Ernesto-PhilJ,1711876325733,1,23797,23797,74128,0.0,0,0,0,15,SUCCESS,23797,8zBEAp0-S5yGbcZvytGZGQ
21,RayG-DBS,1711916596672,1,23805,23805,74782,0.0,0,0,0,49,SUCCESS,23805,YNrvM9f5RteeSrCl7oFC5w
22,ferrite,1711904464834,1,23868,23868,73518,0.0,0,0,0,17,SUCCESS,23868,SRAgn9lMTCmIjaBREP7hxA
23,Version-Infinite,1711896815763,1,23931,23931,72391,0.0,0,0,0,50,SUCCESS,23931,N5Bzb-oJTAup8q3QAYGZww
