Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
DoomBuggy,1655130726598,1,21600.0,21600.0,174997.0,0.8571428571428571,1,5,6,1,1,SUCCESS,21600,OPEN,QakV_nzOTm2q_NhqUMwIJw
MattCamp,1655125333584,1,22201.0,22201.0,163930.0,1.1666666666666667,5,2,7,1,2,SUCCESS,22201,OPEN,9z8BN2mkSj-Dlb_Chg_0Hw
Ensono-Ernesto,1655117015554,1,22468.0,22468.0,167454.0,0.14285714285714285,1,0,1,1,3,SUCCESS,22468,OPEN,8zBEAp0-S5yGbcZvytGZGQ
AIDeepRacer,1655129744268,1,22664.0,22664.0,159350.0,1.1666666666666667,4,3,7,1,4,SUCCESS,22664,OPEN,pIRbdCx6QYatgVXm2p5GbA
Duckworth,1655110913322,1,22924.0,22924.0,178409.0,0.5714285714285714,3,1,4,1,5,SUCCESS,22924,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
ADA,1655105607764,1,23013.0,23013.0,172198.0,2.6,13,0,13,1,6,SUCCESS,23013,OPEN,KiqOhQPjTamuBXicXnKGEA
JPMC-LONDON-HandsFree,1655129700387,1,23268.0,23268.0,138065.0,2.75,7,4,11,1,7,SUCCESS,23268,OPEN,DZAYqyd-Tp6eE15IopWCgQ
Jochem,1655130791849,1,24868.0,24868.0,146807.0,1.2,5,1,6,1,8,SUCCESS,24868,OPEN,RBPhZc5eTVmEF_gpSV7skg
TonyJ,1655086599883,1,26136.0,26136.0,164522.0,1.1666666666666667,6,1,7,1,9,SUCCESS,26136,OPEN,af962be5a4ed4c57af807w
dartjason,1655129302167,1,31223.0,31223.0,157161.0,2.0,8,0,8,1,10,SUCCESS,31223,OPEN,JSflDq5rQgKEuA5Ots4kDQ
RobinCastro-DBS,1655120521144,1,34336.0,34336.0,164380.0,4.5,18,0,18,1,11,SUCCESS,34336,OPEN,7KrbyQXvTBOxnBa0p9YuUA
Doug-Racer,1655090941916,1,37461.0,37461.0,151395.0,6.0,16,2,18,1,12,SUCCESS,37461,OPEN,1R021ZoDQrqxSUiHfBvyEw
JPMC-DriftKing-Houston,1655129776591,1,45951.0,45951.0,174487.0,6.333333333333333,18,1,19,1,13,SUCCESS,45951,OPEN,fngewpiZSZm11yX7YgwnMA
JPMC-RogerRabbit-Houston,1655130889185,1,53072.0,53072.0,169005.0,7.666666666666667,11,12,23,1,14,SUCCESS,53072,OPEN,TSoego0RTCazPagbkqTnlw
DaVinciDriver,1655131184114,1,61295.0,61295.0,143284.0,8.5,17,0,17,1,15,SUCCESS,61295,OPEN,XtzXYz2pRByDnXz90XNGSw
Penguin-DNPds,1655116163389,0,,,,0.0,0,0,0,1,16,SUCCESS,9223372036854775756,OPEN,Nr3YCYWGTA631Xqa0uDPhw
