Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,RacingDivision,UserId
DoomBuggy,1655137238224,1,20737.0,20737.0,177126.0,0.125,0,1,1,2,1,SUCCESS,20737,OPEN,QakV_nzOTm2q_NhqUMwIJw
AIDeepRacer,1655137261230,1,21406.0,21406.0,169001.0,0.42857142857142855,2,1,3,2,2,SUCCESS,21406,OPEN,pIRbdCx6QYatgVXm2p5GbA
ADA,1655137196423,1,22192.0,22192.0,134014.0,1.0,3,2,5,2,3,SUCCESS,22192,OPEN,KiqOhQPjTamuBXicXnKGEA
MattCamp,1655125333584,1,22201.0,22201.0,163930.0,1.1666666666666667,5,2,7,2,4,SUCCESS,22201,OPEN,9z8BN2mkSj-Dlb_Chg_0Hw
Duckworth,1655137247753,1,22268.0,22268.0,173039.0,0.42857142857142855,2,1,3,2,5,SUCCESS,22268,OPEN,VIu9BQ4-Th6gUqu60ztwUQ
Ensono-Ernesto,1655117015554,1,22468.0,22468.0,167454.0,0.14285714285714285,1,0,1,2,6,SUCCESS,22468,OPEN,8zBEAp0-S5yGbcZvytGZGQ
JPMC-LONDON-HandsFree,1655129700387,1,23268.0,23268.0,138065.0,2.75,7,4,11,2,7,SUCCESS,23268,OPEN,DZAYqyd-Tp6eE15IopWCgQ
TonyJ,1655137220268,1,23778.0,23778.0,158251.0,0.8333333333333334,5,0,5,2,8,SUCCESS,23778,OPEN,af962be5a4ed4c57af807w
Jochem,1655137175691,1,24341.0,24341.0,158588.0,0.3333333333333333,1,1,2,2,9,SUCCESS,24341,OPEN,RBPhZc5eTVmEF_gpSV7skg
dartjason,1655137231691,1,29731.0,29731.0,156259.0,2.0,7,1,8,2,10,SUCCESS,29731,OPEN,JSflDq5rQgKEuA5Ots4kDQ
RobinCastro-DBS,1655120521144,1,34336.0,34336.0,164380.0,4.5,18,0,18,2,11,SUCCESS,34336,OPEN,7KrbyQXvTBOxnBa0p9YuUA
Off-track,1655090941916,1,37461.0,37461.0,151395.0,6.0,16,2,18,2,12,SUCCESS,37461,OPEN,1R021ZoDQrqxSUiHfBvyEw
JPMC-DriftKing-Houston,1655129776591,1,45951.0,45951.0,174487.0,6.333333333333333,18,1,19,2,13,SUCCESS,45951,OPEN,fngewpiZSZm11yX7YgwnMA
DaVinciDriver,1655137201105,1,51273.0,51273.0,160529.0,8.0,15,1,16,2,14,SUCCESS,51273,OPEN,XtzXYz2pRByDnXz90XNGSw
JPMC-BMTH-CTRL-PLUS-SPEED,1655130889185,1,53072.0,53072.0,169005.0,7.666666666666667,11,12,23,2,15,SUCCESS,53072,OPEN,TSoego0RTCazPagbkqTnlw
Penguin-DNPds,1655116163389,0,,,,0.0,0,0,0,2,16,SUCCESS,9223372036854775756,OPEN,Nr3YCYWGTA631Xqa0uDPhw
