Rank,Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,LeaderboardSubmissionStatusType,RankingScore,UserId
1,ZoD,1714436103746,3,12486,12203,37459,0.0,0,0,0,50,SUCCESS,12486,TFtvCas4TRWchrBPMyGh0A
2,rosscomp1,1714339821410,3,12487,12200,37463,0.0,0,0,0,50,SUCCESS,12487,fb0d597a87f94697aa1c6w
3,flatearth,1714019290007,3,12841,12475,38524,0.0,0,0,0,25,SUCCESS,12841,9e3a9607a4e04ba2b1a49w
4,Nariox,1714397419760,3,12845,12600,38535,0.0,0,0,0,45,SUCCESS,12845,AUWR9HasSr2j2V1bbAptNw
5,TonyJ,1714433526315,3,12930,12531,38790,0.0,0,0,0,50,SUCCESS,12930,af962be5a4ed4c57af807w
6,CodeMachine,1714489273700,3,12931,12332,38793,0.0,0,0,0,50,SUCCESS,12931,b_WzN_r8ToGPle_8bl2tMA
7,JJ,1714506728289,3,12933,12608,38799,0.0,0,0,0,50,SUCCESS,12933,afdcX_4vRH6Ussd0mbg5LQ
8,TonyD,1712195971452,3,13132,12736,39397,0.0,0,0,0,12,SUCCESS,13132,CqZmW8kHQti0P4KOd0cLdA
9,Deepak-dpk,1714496567629,3,13153,12864,39459,0.0,0,0,0,48,SUCCESS,13153,gDTBFK77TM6wD6uObZlulA
10,Duckworth,1714499646403,3,13174,13068,39524,0.0,0,0,0,50,SUCCESS,13174,VIu9BQ4-Th6gUqu60ztwUQ
11,AJM-Model-1,1714481831322,3,13218,12864,39656,0.0,0,0,0,50,SUCCESS,13218,gdsU9bkGRWW7LTEHP4rGgQ
12,BlazeJ,1713163448021,3,13265,12869,39797,0.0,0,0,0,1,SUCCESS,13265,wLnVTSqtROmx0WyQxjR3-g
13,IcePandaBoom,1714451658165,3,13286,13072,39860,0.0,0,0,0,50,SUCCESS,13286,BTPWujqqTBOWGAFvEKyRaA
14,MattCamp,1714481870824,3,13353,13001,40059,0.0,0,0,0,50,SUCCESS,13353,9z8BN2mkSj-Dlb_Chg_0Hw
15,PolishThunder,1713623293697,3,13375,13201,40127,0.0,0,0,0,50,SUCCESS,13375,qi512oGVTry8V-KtP6j2_w
16,MarkRoss,1714116383368,3,13396,13200,40190,0.0,0,0,0,50,SUCCESS,13396,9OT4p4dXQ2K2J5pOUfeGfg
17,Ernesto-PhilJ,1714377988963,3,13398,13134,40194,0.0,0,0,0,50,SUCCESS,13398,8zBEAp0-S5yGbcZvytGZGQ
18,Version-Infinite,1714514685793,3,13420,13065,40262,0.0,0,0,0,50,SUCCESS,13420,N5Bzb-oJTAup8q3QAYGZww
19,nickyl,1714509827099,3,13440,13197,40321,0.0,0,0,0,49,SUCCESS,13440,O0GALYAoRfGA0kUV6ftgqQ
20,BennyLBS,1714518177248,3,13443,13005,40329,0.0,0,0,0,27,SUCCESS,13443,wD3fjDFZTJaZd9AU7WRDlA
21,AIDeepRacer,1714378192996,3,13486,12929,40460,0.0,0,0,0,46,SUCCESS,13486,pIRbdCx6QYatgVXm2p5GbA
22,-Just-Be-Better-,1713060813785,3,13575,13205,40725,0.0,0,0,0,49,SUCCESS,13575,X_dNmJilS8SDBQ44yzd2fg
23,Hins,1714482926803,3,13595,13199,40787,0.0,0,0,0,3,SUCCESS,13595,TrdfMZyuRVWfUUCH-IYRKg
24,GaoRanger96,1713165021800,3,13617,13338,40853,0.0,0,0,0,3,SUCCESS,13617,l7ZU5e64ToWJAKgDYUDeyQ
25,JPMC-BA-MiguelG,1712793761655,3,13619,13269,40857,0.0,0,0,0,50,SUCCESS,13619,ITPfFYXmSXKi3TqsvUHRKw
