Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
mc,1556371245181,11459,1,SUCCESS,11459,52a105cb81d548ef987e43f840f6772f
Nick-K,1555839816248,11486,2,SUCCESS,11486,d23fbe2f27484f07b26cee121e7c6d95
kazuyaM,1556240653059,11547,3,SUCCESS,11547,9f1193ba63dd4a51b986426a20a64d85
Nick,1555674216000,11555,4,SUCCESS,11555,647ec3e50b4e4cff8b7fe90c6986059c
BartCallant,1556477549561,11677,5,SUCCESS,11677,b504197a0a304304b403e5e45fa7aae3
Fumiaki,1556339466150,11704,6,SUCCESS,11704,5RzBNYRAQoWVausi3eyhRg
vinas,1555963248395,11764,7,SUCCESS,11764,920ea5ea49e34e6784956a0061659215
OBAKE,1556530028874,11775,8,SUCCESS,11775,5714ddbbf5644317994d5e9b2cc7a8a5
cheungt,1556387414682,11811,9,SUCCESS,11811,551c756f2ccc45d1a771a4189f5bbb8a
JRacer,1555967514109,11882,10,SUCCESS,11882,1e73d9741a584c68beb93f033f656dff
bart,1555847739062,11990,11,SUCCESS,11990,126d782e4bf640038afab04157bc985b
Koopa-Haziq,1556460268269,12022,12,SUCCESS,12022,4c2bb07ac1cf4bacb0efc7e15183dc1f
Chuongster,1556549345111,12060,13,SUCCESS,12060,562d9b4b3ea74899aaafb43c39770e14
fail-man,1555690283086,12202,14,SUCCESS,12202,86faebce6b894f05be00a8ee3f79c017
Lars,1556501855365,12295,15,SUCCESS,12295,d96cf1914bc54f3791b1372824f32c44
MR,1556030363317,12418,16,SUCCESS,12418,ba407c78b078448297f67b71be29e560
yamane3ch,1556417552383,12837,17,SUCCESS,12837,6c3579f3c36d4ad9b34efa3c3a161ced
KoopaLoopa,1556345795582,13001,18,SUCCESS,13001,a2168a2a2b2d40c09cc798cecff8008f
HY-DNP,1556262394467,13168,19,SUCCESS,13168,137492c064ad4b1bbb813cc474d4836b
TONY,1556004926804,13261,20,SUCCESS,13261,543b8df1e310497584810064dc4a7a8d
del,1556513191922,13924,21,SUCCESS,13924,efc8c7e40ddd4837806904a4d598b123
Gael,1556017071964,14563,22,SUCCESS,14563,229b94f5f31c4230ad4ab101db6f3a3b
F1Spirit,1555978059473,14582,23,SUCCESS,14582,3675c748fd2f4947ad9176c2e018f769
kt,1555587998753,15304,24,SUCCESS,15304,dd5c2b3451294ea8b093dba586d55e77
YONGHANKIM-HCC,1555691028715,15801,25,SUCCESS,15801,3878d77f0a5541d4a0f1e0659336e217
TCO-Z,1556362266339,16120,26,SUCCESS,16120,ae053f4ac8ab4a15bcb9ecab38017089
Gael-TD,1556309251074,16178,27,SUCCESS,16178,ec22ca0bffb847eba8b31155c2634b52
rkom,1556115461292,16942,28,SUCCESS,16942,26e5070935434e22b3aa17a1bacdcad9
AdoRacer,1555822820552,17028,29,SUCCESS,17028,6c755cc6440949bf94f0e4a1d1c97802
Tom,1556104416468,17050,30,SUCCESS,17050,17be936941ae4aeba9db8472671d948a
Hyeonwoo-hcc,1555554801124,17103,31,SUCCESS,17103,6746a654e3ea4b64b7b3f086819b73ff
RL-Nuvolari,1556298786049,17312,32,SUCCESS,17312,9f52ee4c4c89475a9f808f9ba0095c51
cml,1556517096841,17909,33,SUCCESS,17909,251c94f3567f4f54a34553d9107b394f
jschwenn,1556367620691,18139,34,SUCCESS,18139,7057465f98324f2cbe6fb7c5e7a37527
AndyMilne,1556237845613,18270,35,SUCCESS,18270,2a354a10ece84ae0ba4d1c8a4c108845
pre-racer,1555979675262,18409,36,SUCCESS,18409,1788f2915a4141e89954b3a33f1df754
AiiA-Team,1556539010418,18427,37,SUCCESS,18427,c2170ff1106a45479605426d804d2571
