Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore
Breadcentric,1568708204584,8640,1,SUCCESS,8640
JasonLian,1568660055037,8720,2,SUCCESS,8720
Kire,1568551516921,8856,3,SUCCESS,8856
Etaggel,1568760759610,8918,4,SUCCESS,8918
GT-DevelopersIO,1569341421980,8934,5,SUCCESS,8934
yojio,1569592799913,8975,6,SUCCESS,8975
BSi,1569454575478,9108,7,SUCCESS,9108
PGS-Tomasz-Panek,1568989282885,9115,8,SUCCESS,9115
JimWu,1569765468086,9156,9,SUCCESS,9156
DR-DNPds,1568308711075,9182,10,SUCCESS,9182
Speedwagon,1569826844774,9222,11,SUCCESS,9222
kimwooglae,1569327651411,9240,12,SUCCESS,9240
Aiis-DNP,1568091996592,9242,13,SUCCESS,9242
D4D-test,1569643850202,9242,14,SUCCESS,9242
think,1569682357601,9289,15,SUCCESS,9289
Treebeard,1569156746448,9298,16,SUCCESS,9298
Fumiaki,1569834606842,9308,17,SUCCESS,9308
Sinuhe,1568639027976,9314,18,SUCCESS,9314
RayG,1569503575350,9355,19,SUCCESS,9355
JJ,1569883448208,9380,20,SUCCESS,9380
nero-DNPds,1567302527144,9416,21,SUCCESS,9416
piano,1568713675773,9421,22,SUCCESS,9421
myrace,1568248697817,9525,23,SUCCESS,9525
Karl-NAB,1569847475434,9548,24,SUCCESS,9548
Mentaiko-DevelopersIO,1569143143374,9587,25,SUCCESS,9587
DANKracer3,1569089888582,9590,26,SUCCESS,9590
taiyaki-DevelopersIO,1568699436229,9610,27,SUCCESS,9610
Jouni-Cybercom,1569884198114,9619,28,SUCCESS,9619
GonLoki,1568146226657,9623,29,SUCCESS,9623
RichardFan,1568956337858,9647,30,SUCCESS,9647
Joffe,1569792915857,9722,31,SUCCESS,9722
Momotaro-DevelopersIO,1569772540092,9785,32,SUCCESS,9785
ThefastBoy,1569348789145,9903,33,SUCCESS,9903
OneDudeDesign,1569269497850,9914,34,SUCCESS,9914
YiLunLi,1569204462625,9938,35,SUCCESS,9938
10millionPowers-DevelopersIO,1569886829477,9962,36,SUCCESS,9962
Vendetta00,1569818061489,9972,37,SUCCESS,9972
aws-challenger,1569344368646,9973,38,SUCCESS,9973
ChangsooCap,1569802140532,9976,39,SUCCESS,9976
fgozali,1568857086195,9990,40,SUCCESS,9990
Narashika-DevelopersIO,1569387335704,10045,41,SUCCESS,10045
Dalyo,1568377186616,10087,42,SUCCESS,10087
maeda-ai,1568371862622,10098,43,SUCCESS,10098
nalbam-me,1567391090686,10120,44,SUCCESS,10120
BespinRacer,1569662230510,10138,45,SUCCESS,10138
UAWSToretoS,1569420994417,10174,46,SUCCESS,10174
Jochem,1568443202590,10177,47,SUCCESS,10177
Carl,1568949162473,10187,48,SUCCESS,10187
HY-DNP,1568105828796,10249,49,SUCCESS,10249
iceman-NCTU-CGI,1567410404189,10255,50,SUCCESS,10255
DarkChocolate,1568657835505,10259,51,SUCCESS,10259
Parzival,1567736859471,10297,52,SUCCESS,10297
rosscomp1,1569013443232,10309,53,SUCCESS,10309
Usin,1568534564317,10310,54,SUCCESS,10310
MrMitch,1569612042067,10371,55,SUCCESS,10371
PRRC-DNP,1569303222821,10381,56,SUCCESS,10381
SmiffyKMC,1568487356661,10382,57,SUCCESS,10382
Sola-DNPds,1567552716424,10438,58,SUCCESS,10438
Priit,1569569750777,10448,59,SUCCESS,10448
Praveen,1569469394643,10505,60,SUCCESS,10505
rogAWS,1567590765634,10513,61,SUCCESS,10513
KolaB,1569448795809,10518,62,SUCCESS,10518
Tricycle-NiftyLAB,1569554274836,10566,63,SUCCESS,10566
Common-Kingfisher,1569740044317,10566,64,SUCCESS,10566
Crikey,1567698844929,10569,65,SUCCESS,10569
AndreiU,1567867243564,10578,66,SUCCESS,10578
