Alias,SubmissionTime,AvgLapTime,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
Robijohn,1575049678659,960,1,SUCCESS,960,eafb790bc3cf4831b217f685f1f78c50
XamYxar,1574294710259,7984,2,SUCCESS,7984,dcc31992c8fd4f809126e94d369659bc
yojio,1574198396885,8081,3,SUCCESS,8081,aa04117930b043bb90b9b503c0b04ba6
JJ,1573436845517,8091,4,SUCCESS,8091,afdcX_4vRH6Ussd0mbg5LQ
TonyJ,1575026039709,8133,5,SUCCESS,8133,af962be5a4ed4c57af8075bbd79a0d35
satussy777,1573902991235,8298,6,SUCCESS,8298,IYaF6LtbRWmZE9xBm87JmQ
Yeti,1574689968029,8551,7,SUCCESS,8551,1SGxAyrnQ96tWb-rolMeBQ
Chris,1573743116825,8691,8,SUCCESS,8691,aacf3d25f2514396b12f8cdd0ea5593c
Usin,1574591484317,8782,9,SUCCESS,8782,0U0AhasoQkySiJ1to8xBZw
Jerec,1573175203873,8973,10,SUCCESS,8973,RH6ep-5mRmmVLqHClba8_Q
PGS-Tomasz-Panek,1573920385826,8973,11,SUCCESS,8973,37a5c49c99eb4b0aa746ad7150284534
hirosys,1574765572099,8976,12,SUCCESS,8976,DhYHXwMpSFuKMR0_Hv3Ndg
ChangsooCap,1574420535245,8981,13,SUCCESS,8981,de38e6001db54c6d9f8f16cfc053f543
hisys-ohara,1575153771734,8985,14,SUCCESS,8985,4a03c65c3b2b4ee1a0e93a45c5521940
hyeonwoo,1574828947967,9002,15,SUCCESS,9002,33e71e648ce247d8b908ba923dc445d0
RichardFan-dr,1575080220712,9083,16,SUCCESS,9083,oxm3h2AtTpGqAnGZ4vzYpg
ShibaInu-DevelopersIO,1573827914850,9107,17,SUCCESS,9107,q3lEztDGTfSD-GgkF5IgTg
Ensono-AWS-Team,1574107011283,9361,18,SUCCESS,9361,79d2889ade694e43b9b14242d2680243
Etaggel,1573155521667,9383,19,SUCCESS,9383,BwHxax8oR-e8kzZqNd5_Sw
ABaykov,1574138191650,9386,20,SUCCESS,9386,aa28j7SWTd-LxMzvFoj_bA
GT-DevelopersIO,1575118825733,9403,21,SUCCESS,9403,8WSp4P7ZRn-jJgZLnugwkA
AbdElrhman-Mohamed,1575158210192,9407,22,SUCCESS,9407,d9243e581b3845caac26414060f36745
Kire,1574407103766,9432,23,SUCCESS,9432,N0y9CR6fQN-a4UlAFsTC5Q
Ernesto,1573898452534,9437,24,SUCCESS,9437,8zBEAp0-S5yGbcZvytGZGQ
Lina,1573763995628,9448,25,SUCCESS,9448,XeBgwELvQ_uvlo7ETeWk6w
PrimeWheels,1574778064183,9510,26,SUCCESS,9510,c571d11d1d7b4910bf3a720e21d06d20
Dalyo,1574638756643,9533,27,SUCCESS,9533,ce7078d6e33a4e9fa28b3a02ff5d8950
kimwooglae,1574398987168,9581,28,SUCCESS,9581,bOqKo-ebR_essdUaZVGO4Q
think,1574423364476,9709,29,SUCCESS,9709,IHHC4YftQLaMAs0VyXFJzw
MattC,1574503773365,9770,30,SUCCESS,9770,98ca07ba7e974940a0c92ba00249fdeb
Nakamura-NiftyLAB,1573538346476,9772,31,SUCCESS,9772,ed3c0944fc6146e98025f831d026a6b3
DR-DNPds,1574869193898,9776,32,SUCCESS,9776,5d91f1e639364d3abfeaffbf83b56940
NewSpeed,1574173864344,9837,33,SUCCESS,9837,O6ueG2wYT6aD1Cv_Lnf-7g
nalbam,1573302280008,9845,34,SUCCESS,9845,2dc82e17c1b14ad0be1e175e90ab283f
KR-seren,1574788236488,9977,35,SUCCESS,9977,9165030dc2dd4cac9d1a226fe4426454
juvchan,1574081184016,9985,36,SUCCESS,9985,SWmpLTxVTtSX60JXqXxgbg
nalbam-me,1573810124190,10047,37,SUCCESS,10047,PnRru4vBRkeyT4xX6LOCtw
DBroRacer,1573650933332,10101,38,SUCCESS,10101,54425ec014b54b2289413a8923c1c1aa
Adam-H,1574024795374,10112,39,SUCCESS,10112,63LM4ZOGRmyM9GjZ-IVJgg
TRS-DR,1574440751491,10117,40,SUCCESS,10117,zMjLOJ-lQs-yFyRGAVIGeg
Jouni-Cybercom,1574120818366,10121,41,SUCCESS,10121,7657430f130444b28d821da069102286
Alan-at-GJI,1574819414064,10229,42,SUCCESS,10229,434f08bbe8b949d3aa80e41f7a8e6f94
DBroOutrun,1573204530494,10255,43,SUCCESS,10255,445965d064894935ba49686c59a31e1d
PolishThunder,1573384376939,10308,44,SUCCESS,10308,qi512oGVTry8V-KtP6j2_w
kite-jack-thrice,1574713556530,10315,45,SUCCESS,10315,4c0a70d6f4ea45429b9ecb96cbe161a0
JasonLian,1574543182764,10393,46,SUCCESS,10393,21b718ff4c3c462ba98ea723a515f386
MING-CHUN,1575065782835,10560,47,SUCCESS,10560,qoQoafc4RhGMzWx_fwBp4w
Jochem,1573906415995,10560,48,SUCCESS,10560,RBPhZc5eTVmEF_gpSV7skg
Robin-Castro,1574521684325,10572,49,SUCCESS,10572,qaH8R2-8TlG79mslpdPfGg
tes,1574473513950,10582,50,SUCCESS,10582,fb477e7ab0c74e35b93cd1d0e77d0ab9
mc,1574659408795,10716,51,SUCCESS,10716,52a105cb81d548ef987e43f840f6772f
RayG,1573187463928,10793,52,SUCCESS,10793,YNrvM9f5RteeSrCl7oFC5w
Andrew-B6,1573538343643,10796,53,SUCCESS,10796,521e5cacf2c64c918d2801048e7b3eb2
HY-DNP,1574308343783,10853,54,SUCCESS,10853,137492c064ad4b1bbb813cc474d4836b
Qbaza,1573724596992,10912,55,SUCCESS,10912,dd1567000932458a82add3a6bb75eb46
mito-NiftyLAB,1573548297661,10957,56,SUCCESS,10957,18495801a19e49dbab700b8d32821e6a
BSi,1573352269296,11026,57,SUCCESS,11026,2eb231b0a43f4940bfed3635e8a15a6e
muzi,1574858017509,11130,58,SUCCESS,11130,-MRzonoQTti4O6q-Q7tYmQ
OneDudeDesign,1573171009160,11137,59,SUCCESS,11137,tLd0GWYiT0qzqq6YRFVXhg
BrusbyA,1574782379522,11232,60,SUCCESS,11232,45f0f373b6a8436baa93159235fd4cb7
MrMichaelSchulze,1575035370707,11271,61,SUCCESS,11271,1d0afbed6ca248bfad51835f6b2dab22
hisys-uchiwa,1574119049064,11325,62,SUCCESS,11325,6c6987ebe8e246feb49446ddccd65a3a
noko-NiftyLAB,1573202211796,11430,63,SUCCESS,11430,f5e21987300449b2907ea9b386729d9e
astronav,1573630250301,11443,64,SUCCESS,11443,032a33f14ff54a25b13bd128229ed2b6
XLR8,1573537843888,11518,65,SUCCESS,11518,fedc238584d34d7f854726760e47fa4e
hiroisojp,1574884896993,11589,66,SUCCESS,11589,_0ZNctRRQz2bXTbPUszW1Q
DKotto,1574291701935,11734,67,SUCCESS,11734,29d635808ab642bc9badf2e1e9baf59f
leo-DNPds,1573183555632,11803,68,SUCCESS,11803,5306ba34dbe645ed8e2bfd2782081506
Srhastag,1574999899478,11805,69,SUCCESS,11805,OZ3GchkuRs6lMHvqrIESOQ
xandrew,1573702407958,11831,70,SUCCESS,11831,a15d9381a64c4d6697ffb1ceae6ef552
hisys-strategy,1573693722571,11904,71,SUCCESS,11904,d21da5d382b444abb04221f795f05d83
honjun,1573444939180,11931,72,SUCCESS,11931,e5a44fb0153c4faabf89206bdb93dfd4
tbitai,1574426854660,12091,73,SUCCESS,12091,97f273b45872487f8c474fa6b9ba28d7
LuckyMan,1574099297311,12104,74,SUCCESS,12104,hbVXmPNNTAGt_ndmy0JCtg
DeepVasco,1573380001507,12112,75,SUCCESS,12112,5d6cbff524b14dcfa559b03f4d273c8d
JPMC-HandsFree-London,1573635704947,12186,76,SUCCESS,12186,DZAYqyd-Tp6eE15IopWCgQ
Johnny-ChemAxon,1573693568295,12191,77,SUCCESS,12191,sbBPGaItT_CY9mpACsDWgQ
Sola-DNPds,1574872200668,12194,78,SUCCESS,12194,qH2hI69YTQGTOyWa15PW3w
21emon,1572971609814,12265,79,SUCCESS,12265,ee34f5b6677b41f782b969cb23f2760c
hisys-morimori,1573690487936,12269,80,SUCCESS,12269,87b288812ffb499eb28e3053f370b67e
CruzRamirez,1573488783385,12293,81,SUCCESS,12293,Zx_FEQUGTo-DLKNy6O2y-g
nt20190523,1573518080951,12386,82,SUCCESS,12386,61700ba1cfb54955b7593ad9631b404e
KAGRAZAKA-DNP,1574152325373,12456,83,SUCCESS,12456,23376b3a65b24fa58a3f6e28a46b733a
2edgy,1573056194741,12639,84,SUCCESS,12639,504baf5f21ae42d3865d4492aa687d50
