Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
dartjason,1590318398640,3,12569,9168,37709,0.6666666666666666,1,1,2,2188,1,SUCCESS,37709,JSflDq5rQgKEuA5Ots4kDQ
OneDudeDesign,1589868208009,3,12643,12467,37930,1.0,0,3,3,2288,2,SUCCESS,37930,tLd0GWYiT0qzqq6YRFVXhg
JJ,1590257510283,3,12725,8355,38177,1.0,1,2,3,3030,3,SUCCESS,38177,afdcX_4vRH6Ussd0mbg5LQ
PoChun-NCTU-CGI,1590804141767,3,13462,12790,40388,0.0,0,0,0,621,4,SUCCESS,40388,P7SrLqBvRKS2fNy2goovqw
gigi-DNPds,1590040523870,3,13603,12302,40809,0.3333333333333333,0,1,1,912,5,SUCCESS,40809,nkTUmamiSOWmb8YpN0p7aw
Karl-NAB,1590785076723,3,13637,8744,40912,1.0,2,1,3,4660,6,SUCCESS,40912,4vOOxLIsSjeL2WFaO5o_fQ
RayG,1589744109783,3,13660,11208,40981,0.3333333333333333,1,0,1,5450,7,SUCCESS,40981,YNrvM9f5RteeSrCl7oFC5w
Etaggel,1590678602055,3,14640,10296,43922,1.3333333333333333,0,4,4,1735,8,SUCCESS,43922,BwHxax8oR-e8kzZqNd5_Sw
Mentaiko-DevelopersIO,1590287101861,3,14926,13361,44780,1.0,1,2,3,1073,9,SUCCESS,44780,Wt5C8BPAS0OPlzY3-txb-w
Galileo,1590824879532,3,15147,12322,45441,0.6666666666666666,1,1,2,1588,10,SUCCESS,45441,Y79AzaaOR-u4LVKMxu1Mdw
Fumiaki,1590780787140,3,15258,13253,45775,0.3333333333333333,1,0,1,2683,11,SUCCESS,45775,5RzBNYRAQoWVausi3eyhRg
nero-DNPds,1590180289212,3,15338,13776,46016,0.3333333333333333,0,1,1,1798,12,SUCCESS,46016,fdqnbHDPSbKcnf8kE5xuMQ
PolishThunder,1590087938801,3,15371,12150,46115,2.0,0,6,6,5562,13,SUCCESS,46115,qi512oGVTry8V-KtP6j2_w
MattCamp,1590749930618,3,15936,13088,47808,2.0,0,6,6,2439,14,SUCCESS,47808,9z8BN2mkSj-Dlb_Chg_0Hw
SchrodingerBot,1590881831115,3,16576,10362,49729,1.6666666666666667,1,4,5,330,15,SUCCESS,49729,bad5ec33cea440cb991f4w
Jianlong,1590856276243,3,16591,14054,49775,1.0,2,1,3,3769,16,SUCCESS,49775,vpsHYdBtSIq__1M9j1R21Q
GT-DevelopersIO,1590966615086,3,16661,14966,49983,2.6666666666666665,0,8,8,671,17,SUCCESS,49983,8WSp4P7ZRn-jJgZLnugwkA
flatearth,1590804490213,3,16927,9293,50781,1.3333333333333333,3,1,4,414,18,SUCCESS,50781,9e3a9607a4e04ba2b1a49w
FLNGRY,1590778725445,3,16951,12979,50854,1.0,1,2,3,510,19,SUCCESS,50854,395ef97658bc4b51ac43eQ
