Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
JJ,1594139797717,3,8330,7826,24991,0.0,0,0,0,3522,1,SUCCESS,24991
PolishThunder,1594821652051,3,10380,8942,31141,0.3333333333333333,0,1,1,6321,2,SUCCESS,31141
Karl-NAB,1595797022267,3,11546,7878,34638,0.6666666666666666,1,1,2,6576,3,SUCCESS,34638
Ernesto,1595720883529,3,11844,10054,35534,0.6666666666666666,0,2,2,1760,4,SUCCESS,35534
OneDudeDesign,1594234785961,3,11859,9697,35579,0.6666666666666666,1,1,2,3640,5,SUCCESS,35579
MiLKB,1595213305477,3,13046,10464,39138,0.6666666666666666,1,1,2,1214,6,SUCCESS,39138
Yeti,1594228914945,3,13490,8815,40470,1.0,2,1,3,681,7,SUCCESS,40470
flatearth,1594119501272,3,13517,9987,40553,1.0,1,2,3,531,8,SUCCESS,40553
Rogue-DBS,1595854816545,3,13684,12064,41052,1.0,1,2,3,584,9,SUCCESS,41052
nero-DNPds,1593809469420,3,14222,12888,42666,0.3333333333333333,0,1,1,446,10,SUCCESS,42666
Fumiaki,1595385781133,3,14581,12524,43743,0.6666666666666666,1,1,2,3412,11,SUCCESS,43743
Jianlong-DBS,1593746884526,3,14773,12813,44320,1.0,1,2,3,2043,12,SUCCESS,44320
Yxcas-DBS,1595006982517,3,14850,10606,44551,1.3333333333333333,1,3,4,227,13,SUCCESS,44551
json,1594881243150,3,15234,10686,45703,1.3333333333333333,1,3,4,559,14,SUCCESS,45703
Jackandwho,1595493408206,3,15618,12807,46856,0.6666666666666666,1,1,2,3383,15,SUCCESS,46856
onlythree,1596120759202,3,15634,14401,46904,0.3333333333333333,0,1,1,1023,16,SUCCESS,46904
X-DENSO,1595079862761,3,15950,12250,47851,2.3333333333333335,1,6,7,3995,17,SUCCESS,47851
YMZK-DENSO,1595956499343,3,16346,13348,49039,2.0,0,6,6,629,18,SUCCESS,49039
kimmizian,1595482519204,3,16648,9730,49945,1.6666666666666667,2,3,5,2319,19,SUCCESS,49945
nalbam-me,1594439843311,3,16724,12011,50173,1.3333333333333333,2,2,4,1028,20,SUCCESS,50173
think,1596080577841,3,16800,13213,50401,1.6666666666666667,2,3,5,2899,21,SUCCESS,50401
Tarun99,1595295698585,3,16949,14491,50849,1.0,1,2,3,4624,22,SUCCESS,50849
yui,1595433981465,3,17150,12044,51451,1.0,3,0,3,1196,23,SUCCESS,51451
ABaykov,1593633317024,3,17714,16396,53142,2.0,2,4,6,158,24,SUCCESS,53142
Venkatesh,1596050510222,3,17717,14688,53152,1.6666666666666667,1,4,5,2726,25,SUCCESS,53152
mayurmadnani,1594769537756,3,17841,11931,53525,1.6666666666666667,2,3,5,1285,26,SUCCESS,53525
EngChi,1595481448545,3,17908,11282,53725,1.3333333333333333,3,1,4,75,27,SUCCESS,53725
Wings,1594048462288,3,18077,17392,54233,1.0,3,0,3,255,28,SUCCESS,54233
Arcjude,1595677953501,3,18153,14600,54460,0.6666666666666666,2,0,2,299,29,SUCCESS,54460
UNO-DENSO,1594793758235,3,18291,9361,54874,2.6666666666666665,2,6,8,156,30,SUCCESS,54874
Cindy-DBS,1595328957421,3,18436,11674,55310,2.0,4,2,6,512,31,SUCCESS,55310
Chun,1596021674891,3,18877,11168,56631,2.0,3,3,6,623,32,SUCCESS,56631
Smiles93,1595455690788,3,19410,11174,58231,2.3333333333333335,3,4,7,30,33,SUCCESS,58231
Duckworth,1596090988667,3,19415,13970,58246,1.3333333333333333,3,1,4,4,34,SUCCESS,58246
piano,1593648488799,3,19551,16911,58653,0.6666666666666666,1,1,2,3048,35,SUCCESS,58653
