Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
JJ,1593861648369,3,7668,7251,23005,0.0,0,0,0,3737,1,SUCCESS,23005,afdcX_4vRH6Ussd0mbg5LQ
Karl-NAB,1593790662948,3,7888,7452,23664,0.0,0,0,0,7509,2,SUCCESS,23664,4vOOxLIsSjeL2WFaO5o_fQ
Granville777,1595441350092,3,8356,7872,25069,0.0,0,0,0,2,3,SUCCESS,25069,a5b988d75e4c404cb9e9fw
PolishThunder,1595687842293,3,8433,8195,25301,0.0,0,0,0,7276,4,SUCCESS,25301,qi512oGVTry8V-KtP6j2_w
flatearth,1594007706265,3,8434,7931,25303,0.0,0,0,0,600,5,SUCCESS,25303,9e3a9607a4e04ba2b1a49w
OneDudeDesign,1595759460883,3,8445,8202,25335,0.0,0,0,0,3639,6,SUCCESS,25335,tLd0GWYiT0qzqq6YRFVXhg
Ernesto,1595929325207,3,8568,8466,25704,0.0,0,0,0,2129,7,SUCCESS,25704,8zBEAp0-S5yGbcZvytGZGQ
Yeti,1594214487968,3,8812,8463,26438,0.0,0,0,0,684,8,SUCCESS,26438,1SGxAyrnQ96tWb-rolMeBQ
X-DENSO,1595773624591,3,8851,8418,26554,0.0,0,0,0,5545,9,SUCCESS,26554,gGfLcjTdQKydRi8J83b9yQ
WenwenPon,1596192363790,3,8943,8522,26830,0.0,0,0,0,11,10,SUCCESS,26830,4d2034f8b36f4cd38f61dw
kimmizian,1596153649482,3,9037,8402,27111,0.0,0,0,0,2886,11,SUCCESS,27111,t6NwFsqgS4mYnFeR3KVxsg
Duckworth,1594575260210,3,9078,8868,27236,0.0,0,0,0,14,12,SUCCESS,27236,VIu9BQ4-Th6gUqu60ztwUQ
Yxcas-DBS,1595144804937,3,9197,8682,27593,0.0,0,0,0,195,13,SUCCESS,27593,NdVUBlBJRqiz_zbY7Xn-2g
Cindy-DBS,1595634397217,3,9233,8952,27700,0.0,0,0,0,1736,14,SUCCESS,27700,dkX_mR9zSYy9c2CprpaycQ
MiLKB,1595108334767,3,9271,8795,27814,0.0,0,0,0,1429,15,SUCCESS,27814,8KL8u0H3RIWxgP14x_RC6w
IcePandaBoom,1595854718476,3,9346,8659,28040,0.0,0,0,0,48,16,SUCCESS,28040,BTPWujqqTBOWGAFvEKyRaA
Rogue-DBS,1596015988855,3,9359,8932,28077,0.0,0,0,0,892,17,SUCCESS,28077,BwFrh7e5QpGsoPRg_livDQ
UNO-DENSO,1594574915158,3,9433,9066,28299,0.0,0,0,0,2516,18,SUCCESS,28299,18Czo8KTQMOBWsHAmK9Uig
Garage-ISEP,1595113918130,3,9462,9048,28388,0.0,0,0,0,141,19,SUCCESS,28388,fzU7aL-jTYm9zKtUHFVFyw
BlueDevil,1593968346535,3,9467,8938,28403,0.0,0,0,0,11,20,SUCCESS,28403,211dc2bc6cb64073baaf9w
Joffe,1594048998109,3,9612,9440,28837,0.0,0,0,0,15,21,SUCCESS,28837,ce17e3bfe82649448e2f3w
SpeedFreak,1593790434477,3,9628,9332,28885,0.0,0,0,0,9,22,SUCCESS,28885,d12875dc48634d6daedcdw
svenus,1595128686076,3,9662,9234,28986,0.0,0,0,0,219,23,SUCCESS,28986,215c266da23b4ca8a0c92w
JonathanRacer,1596164948521,3,9748,9125,29244,0.0,0,0,0,253,24,SUCCESS,29244,nya9ln7uRZ6yFkb9tRzrOw
ShinyThings-DBS,1596209205115,3,9752,8996,29256,0.0,0,0,0,846,25,SUCCESS,29256,_DmrtmMCQcuwssUB7luEFA
Fumiaki,1594258683502,3,9755,8785,29267,0.0,0,0,0,3457,26,SUCCESS,29267,5RzBNYRAQoWVausi3eyhRg
Smiles93,1595221875474,3,9792,9269,29378,0.0,0,0,0,95,27,SUCCESS,29378,ZQh09nrpQCmztIynuKW9bw
alexj,1593949429664,3,10008,9950,30024,0.0,0,0,0,13,28,SUCCESS,30024,Km6btE1_SFCCCqWJ4H6Fyg
YMZK-DENSO,1596076121257,3,10123,9940,30371,0.0,0,0,0,844,29,SUCCESS,30371,recf4re8RCusZsfmkza94w
Wings,1593602331964,3,10158,9530,30474,0.0,0,0,0,171,30,SUCCESS,30474,3-81_SSSQiGxpo-SOK8QgQ
