Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
JJ,1600680175650,3,11102,7681,33307,0.6666666666666666,1,1,2,3871,1,SUCCESS,33307,afdcX_4vRH6Ussd0mbg5LQ,
Karl-NAB,1601210628628,3,12022,8467,36067,0.6666666666666666,2,0,2,1043,2,SUCCESS,36067,4vOOxLIsSjeL2WFaO5o_fQ,
haikal-DBS,1600562310377,3,12516,10666,37550,0.6666666666666666,1,1,2,3643,3,SUCCESS,37550,sCFSLDNhRZCB8tZSHAqOyg,
Duckworth,1600342298697,3,12912,10837,38738,1.0,0,3,3,856,4,SUCCESS,38738,VIu9BQ4-Th6gUqu60ztwUQ,Accenture
kimmizian,1601300350771,3,13182,8996,39548,1.0,1,2,3,3084,5,SUCCESS,39548,t6NwFsqgS4mYnFeR3KVxsg,
YUTAM-DENSO,1600767141745,3,13661,10658,40983,2.0,0,6,6,2511,6,SUCCESS,40983,WUTaHFXwRfioIE1WfyD7nQ,
RayG,1601191411380,3,14530,9848,43592,1.3333333333333333,1,3,4,1843,7,SUCCESS,43592,YNrvM9f5RteeSrCl7oFC5w,DBS
OneDudeDesign,1600208267148,3,14585,14131,43756,1.3333333333333333,2,2,4,1345,8,SUCCESS,43756,tLd0GWYiT0qzqq6YRFVXhg,
PolishThunder,1600093207342,3,14585,9763,43756,1.6666666666666667,1,4,5,1045,9,SUCCESS,43756,qi512oGVTry8V-KtP6j2_w,
YMZK-DENSO,1599105944582,3,15045,12987,45135,1.0,2,1,3,924,10,SUCCESS,45135,recf4re8RCusZsfmkza94w,
MiLKB,1601209426729,3,15291,11615,45873,2.0,1,5,6,417,11,SUCCESS,45873,8KL8u0H3RIWxgP14x_RC6w,
Tapfer,1600920144328,3,15332,10416,45998,1.3333333333333333,1,3,4,1646,12,SUCCESS,45998,EMX6hc77RhyACpjFYBiWMw,
JonathanRacer,1600723677017,3,15635,11852,46906,2.0,1,5,6,3019,13,SUCCESS,46906,nya9ln7uRZ6yFkb9tRzrOw,
TienHoang-DBS,1601456345701,3,15958,12330,47875,0.6666666666666666,2,0,2,394,14,SUCCESS,47875,6IwkeVP_SV-fxpC-59lOog,
Cronyx,1601402743076,3,15992,12146,47976,0.6666666666666666,2,0,2,62,15,SUCCESS,47976,fMddYTlKTH27XHFr-OmYSw,
Jianlong,1599883485746,3,16284,11136,48853,1.6666666666666667,1,4,5,1811,16,SUCCESS,48853,vpsHYdBtSIq__1M9j1R21Q,DBS
SK-DENSO,1601255043177,3,16322,12001,48967,1.3333333333333333,2,2,4,1290,17,SUCCESS,48967,OY7PidANQca_8oV6j3LJ2g,
X-DENSO,1599032022239,3,16610,11961,49830,2.3333333333333335,2,5,7,309,18,SUCCESS,49830,gGfLcjTdQKydRi8J83b9yQ,
TerryLi-DBS,1601298345505,3,16638,11144,49916,1.0,3,0,3,1292,19,SUCCESS,49916,87ty6jB_T4eYYbVtOiK6pw,
hiroisojp,1600320089591,3,17505,12406,52515,1.3333333333333333,2,2,4,974,20,SUCCESS,52515,_0ZNctRRQz2bXTbPUszW1Q,
ZLF,1601433695876,3,17607,11681,52823,1.3333333333333333,2,2,4,201,21,SUCCESS,52823,aC-6ci-dQ_GteZCouzqV0w,
Tarun99,1601339097094,3,17729,16210,53187,1.0,2,1,3,505,22,SUCCESS,53187,n1Jj8q-KTeuLAxB38cfkrw,
Matt,1600188697089,3,17855,15611,53566,2.3333333333333335,0,7,7,1133,23,SUCCESS,53566,cVk-aYKdRUmuL0qmjyzmag,
kimwooglae,1601327313936,3,17928,14929,53786,3.0,0,9,9,4795,24,SUCCESS,53786,bOqKo-ebR_essdUaZVGO4Q,
Rezso-ShallowMind,1601244168944,3,18009,9335,54027,1.6666666666666667,4,1,5,162,25,SUCCESS,54027,dwgMw5QySEO1qh2lftRTOA,
Yxcas-DBS,1600502769527,3,18149,10765,54447,2.3333333333333335,2,5,7,11,26,SUCCESS,54447,NdVUBlBJRqiz_zbY7Xn-2g,DBS
JPMC-HandsFree-London,1601080765728,3,18264,15463,54793,2.0,3,3,6,7,27,SUCCESS,54793,DZAYqyd-Tp6eE15IopWCgQ,JPMorgan Chase
mayurmadnani,1601484314252,3,18297,13145,54893,2.3333333333333335,1,6,7,224,28,SUCCESS,54893,hr8K12KMRhSIDUEJbQT8fg,
HONG-IVE-CLOUD,1599376036401,3,18353,18049,55060,1.0,3,0,3,99,29,SUCCESS,55060,LTd2GBdbTmOrzTvAl0TR0Q,
satussy777,1599689874084,3,18393,15307,55181,1.6666666666666667,4,1,5,39,30,SUCCESS,55181,IYaF6LtbRWmZE9xBm87JmQ,
Deepak-dpk,1600864741689,3,18394,14993,55183,2.6666666666666665,2,6,8,221,31,SUCCESS,55183,gDTBFK77TM6wD6uObZlulA,
F1-DevelopersIO,1600000971816,3,18477,15138,55433,2.3333333333333335,2,5,7,196,32,SUCCESS,55433,UzQrKbzfSKyZCEf6eD2PBA,
OscarIVECloud-dr,1599051079334,3,18654,13920,55963,3.0,1,8,9,117,33,SUCCESS,55963,XHLKURnAQcmC56tomfZoWA,
Arcjude,1601422884753,3,18660,14568,55982,1.0,2,1,3,739,34,SUCCESS,55982,9uDvvD4JRjWEWMYrxDGdFg,
JPMC-RogerRabbit,1601328948461,3,18905,14393,56715,1.6666666666666667,5,0,5,5,35,SUCCESS,56715,DXXOncNRR1iiqhBvpPO-_A,JPMorgan Chase
UncleGK-DBS,1601438382701,3,19025,10663,57077,1.6666666666666667,4,1,5,30,36,SUCCESS,57077,244me6w0SIqlFPoljSZJsw,DBS
ding,1601320952262,3,19033,11897,57100,1.3333333333333333,4,0,4,5,37,SUCCESS,57100,tC4Vcd-jRYW8LhnXFuBK4g,
nalbam-me,1600600628926,3,19127,10810,57382,1.6666666666666667,3,2,5,1324,38,SUCCESS,57382,PnRru4vBRkeyT4xX6LOCtw,
Claret,1601439292907,3,20061,13718,60183,2.0,2,4,6,182,39,SUCCESS,60183,Iry8IexIQUWTyLW8zn0SlQ,
Bandi-ShallowMind,1599945957083,3,20146,16363,60439,2.0,5,1,6,23,40,SUCCESS,60439,YJiS57vXT3azuaFuG5gIXw,
Venkatesh,1601473868182,3,20324,12867,60974,2.0,3,3,6,404,41,SUCCESS,60974,MtYzlWySQCmhHcxvupeAqg,
ABaykov,1599270650291,3,20661,14816,61985,2.6666666666666665,3,5,8,10,42,SUCCESS,61985,aa28j7SWTd-LxMzvFoj_bA,
Terry-Li-HM,1600681758238,3,21041,18178,63124,1.6666666666666667,5,0,5,18,43,SUCCESS,63124,-YIhU-oOTaCslhhqM4HcsQ,
JJY,1601459592913,3,21055,17069,63166,1.6666666666666667,5,0,5,32,44,SUCCESS,63166,mhJfU4vFSJ64dTpy2Ip0Hg,
anuj-aggarwal,1601472924489,3,21149,13508,63447,3.6666666666666665,2,9,11,183,45,SUCCESS,63447,o_BkPc7jTK68tjHZiBRQEw,
gigi-DNPds,1598942118906,3,21254,15122,63764,2.0,4,2,6,2,46,SUCCESS,63764,nkTUmamiSOWmb8YpN0p7aw,
piano,1600591865561,3,21854,18788,65563,1.3333333333333333,2,2,4,4263,47,SUCCESS,65563,UlhPeJD_R1mP1YVlotOxSA,
think,1599627256799,3,22024,16005,66074,3.6666666666666665,1,10,11,4825,48,SUCCESS,66074,IHHC4YftQLaMAs0VyXFJzw,
monk,1601400583835,3,22073,19046,66220,2.0,4,2,6,15,49,SUCCESS,66220,_KRtuyevQEub6xab-DG6HQ,
CGS-LargeLattice,1601371835592,3,22209,19509,66628,4.0,1,11,12,25,50,SUCCESS,66628,o6NgljsnTOOelVAsofMR3g,
fuchida-MAINICHI,1601493744942,3,22228,11778,66686,3.0,4,5,9,100,51,SUCCESS,66686,HGiJghg0TqyXmMhVedqfRw,
yokeboy,1601274906143,3,22934,16629,68804,2.0,6,0,6,5,52,SUCCESS,68804,HmPblyPSQYOESPt3ZDrU_A,
RaviAhlawat,1601264480855,3,23090,14552,69271,3.3333333333333335,3,7,10,53,53,SUCCESS,69271,KJM5QPMaTZazg6dAMNWV0A,
DragonCrew-DBS,1601136858539,3,23160,21879,69481,2.3333333333333335,4,3,7,48,54,SUCCESS,69481,2OyLrQVWRD6AI4AGcJPD0g,
Merfoulis,1601483006645,3,23215,20143,69647,2.6666666666666665,2,6,8,11,55,SUCCESS,69647,ZXo038NgQoikG6lL_A5fVQ,
poonam1234,1601291881384,3,23237,15947,69711,3.0,5,4,9,22,56,SUCCESS,69711,73ORdC5hRuKlOCoqdGiaZQ,
ep-dr-racer1,1601370996356,3,23962,14260,71887,4.333333333333333,3,10,13,170,57,SUCCESS,71887,vEZxFEnhQHeI5tKR4Tz3rQ,
Robin-Castro,1601186273954,3,24664,20726,73992,2.6666666666666665,8,0,8,6,58,SUCCESS,73992,qaH8R2-8TlG79mslpdPfGg,DBS
JonathanHalim-DBS,1600336664409,3,25161,18947,75483,5.0,2,13,15,5,59,SUCCESS,75483,lQWxtmerT1eouRgw9omvXA,
Asumi,1600339957873,3,25301,21529,75905,2.3333333333333335,5,2,7,10,60,SUCCESS,75905,Uh5qLLBPQ9-M4OuwSQJKpQ,
Ruddy,1599133457363,3,25316,17145,75949,3.3333333333333335,5,5,10,38,61,SUCCESS,75949,Xok8O00YSeuAWvXTpG-YPg,
s1thind,1599372236924,3,25405,14875,76217,4.0,5,7,12,1,62,SUCCESS,76217,VW2LZeOaQP2xEkygggDjUg,
2nd,1601280469650,3,25464,20424,76393,3.0,6,3,9,2,63,SUCCESS,76393,wxGTEIt_RgCxzk8bnLBtfg,
DeepRizzle,1599782415115,3,25914,23020,77742,4.333333333333333,5,8,13,4,64,SUCCESS,77742,kiYAu0XHTua0Lt3alIrZqA,
Kurosaki,1598942257606,3,25970,22437,77910,3.6666666666666665,5,6,11,7,65,SUCCESS,77910,vrUZUm-aQQCQ0rEZjXcfOA,
Usin,1600255079241,3,25975,20129,77925,4.333333333333333,3,10,13,4,66,SUCCESS,77925,0U0AhasoQkySiJ1to8xBZw,
AM730,1599100709021,3,26143,23200,78429,3.3333333333333335,3,7,10,93,67,SUCCESS,78429,BVyCq7XIT-ObuDsJfFVtDA,
Jozef-Mak,1600951289532,3,26842,26492,80528,5.666666666666667,1,16,17,4,68,SUCCESS,80528,ADtIv73CS7SUDypuGuW-jA,
SK-denso,1600604536022,3,26906,23714,80720,4.666666666666667,5,9,14,3,69,SUCCESS,80720,xkC4DDGOSiuJlY62ZtcUyg,
tekgrl,1599606194822,3,27591,24577,82775,3.0,7,2,9,7,70,SUCCESS,82775,aJlzgk6tQj-dSVl6x6tERg,
Wasabi-DevelopersIO,1600697419349,3,27751,23126,83255,1.3333333333333333,2,2,4,715,71,SUCCESS,83255,Fmb5j9UgQ_2xkleK0vwXOg,
JPMC-Singapore-Chetak,1601382764389,3,27931,16422,83793,4.666666666666667,6,8,14,3,72,SUCCESS,83793,LJzDpiNuTFeHu9dsqp1APw,
Adam-H,1599382813064,3,28085,20735,84256,3.0,3,6,9,6,73,SUCCESS,84256,63LM4ZOGRmyM9GjZ-IVJgg,
Penguin-DNPds,1599116096013,3,28164,19492,84493,3.6666666666666665,5,6,11,2,74,SUCCESS,84493,Nr3YCYWGTA631Xqa0uDPhw,
UnsafeAtAnySpeed,1599583967958,3,28682,24072,86047,5.0,4,11,15,2,75,SUCCESS,86047,Pd7D3q0CQq-DE4e2fv4KJQ,
Smiky,1601498526428,3,29814,26368,89443,6.333333333333333,0,19,19,4,76,SUCCESS,89443,O5lagojuQy25zL4OSPyTVA,
JustPureVelocity,1600117498310,3,29978,24994,89934,2.0,3,3,6,1,77,SUCCESS,89934,8zSi2NZ3TDOKIAqwi6hA0w,
Kelvin,1601477421485,3,30166,23462,90498,4.666666666666667,5,9,14,1,78,SUCCESS,90498,l7oty7M_T4iLFi6fE4T8hQ,
Zane-L,1599389005397,3,31236,27483,93709,4.666666666666667,8,6,14,1,79,SUCCESS,93709,A3fMDdcQSEi2gOFLgYy5dg,
Lina,1599259889123,3,31310,13106,93932,4.333333333333333,9,4,13,1,80,SUCCESS,93932,XeBgwELvQ_uvlo7ETeWk6w,
SatoT-MAINICHI,1601502410479,3,33007,26354,99022,5.333333333333333,7,9,16,4,81,SUCCESS,99022,bDhGJlv-QKC0ekrFWhGwIg,
MING-CHUN,1599709361050,3,34966,32753,104898,3.3333333333333335,10,0,10,2,82,SUCCESS,104898,qoQoafc4RhGMzWx_fwBp4w,
Vron,1600913641973,3,35476,34822,106429,0.3333333333333333,0,1,1,6,83,SUCCESS,106429,fzfbauRSS6Chi92j8JIATw,
msckrishna,1599015714926,3,35554,29464,106662,9.666666666666666,1,28,29,46,84,SUCCESS,106662,0WzrOeJ0QKWImSlHFOkcYQ,
nine9,1599720383188,3,35639,32594,106917,4.333333333333333,9,4,13,1,85,SUCCESS,106917,nh20eR6wSW2uOCJ_nRnUvg,
GT-Racing,1599676883307,3,35652,34907,106958,4.333333333333333,3,10,13,15,86,SUCCESS,106958,w9zvXqmyRFWjHCr1e_v0-g,
KasztP,1600866004032,3,37014,25542,111044,2.6666666666666665,7,1,8,1,87,SUCCESS,111044,B_NHhZzIT7yLboMZHKC3Qw,
aminamehnazDBS,1598953970299,3,37100,34622,111300,1.0,0,3,3,1,88,SUCCESS,111300,EZbs4w6qSA6d1GtL1Utl2A,
WhatDuhHec,1601156738481,3,37616,34037,112850,8.666666666666666,4,22,26,2,89,SUCCESS,112850,zXGWRUFkTbCBXdu0DW6aoA,
Sugi-DBS,1599039467848,3,37661,30453,112983,6.666666666666667,9,11,20,1,90,SUCCESS,112983,IiO8sUPHRhSnSpp8Sr3FGg,
Kuei-NCTU-CGI,1600856755948,3,37802,25913,113406,8.666666666666666,5,21,26,1,91,SUCCESS,113406,uIHQTGm4QtWGei52HqkUvQ,
tranvietdung-DBS,1600312292566,3,38111,36874,114334,4.666666666666667,12,2,14,1,92,SUCCESS,114334,3OwVWi6tQDCpBzKpWfHj7Q,DBS
S-P-,1601069590988,3,38414,36198,115244,9.0,5,22,27,1,93,SUCCESS,115244,MxT5p4ZvSTOcc6ANa8VZNg,
UNO-DENSO,1599012239996,3,38422,37596,115267,7.333333333333333,9,13,22,1,94,SUCCESS,115267,18Czo8KTQMOBWsHAmK9Uig,
Rakesh-Arumalla,1599011856700,3,38929,34607,116787,0.6666666666666666,1,1,2,2,95,SUCCESS,116787,agzUTeeLS8GvRr8Ge5JpJA,
tiago,1601420932317,3,39350,37216,118051,5.666666666666667,0,17,17,5,96,SUCCESS,118051,T51DCM4nQRyJTY40HBuOTw,
