Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
JJ,1600451111284,3,7699,7336,23099,0.0,0,0,0,7050,1,SUCCESS,23099,afdcX_4vRH6Ussd0mbg5LQ,
Duckworth,1599999099338,3,7881,7570,23645,0.0,0,0,0,362,2,SUCCESS,23645,VIu9BQ4-Th6gUqu60ztwUQ,Accenture
Karl-NAB,1600317081259,3,8010,7515,24030,0.0,0,0,0,8307,3,SUCCESS,24030,4vOOxLIsSjeL2WFaO5o_fQ,
PolishThunder,1600654440578,3,8440,8071,25321,0.0,0,0,0,3622,4,SUCCESS,25321,qi512oGVTry8V-KtP6j2_w,
IcePandaBoom,1600715164290,3,8475,8059,25427,0.0,0,0,0,56,5,SUCCESS,25427,BTPWujqqTBOWGAFvEKyRaA,
Bandi-ShallowMind,1601412951475,3,8480,8132,25441,0.0,0,0,0,159,6,SUCCESS,25441,YJiS57vXT3azuaFuG5gIXw,
OneDudeDesign,1600777493324,3,8499,8269,25497,0.0,0,0,0,3482,7,SUCCESS,25497,tLd0GWYiT0qzqq6YRFVXhg,
Rezso-ShallowMind,1601438963310,3,8504,8067,25514,0.0,0,0,0,192,8,SUCCESS,25514,dwgMw5QySEO1qh2lftRTOA,
Fumiaki,1600904941338,3,8536,8165,25609,0.0,0,0,0,2872,9,SUCCESS,25609,5RzBNYRAQoWVausi3eyhRg,
haikal-DBS,1599912924262,3,8605,8262,25817,0.0,0,0,0,3697,10,SUCCESS,25817,sCFSLDNhRZCB8tZSHAqOyg,
kimmizian,1601274950606,3,8635,8146,25907,0.0,0,0,0,7805,11,SUCCESS,25907,t6NwFsqgS4mYnFeR3KVxsg,
satussy777,1600688244908,3,8769,8006,26309,0.0,0,0,0,351,12,SUCCESS,26309,IYaF6LtbRWmZE9xBm87JmQ,
X-DENSO,1599373106463,3,8851,8451,26554,0.0,0,0,0,2309,13,SUCCESS,26554,gGfLcjTdQKydRi8J83b9yQ,
RayG,1601161269902,3,8854,8261,26564,0.0,0,0,0,2027,14,SUCCESS,26564,YNrvM9f5RteeSrCl7oFC5w,DBS
YUTAM-DENSO,1600740035186,3,8912,8454,26736,0.0,0,0,0,4163,15,SUCCESS,26736,WUTaHFXwRfioIE1WfyD7nQ,
JonathanRacer,1600328181142,3,8929,8536,26789,0.0,0,0,0,3335,16,SUCCESS,26789,nya9ln7uRZ6yFkb9tRzrOw,
MiLKB,1601157482503,3,8979,8606,26939,0.0,0,0,0,1141,17,SUCCESS,26939,8KL8u0H3RIWxgP14x_RC6w,
KevinS,1599051776548,3,9141,8716,27425,0.0,0,0,0,325,18,SUCCESS,27425,hQPnx_a6SEaUvBUoWvta1g,
Ernesto,1601491020264,3,9241,8993,27725,0.0,0,0,0,94,19,SUCCESS,27725,8zBEAp0-S5yGbcZvytGZGQ,
ZLF,1601498967756,3,9298,8603,27896,0.0,0,0,0,75,20,SUCCESS,27896,aC-6ci-dQ_GteZCouzqV0w,
YMZK-DENSO,1599054795375,3,9304,8680,27914,0.0,0,0,0,1525,21,SUCCESS,27914,recf4re8RCusZsfmkza94w,
Yxcas-DBS,1600371452604,3,9328,8795,27986,0.0,0,0,0,15,22,SUCCESS,27986,NdVUBlBJRqiz_zbY7Xn-2g,DBS
OscarIVECloud-dr,1598976349077,3,9412,8981,28238,0.0,0,0,0,50,23,SUCCESS,28238,XHLKURnAQcmC56tomfZoWA,
JJY,1601493917771,3,9432,8734,28296,0.0,0,0,0,45,24,SUCCESS,28296,mhJfU4vFSJ64dTpy2Ip0Hg,
ding,1601482836437,3,9439,8610,28318,0.0,0,0,0,8,25,SUCCESS,28318,tC4Vcd-jRYW8LhnXFuBK4g,
Deepak-dpk,1601137222181,3,9473,9198,28420,0.0,0,0,0,1016,26,SUCCESS,28420,gDTBFK77TM6wD6uObZlulA,
UNO-DENSO,1600405239977,3,9480,9121,28442,0.0,0,0,0,505,27,SUCCESS,28442,18Czo8KTQMOBWsHAmK9Uig,
Robin-Castro,1601186280193,3,9503,9138,28509,0.0,0,0,0,5,28,SUCCESS,28509,qaH8R2-8TlG79mslpdPfGg,DBS
JPMC-RogerRabbit,1601309964809,3,9514,8944,28544,0.0,0,0,0,5,29,SUCCESS,28544,DXXOncNRR1iiqhBvpPO-_A,JPMorgan Chase
CGS-LargeLattice,1601374301878,3,9522,9004,28567,0.0,0,0,0,416,30,SUCCESS,28567,o6NgljsnTOOelVAsofMR3g,
JPMC-Singapore-Chetak,1601376959101,3,9653,9208,28961,0.0,0,0,0,29,31,SUCCESS,28961,LJzDpiNuTFeHu9dsqp1APw,
JPMC-HandsFree-London,1601105976125,3,9749,9588,29248,0.0,0,0,0,75,32,SUCCESS,29248,DZAYqyd-Tp6eE15IopWCgQ,JPMorgan Chase
Jerec,1599093594911,3,9776,9679,29328,0.0,0,0,0,197,33,SUCCESS,29328,RH6ep-5mRmmVLqHClba8_Q,
UncleGK-DBS,1599567552778,3,9819,9518,29459,0.0,0,0,0,327,34,SUCCESS,29459,244me6w0SIqlFPoljSZJsw,DBS
TerryLi-DBS,1601397633558,3,9859,9333,29577,0.0,0,0,0,1880,35,SUCCESS,29577,87ty6jB_T4eYYbVtOiK6pw,
SK-DENSO,1601509218642,3,9990,9474,29972,0.0,0,0,0,1214,36,SUCCESS,29972,OY7PidANQca_8oV6j3LJ2g,
Arcjude,1601286618445,3,10097,9026,30293,0.0,0,0,0,971,37,SUCCESS,30293,9uDvvD4JRjWEWMYrxDGdFg,
ABaykov,1599274312258,3,10118,9381,30356,0.0,0,0,0,10,38,SUCCESS,30356,aa28j7SWTd-LxMzvFoj_bA,
16vu,1601046976295,3,10186,9988,30560,0.0,0,0,0,52,39,SUCCESS,30560,wqdp5E3aQqCLFw1YEplhOg,
gigi-DNPds,1601020845323,3,10229,9610,30689,0.0,0,0,0,193,40,SUCCESS,30689,nkTUmamiSOWmb8YpN0p7aw,
Sai-Cherukuri,1601302498511,3,10318,10194,30954,0.0,0,0,0,17,41,SUCCESS,30954,iv5ecuixRe6lPTGmXjVmHA,
Terry-Li-HM,1600870616064,3,10386,10075,31159,0.0,0,0,0,561,42,SUCCESS,31159,-YIhU-oOTaCslhhqM4HcsQ,
F1-DevelopersIO,1601089826813,3,10391,9943,31175,0.0,0,0,0,220,43,SUCCESS,31175,UzQrKbzfSKyZCEf6eD2PBA,
