Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
JJ,1585352686307,3,14131,13676,42393,0.0,0,0,0,3221,1,SUCCESS,42393,afdcX_4vRH6Ussd0mbg5LQ
TonyJ,1585515342652,3,15008,14645,45026,0.0,0,0,0,1009,2,SUCCESS,45026,af962be5a4ed4c57af807w
Fumiaki,1585644989934,3,15294,14401,45882,0.0,0,0,0,1054,3,SUCCESS,45882,5RzBNYRAQoWVausi3eyhRg
Keaton,1584811826034,3,16686,16073,50060,0.0,0,0,0,3673,4,SUCCESS,50060,pqS3RXTyQXGkMiQtDw3xrw
dartjason,1585515004175,3,16778,15965,50334,0.0,0,0,0,3595,5,SUCCESS,50334,JSflDq5rQgKEuA5Ots4kDQ
RayG-DBS,1585689335653,3,16851,16663,50553,0.0,0,0,0,1971,6,SUCCESS,50553,YNrvM9f5RteeSrCl7oFC5w
ShibaInu-DevelopersIO,1584852627788,3,17252,16853,51757,0.0,0,0,0,4421,7,SUCCESS,51757,q3lEztDGTfSD-GgkF5IgTg
PolishThunder,1584895917541,3,17457,16914,52372,0.0,0,0,0,3594,8,SUCCESS,52372,qi512oGVTry8V-KtP6j2_w
Robin-Castro,1585218380482,3,17513,17156,52540,0.0,0,0,0,1220,9,SUCCESS,52540,qaH8R2-8TlG79mslpdPfGg
DBro,1585670770129,3,18153,17926,54460,0.0,0,0,0,3286,10,SUCCESS,54460,jEkEOpjZRhGUbyDZIfTo_A
Hagibis,1584972363935,3,18558,17772,55674,0.0,0,0,0,150,11,SUCCESS,55674,E7q3SkKETBarlF1ThkXfgA
GT-DevelopersIO,1583674241596,3,18562,18353,55688,0.0,0,0,0,167,12,SUCCESS,55688,8WSp4P7ZRn-jJgZLnugwkA
