Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
JJ,1590899215747,3,25839,25181,77517,0.0,0,0,0,5479,1,SUCCESS,77517
GT-DevelopersIO,1590864935137,3,27088,25857,81264,0.0,0,0,0,1439,2,SUCCESS,81264
Mentaiko-DevelopersIO,1590909451681,3,27533,25055,82601,0.3333333333333333,0,1,1,1291,3,SUCCESS,82601
RayG,1590930020277,3,27898,27724,83696,0.0,0,0,0,5669,4,SUCCESS,83696
OneDudeDesign,1590902784302,3,27908,26117,83724,0.0,0,0,0,2292,5,SUCCESS,83724
Giacomo,1590564861666,3,28231,26660,84693,0.0,0,0,0,377,6,SUCCESS,84693
JMajor,1590739437563,3,28765,28240,86296,0.0,0,0,0,404,7,SUCCESS,86296
Robin-Castro,1590440668142,3,28817,28477,86451,0.0,0,0,0,5200,8,SUCCESS,86451
AkramDweikat,1590595229410,3,29983,29773,89951,0.0,0,0,0,3,9,SUCCESS,89951
Karl-NAB,1590949586931,3,30275,29711,90827,0.0,0,0,0,92,10,SUCCESS,90827
ShinyThings-DBS,1590516513787,3,30412,29736,91236,0.0,0,0,0,1068,11,SUCCESS,91236
ESADE-MIBA-3,1590885260526,3,30591,30383,91775,0.0,0,0,0,207,12,SUCCESS,91775
ESADE-MIBA-2,1590816992938,3,30955,30262,92867,0.0,0,0,0,370,13,SUCCESS,92867
Fumiaki,1589457093343,3,31173,30620,93521,0.0,0,0,0,2327,14,SUCCESS,93521
Jianlong-DBS,1590739007136,3,31174,30370,93523,0.0,0,0,0,3825,15,SUCCESS,93523
DBro,1590967261403,3,31880,30164,95641,0.0,0,0,0,2811,16,SUCCESS,95641
Hagibis,1589905092384,3,32302,31764,96908,0.0,0,0,0,180,17,SUCCESS,96908
Momotaro-DevelopersIO,1590865856355,3,32324,31935,96974,0.0,0,0,0,72,18,SUCCESS,96974
ABaykov,1589943574760,3,32382,31906,97146,0.0,0,0,0,175,19,SUCCESS,97146
MattCamp,1590565811495,3,33122,31643,99366,0.0,0,0,0,3626,20,SUCCESS,99366
nalbam-me,1590809062717,3,33226,32833,99679,0.0,0,0,0,1136,21,SUCCESS,99679
Smiles93,1590850207729,3,33575,32778,100725,0.0,0,0,0,146,22,SUCCESS,100725
RobinCastro-DBS,1590965901431,3,33840,31272,101521,0.3333333333333333,0,1,1,1,23,SUCCESS,101521
RIC3,1589812930997,3,34084,33041,102252,0.0,0,0,0,10,24,SUCCESS,102252
London-1-Racers,1589805553974,3,34348,33427,103044,0.0,0,0,0,263,25,SUCCESS,103044
ESADE-MIBA-1,1590839433294,3,34378,33428,103134,0.0,0,0,0,96,26,SUCCESS,103134
PolishThunder,1589777256059,3,34594,34169,103783,0.0,0,0,0,4733,27,SUCCESS,103783
JaT-DBS,1590867462436,3,34761,32212,104284,0.3333333333333333,0,1,1,1,28,SUCCESS,104284
Duckworth,1590596069367,3,35482,35287,106448,0.0,0,0,0,54,29,SUCCESS,106448
nero-DNPds,1590045106398,3,35743,34740,107229,0.0,0,0,0,536,30,SUCCESS,107229
muzi,1590304062625,3,35956,35620,107869,0.0,0,0,0,177,31,SUCCESS,107869
mayurmadnani,1589267194756,3,35977,33854,107932,0.0,0,0,0,684,32,SUCCESS,107932
Raptor-DR,1590915229646,3,37026,36041,111080,0.0,0,0,0,19,33,SUCCESS,111080
Galileo,1589794083392,3,37048,36948,111146,0.0,0,0,0,294,34,SUCCESS,111146
Etaggel,1589458384614,3,37349,36341,112047,0.0,0,0,0,1004,35,SUCCESS,112047
Joffe-Cybercom,1589982816128,3,37388,36129,112166,0.0,0,0,0,62,36,SUCCESS,112166
RhysG,1590922434307,3,37526,36460,112578,0.0,0,0,0,20,37,SUCCESS,112578
CIHI-AutonomousRacingLeague-WarmUp,1590772264675,3,37787,37024,113361,0.0,0,0,0,29,38,SUCCESS,113361
TataCalde,1590515955992,3,38060,36159,114182,0.3333333333333333,0,1,1,19,39,SUCCESS,114182
