Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore
JJ,1593355231864,3,20812,20336,62437,0.0,0,0,0,604,1,SUCCESS,62437
ShaoXiong-NCTU-CGI,1592075538187,3,21092,20448,63277,0.0,0,0,0,1261,2,SUCCESS,63277
ShinyThings-DBS,1593260608216,3,27079,26403,81238,0.0,0,0,0,2772,3,SUCCESS,81238
Yeti,1593476028134,3,28884,26472,86652,0.3333333333333333,1,0,1,1193,4,SUCCESS,86652
Kire,1592572696038,3,32134,30638,96404,0.0,0,0,0,658,5,SUCCESS,96404
PolishThunder,1591878984046,3,43137,31186,129411,2.0,5,1,6,3513,6,SUCCESS,129411
satussy777,1591627838972,3,43414,41393,130242,1.6666666666666667,5,0,5,76,7,SUCCESS,130242
DBro,1591968554143,3,47246,43323,141740,2.6666666666666665,8,0,8,2110,8,SUCCESS,141740
ABaykov,1592595671609,3,47416,41926,142249,3.0,7,2,9,253,9,SUCCESS,142249
nero-DNPds,1591655435219,3,48381,42568,145145,2.0,6,0,6,411,10,SUCCESS,145145
Asumi,1593240580685,3,49186,41508,147558,2.3333333333333335,5,2,7,25,11,SUCCESS,147558
GT-DevelopersIO,1593053082479,3,49743,47646,149229,3.3333333333333335,9,1,10,977,12,SUCCESS,149229
MING-CHUN,1593420502867,3,54570,53375,163711,2.3333333333333335,7,0,7,598,13,SUCCESS,163711
JPMC-HandsFree-London,1591881725528,3,54706,45356,164120,4.0,7,5,12,7,14,SUCCESS,164120
Adam-H,1592091693549,3,55235,46877,165706,2.3333333333333335,7,0,7,18,15,SUCCESS,165706
OneDudeDesign,1591053666140,3,55645,44142,166935,3.6666666666666665,9,2,11,2066,16,SUCCESS,166935
sola-salon18,1591285892095,3,56164,46924,168492,2.6666666666666665,4,4,8,14,17,SUCCESS,168492
RunBabyRun,1591363770386,3,57921,42819,173763,3.6666666666666665,8,3,11,43,18,SUCCESS,173763
firnnauriel,1592915830611,3,63739,61597,191219,5.666666666666667,8,9,17,9,19,SUCCESS,191219
Lina,1593544541426,3,64429,61388,193287,3.3333333333333335,8,2,10,12,20,SUCCESS,193287
mayurmadnani,1593246146836,3,65118,57352,195355,6.333333333333333,7,12,19,331,21,SUCCESS,195355
Matt,1592334429021,3,68199,62355,204598,4.333333333333333,8,5,13,7,22,SUCCESS,204598
powerpeter,1591164033494,3,69003,63432,207010,5.0,12,3,15,10,23,SUCCESS,207010
JonathanRacer,1593302730252,3,69689,49019,209067,6.0,18,0,18,1,24,SUCCESS,209067
NewSpeed,1591168767538,3,70556,61085,211670,5.666666666666667,15,2,17,10,25,SUCCESS,211670
Robin-Castro,1590976713603,3,70934,63611,212804,6.666666666666667,18,2,20,2,26,SUCCESS,212804
DeepLock-RaceMgr,1592959129435,3,71942,70307,215828,7.0,15,6,21,2,27,SUCCESS,215828
Merfoulis,1593549446383,3,72084,64405,216254,5.333333333333333,5,11,16,7,28,SUCCESS,216254
Groovy-DNPds,1592790456825,3,76067,61909,228201,7.333333333333333,13,9,22,16,29,SUCCESS,228201
