Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
PoChun-NCTU-CGI,1596239067838,3,27044,24616,81134,0.3333333333333333,1,0,1,474,1,SUCCESS,81134,P7SrLqBvRKS2fNy2goovqw
JJ,1594782682049,3,28566,22885,85698,1.0,2,1,3,3859,2,SUCCESS,85698,afdcX_4vRH6Ussd0mbg5LQ
OneDudeDesign,1595715327836,3,31085,25334,93255,1.0,2,1,3,3637,3,SUCCESS,93255,tLd0GWYiT0qzqq6YRFVXhg
Ensono-Ernesto,1595550150695,3,36653,34667,109959,0.3333333333333333,1,0,1,1374,4,SUCCESS,109959,8zBEAp0-S5yGbcZvytGZGQ
Yeti,1596227703393,3,37893,28603,113679,1.6666666666666667,3,2,5,67,5,SUCCESS,113679,1SGxAyrnQ96tWb-rolMeBQ
gigi-DNPds,1594613299477,3,38187,32540,114561,1.0,1,2,3,355,6,SUCCESS,114561,nkTUmamiSOWmb8YpN0p7aw
nero-DNPds,1594956755090,3,39772,35547,119318,0.6666666666666666,2,0,2,551,7,SUCCESS,119318,fdqnbHDPSbKcnf8kE5xuMQ
Yxcas-DBS,1595694139464,3,40035,37790,120105,1.3333333333333333,3,1,4,81,8,SUCCESS,120105,NdVUBlBJRqiz_zbY7Xn-2g
Duckworth,1596100812005,3,41529,30732,124589,2.0,4,2,6,14,9,SUCCESS,124589,VIu9BQ4-Th6gUqu60ztwUQ
nalbam-me,1594206669767,3,41753,40935,125260,1.0,0,3,3,1027,10,SUCCESS,125260,PnRru4vBRkeyT4xX6LOCtw
kimmizian,1594258975351,3,42408,37701,127225,1.6666666666666667,2,3,5,1633,11,SUCCESS,127225,t6NwFsqgS4mYnFeR3KVxsg
ABaykov,1593731166425,3,44996,37932,134989,2.3333333333333335,3,4,7,112,12,SUCCESS,134989,aa28j7SWTd-LxMzvFoj_bA
IcePandaBoom,1595070389055,3,45792,38791,137377,2.3333333333333335,4,3,7,30,13,SUCCESS,137377,BTPWujqqTBOWGAFvEKyRaA
Penguin-DNPds,1596185861642,3,48964,40782,146892,2.3333333333333335,7,0,7,37,14,SUCCESS,146892,Nr3YCYWGTA631Xqa0uDPhw
kimwooglae,1595953081999,3,49463,48660,148390,2.0,1,5,6,1698,15,SUCCESS,148390,bOqKo-ebR_essdUaZVGO4Q
Garage-ISEP,1596123603010,3,49566,36192,148698,2.6666666666666665,8,0,8,1,16,SUCCESS,148698,fzU7aL-jTYm9zKtUHFVFyw
think,1595477465341,3,50595,47710,151785,0.6666666666666666,1,1,2,1489,17,SUCCESS,151785,IHHC4YftQLaMAs0VyXFJzw
Galileo,1594130976959,3,50615,43520,151845,2.6666666666666665,3,5,8,2,18,SUCCESS,151845,Y79AzaaOR-u4LVKMxu1Mdw
Kuei-NCTU-CGI,1595259254833,3,51494,40220,154482,4.0,4,8,12,123,19,SUCCESS,154482,uIHQTGm4QtWGei52HqkUvQ
Asumi,1596170601929,3,53065,43329,159195,2.0,4,2,6,37,20,SUCCESS,159195,Uh5qLLBPQ9-M4OuwSQJKpQ
JPMC-Singapore-Chetak,1595990554397,3,53524,50934,160573,0.3333333333333333,0,1,1,18,21,SUCCESS,160573,LJzDpiNuTFeHu9dsqp1APw
MING-CHUN,1595838232871,3,53949,50204,161849,0.6666666666666666,2,0,2,4,22,SUCCESS,161849,qoQoafc4RhGMzWx_fwBp4w
