Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId
ShaoXiong-NCTU-CGI,1598731456634,3,16172,15823,48516,0.0,0,0,0,615,1,SUCCESS,48516,5iGoA9ndQwaHoJSmWA5Ltw
JJ,1598870268168,3,16448,15993,49344,0.0,0,0,0,5425,2,SUCCESS,49344,afdcX_4vRH6Ussd0mbg5LQ
Duckworth,1598385762402,3,19305,18732,57917,0.0,0,0,0,161,3,SUCCESS,57917,VIu9BQ4-Th6gUqu60ztwUQ
JonathanRacer,1598618462293,3,21999,21508,65998,0.0,0,0,0,1804,4,SUCCESS,65998,nya9ln7uRZ6yFkb9tRzrOw
IcePandaBoom,1598881446661,3,22929,19567,68788,1.6666666666666667,0,5,5,100,5,SUCCESS,68788,BTPWujqqTBOWGAFvEKyRaA
Yeti,1596717591419,3,25231,24735,75694,0.0,0,0,0,145,6,SUCCESS,75694,1SGxAyrnQ96tWb-rolMeBQ
Ensono-Ernesto,1597736545663,3,26031,25619,78093,0.0,0,0,0,5279,7,SUCCESS,78093,8zBEAp0-S5yGbcZvytGZGQ
JPMC-HandsFree-London,1598151978620,3,26033,22195,78100,1.3333333333333333,2,2,4,274,8,SUCCESS,78100,DZAYqyd-Tp6eE15IopWCgQ
OneDudeDesign,1597259913101,3,27130,23073,81391,1.6666666666666667,5,0,5,3396,9,SUCCESS,81391,tLd0GWYiT0qzqq6YRFVXhg
Deepak-dpk,1598907156324,3,30547,24332,91641,2.6666666666666665,4,4,8,12,10,SUCCESS,91641,gDTBFK77TM6wD6uObZlulA
mayurmadnani,1597418864157,3,30906,28715,92720,0.6666666666666666,0,2,2,546,11,SUCCESS,92720,hr8K12KMRhSIDUEJbQT8fg
PolishThunder,1598083757820,3,31794,26992,95383,2.0,5,1,6,2096,12,SUCCESS,95383,qi512oGVTry8V-KtP6j2_w
Penguin-DNPds,1597643395692,3,33244,32495,99733,1.0,2,1,3,7,13,SUCCESS,99733,Nr3YCYWGTA631Xqa0uDPhw
kimmizian,1598691843306,3,33967,30770,101903,2.6666666666666665,8,0,8,3364,14,SUCCESS,101903,t6NwFsqgS4mYnFeR3KVxsg
Matt,1598753694824,3,36238,35469,108716,2.3333333333333335,6,1,7,85,15,SUCCESS,108716,cVk-aYKdRUmuL0qmjyzmag
Kire,1598158723431,3,37068,35313,111204,2.6666666666666665,3,5,8,154,16,SUCCESS,111204,N0y9CR6fQN-a4UlAFsTC5Q
ishizaki-SEC,1598844835743,3,38150,26934,114450,2.6666666666666665,7,1,8,10,17,SUCCESS,114450,lx4A5fhAS-iaN5bF3Qf8Gw
team-ichibanshibori,1598536615910,3,38734,35716,116202,3.3333333333333335,2,8,10,60,18,SUCCESS,116202,koyOYIRATNu8iooLnEjxLA
Yxcas-DBS,1596563384613,3,39730,33868,119192,3.3333333333333335,8,2,10,14,19,SUCCESS,119192,NdVUBlBJRqiz_zbY7Xn-2g
MING-CHUN,1597071649987,3,39829,38732,119488,0.3333333333333333,1,0,1,183,20,SUCCESS,119488,qoQoafc4RhGMzWx_fwBp4w
Test1-2,1598596532647,3,40778,30528,122334,2.3333333333333335,4,3,7,27,21,SUCCESS,122334,-gS_xaU_Rb6RiQhrUSyXLw
Cindy-DBS,1596285323642,3,40885,38466,122655,2.3333333333333335,7,0,7,68,22,SUCCESS,122655,dkX_mR9zSYy9c2CprpaycQ
Scarlet,1598260124567,3,41107,33479,123323,3.0,7,2,9,6,23,SUCCESS,123323,0GEhmZpBR8ekeVaEoAUa_g
