Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
JJ,1601219591612,3,23643,20566,70930,0.6666666666666666,2,0,2,4829,1,SUCCESS,70930,afdcX_4vRH6Ussd0mbg5LQ,
PolishThunder,1601217596907,3,28750,25653,86251,0.6666666666666666,1,1,2,3641,2,SUCCESS,86251,qi512oGVTry8V-KtP6j2_w,
PoChun-NCTU-CGI,1600983028775,3,29122,19126,87367,1.6666666666666667,3,2,5,1306,3,SUCCESS,87367,P7SrLqBvRKS2fNy2goovqw,
S-P-,1601153588102,3,30424,30278,91273,1.0,2,1,3,49,4,SUCCESS,91273,MxT5p4ZvSTOcc6ANa8VZNg,
Duckworth,1601248864711,3,31047,29961,93141,0.0,0,0,0,628,5,SUCCESS,93141,VIu9BQ4-Th6gUqu60ztwUQ,Accenture
TienHoang-DBS,1601411727110,3,31506,30208,94520,0.3333333333333333,1,0,1,323,6,SUCCESS,94520,6IwkeVP_SV-fxpC-59lOog,
kimmizian,1601445484166,3,32015,27727,96045,1.6666666666666667,1,4,5,3105,7,SUCCESS,96045,t6NwFsqgS4mYnFeR3KVxsg,
MiLKB,1601396534996,3,32900,28927,98702,0.6666666666666666,2,0,2,463,8,SUCCESS,98702,8KL8u0H3RIWxgP14x_RC6w,
Yxcas-DBS,1600452944086,3,37121,33709,111365,1.6666666666666667,4,1,5,6,9,SUCCESS,111365,NdVUBlBJRqiz_zbY7Xn-2g,DBS
ding,1601448362583,3,37192,29069,111576,1.3333333333333333,4,0,4,28,10,SUCCESS,111576,tC4Vcd-jRYW8LhnXFuBK4g,
yokeboy,1601500117659,3,37942,26398,113827,2.0,6,0,6,13,11,SUCCESS,113827,HmPblyPSQYOESPt3ZDrU_A,
ABaykov,1599270718430,3,37950,32386,113850,1.0,3,0,3,40,12,SUCCESS,113850,aa28j7SWTd-LxMzvFoj_bA,
Usin,1600240625006,3,41337,36964,124013,2.6666666666666665,6,2,8,14,13,SUCCESS,124013,0U0AhasoQkySiJ1to8xBZw,
WaveLabCup-test,1601358200535,3,42802,41596,128408,2.3333333333333335,3,4,7,883,14,SUCCESS,128408,VoDpVnVvR6CwWViNtPYWXA,
OneDudeDesign,1600279264313,3,42995,31945,128985,4.0,7,5,12,1296,15,SUCCESS,128985,tLd0GWYiT0qzqq6YRFVXhg,
Jianlong-DBS,1601478639467,3,44191,38645,132573,2.0,6,0,6,5,16,SUCCESS,132573,vpsHYdBtSIq__1M9j1R21Q,DBS
nalbam-me,1600042209510,3,45041,34128,135124,1.6666666666666667,2,3,5,1314,17,SUCCESS,135124,PnRru4vBRkeyT4xX6LOCtw,
Yeti,1599160963724,3,45134,40362,135403,1.0,0,3,3,1,18,SUCCESS,135403,1SGxAyrnQ96tWb-rolMeBQ,
Team3D-Internal-Race1,1601453250190,3,45571,37357,136715,3.3333333333333335,6,4,10,3,19,SUCCESS,136715,5lCt1HnXRXiBB0FnmKAaIg,
Cindy-DBS,1600749916791,3,46050,34743,138151,2.0,6,0,6,5,20,SUCCESS,138151,dkX_mR9zSYy9c2CprpaycQ,DBS
tranvietdung-DBS,1598919261580,3,46133,38240,138400,2.3333333333333335,6,1,7,6,21,SUCCESS,138400,3OwVWi6tQDCpBzKpWfHj7Q,DBS
JonathanRacer,1601493546081,3,47446,46435,142339,3.3333333333333335,3,7,10,33,22,SUCCESS,142339,nya9ln7uRZ6yFkb9tRzrOw,
