Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
JJ,1601469739934,3,18346,17814,55038,0.0,0,0,0,4829,1,SUCCESS,55038,afdcX_4vRH6Ussd0mbg5LQ,
ShaoXiong-NCTU-CGI,1601477897691,3,18811,18399,56434,0.0,0,0,0,1180,2,SUCCESS,56434,5iGoA9ndQwaHoJSmWA5Ltw,
Duckworth,1599660700186,3,22139,21789,66418,0.0,0,0,0,132,3,SUCCESS,66418,VIu9BQ4-Th6gUqu60ztwUQ,
PolishThunder,1601284595692,3,28483,22844,85451,1.0,3,0,3,3816,4,SUCCESS,85451,qi512oGVTry8V-KtP6j2_w,
yokeboy,1601502823510,3,29083,26881,87250,0.3333333333333333,1,0,1,149,5,SUCCESS,87250,HmPblyPSQYOESPt3ZDrU_A,
WaveLabCup-test,1601509488340,3,30992,29395,92976,0.0,0,0,0,1433,6,SUCCESS,92976,VoDpVnVvR6CwWViNtPYWXA,
kimmizian,1601313181953,3,33626,32662,100880,2.0,2,4,6,4821,7,SUCCESS,100880,t6NwFsqgS4mYnFeR3KVxsg,
S-P-,1601083790838,3,34692,23925,104076,1.6666666666666667,5,0,5,51,8,SUCCESS,104076,MxT5p4ZvSTOcc6ANa8VZNg,
Yxcas-DBS,1600458440793,3,36945,34795,110837,1.3333333333333333,4,0,4,9,9,SUCCESS,110837,NdVUBlBJRqiz_zbY7Xn-2g,DBS
Team3D-Internal-Race1,1601471226797,3,37823,31399,113470,2.0,4,2,6,84,10,SUCCESS,113470,5lCt1HnXRXiBB0FnmKAaIg,
TienHoang-DBS,1601047966255,3,37859,33947,113579,1.6666666666666667,5,0,5,323,11,SUCCESS,113579,6IwkeVP_SV-fxpC-59lOog,
Yeti,1599160950042,3,39315,38931,117947,0.0,0,0,0,2,12,SUCCESS,117947,1SGxAyrnQ96tWb-rolMeBQ,
Team-3D-Internal-Race-2B,1601440270879,3,39922,35122,119766,1.0,1,2,3,105,13,SUCCESS,119766,X44SHtocT3usAQWZ_9uefg,
hiroisojp,1601504887816,3,40852,34232,122558,2.3333333333333335,4,3,7,289,14,SUCCESS,122558,_0ZNctRRQz2bXTbPUszW1Q,
