Alias,SubmissionTime,LapCount,AvgLapTime,BestLapTime,TotalLapTime,AvgResets,CollisionCount,OffTrackCount,ResetCount,SubmissionCount,Rank,LeaderboardSubmissionStatusType,RankingScore,UserId,TeamName
JJ,1601402715504,3,18150,17618,54450,0.0,0,0,0,6638,1,SUCCESS,54450,afdcX_4vRH6Ussd0mbg5LQ,
ChihYu-NCTU-CGI,1601492647590,3,18522,18127,55568,0.0,0,0,0,2017,2,SUCCESS,55568,ihXnNlRDTz2-KvgATVkREw,
Fumiaki,1600006300139,3,19468,19098,58406,0.0,0,0,0,2957,3,SUCCESS,58406,5RzBNYRAQoWVausi3eyhRg,
Duckworth,1600823501569,3,19799,19318,59397,0.0,0,0,0,1560,4,SUCCESS,59397,VIu9BQ4-Th6gUqu60ztwUQ,Accenture
dartjason,1601498758009,3,20807,20184,62422,0.0,0,0,0,467,5,SUCCESS,62422,JSflDq5rQgKEuA5Ots4kDQ,
JPMC-HYD-02,1601506470835,3,21198,20470,63594,0.0,0,0,0,1054,6,SUCCESS,63594,LKdw_hyKTSu7moFuxbmiZw,JPMorgan Chase
kimmizian,1601158083758,3,21714,21239,65142,0.0,0,0,0,5937,7,SUCCESS,65142,t6NwFsqgS4mYnFeR3KVxsg,
PolishThunder,1601225114671,3,21822,21514,65466,0.0,0,0,0,5880,8,SUCCESS,65466,qi512oGVTry8V-KtP6j2_w,
MiLKB,1601492397246,3,22087,21863,66262,0.0,0,0,0,487,9,SUCCESS,66262,8KL8u0H3RIWxgP14x_RC6w,
WaveLabCup-test,1600817141690,3,23236,21934,69710,0.3333333333333333,0,1,1,1538,10,SUCCESS,69710,VoDpVnVvR6CwWViNtPYWXA,
S-P-,1601498132617,3,23410,22588,70231,0.0,0,0,0,120,11,SUCCESS,70231,MxT5p4ZvSTOcc6ANa8VZNg,
OneDudeDesign,1600133987429,3,24050,22801,72151,1.3333333333333333,0,4,4,3485,12,SUCCESS,72151,tLd0GWYiT0qzqq6YRFVXhg,
JPMC-LONDON-HandsFree,1601468346931,3,25221,22993,75665,1.0,0,3,3,427,13,SUCCESS,75665,DZAYqyd-Tp6eE15IopWCgQ,JPMorgan Chase
yokeboy,1601279728505,3,25436,24730,76310,0.0,0,0,0,1,14,SUCCESS,76310,HmPblyPSQYOESPt3ZDrU_A,
Yxcas-DBS,1600453362038,3,25915,24940,77746,0.0,0,0,0,22,15,SUCCESS,77746,NdVUBlBJRqiz_zbY7Xn-2g,DBS
Usin,1600380112796,3,26515,25548,79546,0.3333333333333333,0,1,1,203,16,SUCCESS,79546,0U0AhasoQkySiJ1to8xBZw,
Team3D-Internal-Race1,1601452582555,3,26557,24362,79671,0.6666666666666666,0,2,2,26,17,SUCCESS,79671,5lCt1HnXRXiBB0FnmKAaIg,
TienHoang-DBS,1601413506833,3,26703,26058,80111,0.0,0,0,0,369,18,SUCCESS,80111,6IwkeVP_SV-fxpC-59lOog,
ShinyThings-DBS,1600961999746,3,27135,26470,81405,0.0,0,0,0,2,19,SUCCESS,81405,_DmrtmMCQcuwssUB7luEFA,DBS
Team-3D-Internal-Race-2B,1601297345758,3,27297,24840,81893,0.0,0,0,0,15,20,SUCCESS,81893,X44SHtocT3usAQWZ_9uefg,
ding,1601426304693,3,27539,27195,82618,0.0,0,0,0,8,21,SUCCESS,82618,tC4Vcd-jRYW8LhnXFuBK4g,
JPMC-HYD-SpeedSters,1601486476707,3,28651,27277,85953,0.0,0,0,0,273,22,SUCCESS,85953,6fdcVCAkQtCCsyHEO0LNiA,JPMorgan Chase
Airborne,1599718606463,3,28788,27852,86366,0.0,0,0,0,4,23,SUCCESS,86366,7_kPZw4kTcGRKGqVoLSa6g,
JonathanRacer,1601494718367,3,28883,27603,86650,0.3333333333333333,0,1,1,47,24,SUCCESS,86650,nya9ln7uRZ6yFkb9tRzrOw,
ABaykov,1599271266160,3,29064,27389,87194,0.0,0,0,0,25,25,SUCCESS,87194,aa28j7SWTd-LxMzvFoj_bA,
fuchida-MAINICHI,1601502683981,3,29276,25280,87829,2.6666666666666665,0,8,8,126,26,SUCCESS,87829,HGiJghg0TqyXmMhVedqfRw,
hiroisojp,1601496430060,3,29587,28097,88762,0.3333333333333333,0,1,1,484,27,SUCCESS,88762,_0ZNctRRQz2bXTbPUszW1Q,
Penguin-DNPds,1599117737975,3,29726,27603,89178,0.3333333333333333,0,1,1,11,28,SUCCESS,89178,Nr3YCYWGTA631Xqa0uDPhw,
TheROCK-KMITLXRAI,1599502838157,3,29769,29388,89308,0.0,0,0,0,4,29,SUCCESS,89308,OikqDumrQ6e_Ky7ukHSH2g,
JPMC-London-Kachow,1601464561302,3,30197,28787,90593,0.6666666666666666,0,2,2,6,30,SUCCESS,90593,yQSFail2SLGaFehqTOx1dA,
komine-SEC,1600776931915,3,30942,30523,92828,1.0,0,3,3,57,31,SUCCESS,92828,xLBTYrnTR1eUt4m6y9xbrQ,
Jianlong,1601478590146,3,31276,30865,93829,0.0,0,0,0,13,32,SUCCESS,93829,vpsHYdBtSIq__1M9j1R21Q,DBS
tranvietdung-DBS,1598927585548,3,31319,31037,93957,0.0,0,0,0,8,33,SUCCESS,93957,3OwVWi6tQDCpBzKpWfHj7Q,DBS
MiLKB-DBS,1601297807512,3,31389,28979,94168,1.0,0,3,3,4,34,SUCCESS,94168,bcGuDYpCSdeyBCKwgMDOgg,
MM,1601473343819,3,31480,29707,94442,2.0,0,6,6,15,35,SUCCESS,94442,FZY8oLwzQ9uxithPR75Y7A,
YMZK-DENSO,1599613343410,3,31761,28537,95283,1.6666666666666667,0,5,5,979,36,SUCCESS,95283,recf4re8RCusZsfmkza94w,
sasagawa-SEC,1599040817006,3,32082,31197,96246,1.3333333333333333,0,4,4,34,37,SUCCESS,96246,8uYX242TT1K7GIN0avI0Ww,
MattKreder,1600022688661,3,32235,31607,96707,0.0,0,0,0,210,38,SUCCESS,96707,cVk-aYKdRUmuL0qmjyzmag,
Jsol-Nakase,1601452861510,3,32324,31064,96974,1.3333333333333333,0,4,4,44,39,SUCCESS,96974,-gkuzxvVSWSloofgFYL7Bg,
Jochem,1601474585667,3,32693,31328,98081,0.0,0,0,0,27,40,SUCCESS,98081,RBPhZc5eTVmEF_gpSV7skg,
nalbam-me,1601457871202,3,33263,32635,99790,0.0,0,0,0,1336,41,SUCCESS,99790,PnRru4vBRkeyT4xX6LOCtw,
