Rank,Arn,Name,Description,LaunchTime,CloseTime,TrackArn,Status,MinimumLaps,TotalLaps,ParticipantCount,RaceType,Visibility,TimingMethod,LeagueType,Moderated,TermsConditionId,TermsAccepted,WinnerAlias,HeadToHeadConfig_HeadToHeadType,HeadToHeadConfig_NumBotCars,HeadToHeadConfig_BotCarSpeed,HeadToHeadConfig_EnableLaneChange,HeadToHeadConfig_LowerLaneChangeTime,HeadToHeadConfig_UpperLaneChangeTime,ResettingBehaviorConfig_IsContinuousLap,ResettingBehaviorConfig_AllowReset,ResettingBehaviorConfig_MaxResetTimes,ResettingBehaviorConfig_PenaltySeconds,PlayoffRaceTypeConfig_PlayoffRaceTypeID,ThemeConfig_ThemeID,ObjectAvoidanceConfig_RandomizeLocation,ObjectAvoidanceConfig_ObstaclePositions,ObjectAvoidanceConfig_NumObstacles,ObjectAvoidanceConfig_ObstacleType,ResettingBehaviorConfig_CollisionPenaltySeconds,ResettingBehaviorConfig_OffTrackPenaltySeconds,PlayoffRaceTypeConfig_PlayoffRaceArn,PlayoffRaceTypeConfig_PlayoffReleaseTime,PlayoffRaceTypeConfig_PlayoffResultReleaseTime,NumOfTeamSubmissionsRequired,ParticipationConfig_EntryTypeConfig_InvitationEntryType,ParticipationConfig_ViewType,CarControlConfig_CarSpeedControl,Tags,RacingDivision,ParticipationConfig_EntryTypeConfig_RacingDivisionEntryType,TerminationConditions_MaxTimeInMinutes
1,arn:aws:deepracer:us-east-1::leaderboard/preseason-2019-04-17,Summit Speedway Pre-season,"Take part in the Summit Speedway, the pre-season race for the Virtual Circuit. Train your model on the re:Invent track to get the best chance of posting a good lap time on this track. You can also use this model to race at any of the upcoming Summit Circuit races.",1555516800000,1556550000000,arn:aws:deepracer:us-east-1::track/Virtual_Competition_1,CLOSED,3,5,162,TIME_TRIAL,VISIBLE,AVG_LAP_TIME,VIRTUAL,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,arn:aws:deepracer:us-east-1::leaderboard/season-2019-05,London Loop,"Race in the London Loop, the first stop of the Virtual Circuit World Tour, happening during May 2019! Prepare your model for this race by training on the London Loop training track.",1556553600000,1559347199000,arn:aws:deepracer:us-east-1::track/Virtual_May19_Comp_track,CLOSED,2,5,859,TIME_TRIAL,VISIBLE,AVG_LAP_TIME,VIRTUAL,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,arn:aws:deepracer:us-east-1::leaderboard/season-2019-06,Kumo Torakku,"Continue racing and building up League points in the Kumo Torakku, the second stop in the Virtual Circuit World Tour. The race winner and season top point getters will win an expenses paid trip to compete for the Championship Cup at re:Invent 2019.",1559595600000,1561964399000,arn:aws:deepracer:us-east-1::track/Tokyo_Racing_track,CLOSED,1,5,572,TIME_TRIAL,VISIBLE,AVG_LAP_TIME,VIRTUAL,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,arn:aws:deepracer:us-east-1::leaderboard/season-2019-07,Empire City Circuit,The July race is now open and is the third stop on the Virtual Circuit World Tour. Create and train a model to master the New York-inspired track and compete for a chance to win an expenses paid trip to re:Invent 2019!,1561964400000,1564599599000,arn:aws:deepracer:us-east-1::track/New_YorkAlt_Track,CLOSED,1,5,650,TIME_TRIAL,VISIBLE,AVG_LAP_TIME,VIRTUAL,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,arn:aws:deepracer:us-east-1::leaderboard/season-2019-08,Shanghai Sudu,"The August race is now open and is the fourth stop on the Virtual Circuit World Tour. Create and train a model to master the Shanghai Sudu track and submit your model for a chance to win an all-expenses paid trip to Las Vegas, NV, to compete for the Championship Cup at re:Invent 2019!",1564642800000,1567295999000,arn:aws:deepracer:us-east-1::track/ChinaAlt_track,CLOSED,1,5,1375,TIME_TRIAL,VISIBLE,AVG_LAP_TIME,VIRTUAL,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,arn:aws:deepracer:us-east-1::leaderboard/season-2019-09,Cumulo Carrera,"The September race is the fifth stop in the Virtual Circuit World Tour. Create and train a model to master the Cumulo Carrera and submit your model for a chance to win an expenses paid trip to Las Vegas, NV, and compete for the Championship Cup at re:Invent 2019!",1567296000000,1569887999000,arn:aws:deepracer:us-east-1::track/MexicoAlt_track,CLOSED,1,5,1338,TIME_TRIAL,VISIBLE,AVG_LAP_TIME,VIRTUAL,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,arn:aws:deepracer:us-east-1::leaderboard/season-2019-10,Toronto Turnpike,"The Toronto Turnpike is the sixth, and final, stop of the 2019 Virtual Circuit World Tour. This is the last chance in 2019 to win an expenses paid trip to Las Vegas, NV, to compete for the Championship Cup at re:Invent 2019!",1569888000000,1572566399000,arn:aws:deepracer:us-east-1::track/Canada_Race,CLOSED,1,5,1983,TIME_TRIAL,VISIBLE,AVG_LAP_TIME,VIRTUAL,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,arn:aws:deepracer:us-east-1::leaderboard/season-2019-11,Championship Cup Warm-up,"Take part in this friendly warm-up race to see how your model will do in the 2019 Championship Cup Knockouts, taking place during re:Invent 2019 on this track. Join us in Las Vegas, where you can race your model for prizes at the MGM Grand Garden Arena and get a trackside seat to witness the 2019 DeepRacer League's best compete for a spot in the Final Race to be crowned the 2019 DeepRacer Champion.",1572912000000,1575158340000,arn:aws:deepracer:us-east-1::track/reInvent2019_track,CLOSED,1,5,904,TIME_TRIAL,VISIBLE,AVG_LAP_TIME,VIRTUAL,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,arn:aws:deepracer:us-east-1::leaderboard/season-2019-12,AWS Summit Raceway,Train your models on this track to race in the AWS DeepRacer League 2020 pre-season race happening during December 2019.,1575158400000,1577750399000,arn:aws:deepracer:us-east-1::track/Vegas_track,CLOSED,1,5,490,TIME_TRIAL,VISIBLE,AVG_LAP_TIME,VIRTUAL,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,arn:aws:deepracer:us-east-1::leaderboard/virtual-season-2020-03-h2h,2020 March Qualifier,"Finish the race as quickly as possible and avoid the collisions with the bots and going off-track, as both will be penalized.",1583186400000,1585699140000,arn:aws:deepracer:us-east-1::track/LGSWide,CLOSED,3,3,110,HEAD_TO_HEAD_RACING,VISIBLE,TOTAL_TIME,VIRTUAL,False,TNC-2020-03,False,JJ,BOT_VEHICLE,4.0,0.5,True,5.0,5.0,True,True,10000.0,2.0,TOURNAMENT,defaultBlack,,,,,,,,,,,,,,,,,
